Name,War,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,Rra,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,wild pitch,ERA,RA9,rRA9,rRA9pf,FIP,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,BABIP,LOB,xFIP,kwERA,ERA-FIP,ERA-,rRA9-,FIP-,AVG,OBP,SLG,OPS,NP,P/G,P/IP,P/PA,QS,QS%,QS+,QS+%,QH,TL,CW,RS,RS9,start W,start L,W%,start BW,start BL,strat BQ,start BQS,start BQS%,IP/GS,P/GS,AGS,starter waa,starter war,2time,3time,plus 1,SV,HD_1,BLSV,BLHD,BL+,save%,TS,TH,TBS,TBH,SD,MD,IR,IRS,IRS%,BQ,BQS,BQS%,IP/GR,P/GR,gmLI,closer war,BABIP_2,BIP,GB%,ifFB%,ofFB%,FB%,LD%,GB/FB,HR/FB%,if1B%,PFR,PF1,PF2,PF3,PFH,PFslg
알칸타라,8.89,31,31,0,1,1,0,20,2,0,0,198.2,56,58,57.3,795,174,38,3,12,30,9,0,182,4,1,3,2.54,2.63,2.6,2.84,3.03,1.03,8.25,1.36,6.07,0.54,22.9,3.8,19.1,0.289,79.1,2.41,3.11,-0.5,56.81,57.95,67.9,0.232,0.269,0.339,0.608,3144,101.4,15.8,3.95,27,87.1,13,41.9,0,0,0,138,6.3,24,6,80,0,0,5,1,20,6.41,101.42,60.32,5.35,8.89,0,0,0,0,0,0,0,0,,0,0,0,0,20,5,0,0,,5,1,20,,,,,0.289,560,44.4,7.8,45.1,53,2.6,0.8,3.9,5.7,,,,,,
플렉센,3.98,21,21,0,0,0,0,8,4,0,0,116.2,39,43,43,472,97,14,0,6,30,2,2,132,3,0,5,3.01,3.32,3.32,3.73,2.58,1.09,10.18,2.31,4.4,0.46,28,6.4,21.6,0.307,71.1,2.05,2.81,0.43,67.37,76.14,57.67,0.226,0.277,0.3,0.577,1953,93,16.7,4.14,12,57.1,5,23.8,7,0,0,66,5.1,13,8,61.9,0,0,2,0,0,5.56,93,57.9,1.91,3.98,0,0,0,0,0,0,0,0,,0,0,0,0,10,8,0,0,,2,0,0,,,,,0.307,296,45.8,7.5,42.9,50.3,3.9,0.9,3.9,18.6,,,,,,
최원준,3.63,42,18,24,3,0,0,10,2,0,0,123,52,52,54.55,532,134,23,3,15,35,7,0,94,4,1,2,3.8,3.8,3.99,4.1,4.59,1.37,6.88,2.56,2.69,1.1,17.7,6.6,11.1,0.314,80,3.27,4.07,-0.79,85.2,83.87,102.87,0.277,0.332,0.43,0.762,2148,51.1,17.5,4.04,4,22.2,1,5.6,10,0,0,92,8.9,11,6,64.7,0,0,16,5,31.3,5.17,91.78,51.78,1.92,3.57,3,0,8,0,0,0,1,1,0,0,0,0,1,13,9,13,10,76.9,16,5,31.3,1.25,20.67,0.64,0.06,0.314,379,33.6,6.6,56.8,63.4,3,0.5,6,5.2,,,,,,
이영하,2.41,42,19,23,20,0,0,5,11,6,0,132,68,78,78,605,148,26,1,9,66,5,3,85,7,1,4,4.64,5.32,5.32,5.45,4.82,1.62,5.8,4.5,1.29,0.61,14,10.9,3.1,0.321,68.4,4.12,5.02,-0.18,103.82,111.34,107.86,0.284,0.366,0.39,0.756,2235,53.2,16.9,3.69,7,36.8,1,5.3,1,0,0,79,6.7,9,10,47.4,0,0,13,4,30.8,5.58,97.11,41.37,-1.02,0.86,3,0,7,6,0,2,0,2,75,0,0,1,0,12,18,11,3,27.3,13,4,30.8,1.13,16.96,1.7,1.55,0.321,433,43.7,4.5,47.9,52.3,4,0.8,3.8,7.4,,,,,,
박치국,1.75,63,0,63,9,0,0,4,4,0,7,71.2,23,34,31.15,317,65,12,2,5,34,5,4,66,7,0,1,2.89,4.27,3.91,4.25,4.04,1.38,8.29,4.27,1.94,0.63,20.8,10.7,10.1,0.294,72.2,3.28,4.19,-1.15,64.67,86.85,90.39,0.238,0.331,0.352,0.683,1230,19.5,17.2,3.88,0,,0,,0,0,0,50,,0,0,,0,0,33,14,42.4,,,,,,14,3,19,0,7,1,2,3,70,0,0,0,1,15,9,31,10,32.3,33,14,42.4,1.14,19.52,1.04,1.75,0.294,204,53.8,3.8,37.3,41,5.2,1.3,5.7,9.2,,,,,,
유희관,1.49,27,27,0,0,0,0,10,11,0,0,136.1,76,91,87.05,622,190,37,5,14,39,3,4,56,8,0,1,5.02,6.01,5.75,6.05,5.15,1.68,3.7,2.58,1.44,0.92,9,6.3,2.7,0.351,66.5,4.06,5.07,-0.13,112.34,123.7,115.21,0.335,0.378,0.491,0.869,2373,87.9,17.4,3.82,9,33.3,4,14.8,6,0,0,115,7.6,12,14,46.2,0,0,14,7,50,5.05,87.89,42,-0.93,1.49,0,0,0,0,0,0,0,0,,0,0,0,0,10,14,0,0,,14,7,50,,,,,0.351,502,40.3,4.6,51.3,55.9,3.8,0.7,4.8,5.8,,,,,,
함덕주,1.04,36,6,30,19,0,0,5,1,10,2,55.1,24,25,28.75,240,55,7,0,2,21,0,2,55,1,0,7,3.9,4.07,4.68,4.97,3.06,1.37,8.95,3.42,2.62,0.33,22.9,8.8,14.2,0.327,69.9,2.74,3.7,0.84,87.41,101.5,68.54,0.255,0.317,0.315,0.632,972,27,17.6,4.05,1,16.7,0,0,4,0,0,47,16.7,4,1,80,0,0,13,3,23.1,4.22,71.17,48.83,0.14,0.59,6,0,9,10,2,3,0,3,80,0,1,2,0,14,9,29,9,31,13,3,23.1,1,18.17,1.77,0.45,0.327,162,43.3,8.5,47,55.5,1.2,0.8,2.2,1.8,,,,,,
김민규,0.93,29,4,25,8,0,0,1,2,1,0,53.1,29,30,28.3,231,47,14,0,3,22,3,2,54,2,0,1,4.89,5.06,4.78,5.01,3.53,1.29,9.11,3.71,2.45,0.51,23.4,9.5,13.9,0.299,61.8,2.98,3.74,1.37,109.58,102.45,79,0.23,0.314,0.343,0.657,998,34.4,18.7,4.32,0,0,0,0,3,0,0,12,6,1,3,25,0,0,8,7,87.5,4.5,90,48.75,0.14,0.46,5,1,10,1,0,1,1,2,33.3,0,0,0,0,7,3,14,4,28.6,8,7,87.5,1.41,25.52,0.57,0.47,0.299,147,30.3,11.2,57.2,68.4,1.3,0.4,2.9,2.1,,,,,,
윤명준,0.57,42,0,42,13,0,0,1,0,2,7,41,22,24,23.35,185,51,6,1,4,13,1,1,20,3,0,1,4.83,5.27,5.13,5.23,5,1.56,4.39,2.85,1.54,0.88,10.8,7,3.8,0.329,69.5,3.95,4.95,-0.17,108.13,106.93,111.85,0.315,0.359,0.438,0.797,651,15.5,15.9,3.52,0,,0,,0,0,0,17,,0,0,,0,0,17,5,29.4,,,,,,9,1,10,2,7,0,0,0,100,0,0,0,0,6,5,20,5,25,17,5,29.4,0.98,15.5,0.71,0.57,0.329,143,48.3,2,46.4,48.3,3.3,1,5.5,13.7,,,,,,
이현승,0.45,62,0,62,6,0,0,2,1,2,10,42.1,25,27,24.55,195,48,9,2,2,21,2,0,42,1,1,3,5.31,5.74,5.22,5.53,3.76,1.63,8.93,4.47,2,0.43,21.5,10.8,10.8,0.368,64.7,3.3,4.11,1.55,119.01,113.06,84.22,0.286,0.37,0.399,0.769,783,12.6,18.5,4.02,0,,0,,0,0,0,15,,0,0,,0,0,40,17,42.5,,,,,,17,1,6,2,10,2,1,3,80,0,0,1,1,10,11,40,13,32.5,40,17,42.5,0.68,12.63,1.07,0.45,0.368,125,40.8,6.9,45.4,52.3,6.9,0.8,2.9,12.5,,,,,,
