name,GR,IP,ERA,W,L,2time,3time,plus 1,SV,HD,BLSV,BLHD,BL+,save%,TS,TH,TBS,TBH,SD,MD,IR,IRS,IRS%,BQ,BQS,BQS%,IP/GR,P/GR,gmLI,closer war
정철원,58,72.2,3.1,4,3,13,3,27,3,23,3,2,5,83.9,1,4,2,2,28,14,36,13,36.1,18,8,44.4,1.25,20.03,1.55,1.78
김명신,68,79.2,3.62,3,3,17,1,26,0,10,0,1,1,90.9,0,1,0,1,13,9,43,20,46.5,31,12,38.7,1.17,18.74,0.88,1.18
홍건희,58,62,3.48,2,9,13,2,14,18,9,4,0,4,87.1,1,2,2,0,22,11,24,9,37.5,7,4,57.1,1.07,17.4,1.59,0.49
최승용,33,28.2,4.71,2,2,8,0,10,0,5,0,1,1,83.3,0,1,0,0,11,14,20,4,20,33,16,48.5,0.87,16.76,1.03,0.43
박정수,13,19.2,3.2,1,1,2,0,7,0,0,0,1,1,0,0,0,0,1,0,1,16,4,25,8,2,25,1.51,25.92,0.81,0.32
박치국,15,11.2,5.4,1,2,3,0,4,0,3,0,0,0,100,0,2,0,0,2,4,8,1,12.5,13,6,46.2,0.78,13.27,1.3,0.15
이병헌,9,5,3.6,0,0,1,0,1,0,0,0,0,0,,0,0,0,0,0,0,7,2,28.6,5,2,40,0.56,13.78,0.3,0.1
박웅,8,6,3,0,0,2,1,0,0,0,0,0,0,,0,0,0,0,1,0,7,1,14.3,4,1,25,0.75,15.75,0.39,0.09
이형범,31,31,4.35,0,1,6,1,10,0,0,1,0,1,0,0,0,1,0,1,4,23,11,47.8,14,7,50,1,17.74,0.57,0.02
권휘,10,9.1,5.79,0,0,2,1,2,0,1,0,0,0,100,0,0,0,0,1,1,6,2,33.3,4,2,50,0.93,18.7,0.68,-0.02
김지용,18,19.1,6.05,1,0,2,0,4,0,0,1,0,1,0,0,0,0,0,2,3,7,2,28.6,4,3,75,1.07,17.83,0.49,-0.06
최지강,2,1.2,21.6,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,3,2,66.7,3,3,100,0.83,28,0.28,-0.17
이영하,1,0.2,13.5,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,5,11,1,1,100,17,8,47.1,0.67,22,1.94,-0.17
장원준,27,17,3.71,0,1,6,1,4,0,6,0,1,1,85.7,0,2,0,1,3,6,30,12,40,20,5,25,0.63,10.74,0.92,-0.17
김동주,10,16.2,7.56,0,0,1,0,7,0,0,0,0,0,,0,0,0,0,1,0,5,4,80,4,2,50,1.67,32.8,0.26,-0.29
이승진,35,31.1,6.61,3,1,11,2,7,0,2,1,0,1,66.7,0,0,0,0,7,6,19,5,26.3,18,9,50,0.9,16.11,0.81,-0.36
임창민,32,27.1,3.95,0,0,7,0,6,2,6,3,2,5,61.5,0,1,0,2,8,8,22,10,45.5,15,4,26.7,0.85,15.38,1.3,-0.39
박신지,20,29.2,5.16,0,0,4,1,10,0,0,0,0,0,,0,0,0,0,2,10,21,9,42.9,23,10,43.5,1.48,28.9,0.62,-0.41
김강률,26,24.2,4.38,3,4,5,0,5,9,1,4,1,5,66.7,0,0,3,0,10,6,15,7,46.7,3,0,0,0.95,15.19,1.62,-0.42
이현승,23,8.2,6.23,1,0,8,1,0,0,2,1,0,1,66.7,0,0,0,0,4,7,31,11,35.5,10,3,30,0.38,6.96,1.42,-0.74
전창민,9,9.1,19.29,0,0,0,0,2,0,0,0,0,0,,0,0,0,0,0,1,6,1,16.7,5,4,80,1.04,21.11,0.3,-0.77
윤명준,20,22.1,8.46,1,1,4,0,6,0,0,0,0,0,,0,0,0,0,0,4,8,4,50,7,3,42.9,1.12,19.95,0.62,-0.98
미란다,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,,3,0,0,,,,
스탁,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,10,12,0,0,,12,6,50,,,,
브랜든,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,0,0,,3,2,66.7,,,,
최원준,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,13,13,0,0,,20,6,30,,,,
곽빈,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,10,6,0,0,,23,7,30.4,,,,
