Name,BABIP,BIP,GB%,ifFB%,ofFB%,FB%,LD%,GB/FB,HR/FB%,if1B%
알칸타라,0.282,549,45.9,5.7,45.9,51.7,2.4,0.9,5.4,9.4
곽빈,0.26,343,36.7,5.3,54.1,59.4,3.9,0.6,3.3,11.5
최승용,0.312,343,42.1,6.7,49.3,56,1.9,0.8,4.5,7.8
최원준,0.322,335,31.6,5.6,60.5,66.1,2.3,0.5,4.7,3.4
브랜든,0.278,273,52.3,6,40.4,46.3,1.4,1.1,3,11.3
김명신,0.301,229,43.2,5.5,48.3,53.8,3,0.8,2.4,4.2
김동주,0.301,226,44.1,7.2,44.9,52.1,3.8,0.8,4.1,6.8
정철원,0.272,213,47.8,7.1,43.4,50.4,1.8,0.9,7,6.1
홍건희,0.348,181,45.5,8.9,44.5,53.4,1,0.9,3.9,13.4
박치국,0.327,159,36.4,3.7,55.6,59.3,4.3,0.6,3.1,7.4
장원준,0.358,137,54.8,2.7,41.1,43.8,1.4,1.3,6.3,11.3
이영하,0.302,126,48.9,5.3,44.3,49.6,1.5,1,3.1,5
박정수,0.33,109,46.9,6.2,44.2,50.4,2.7,0.9,1.8,8.1
이형범,0.379,103,54.7,2.8,39.6,42.5,2.8,1.3,4.4,7.5
박신지,0.384,99,32,6,59,65,3,0.5,1.5,5.1
김강률,0.273,77,48.8,3.8,46.3,50,1.3,1,5,8.7
이병헌,0.319,72,40,2.7,54.7,57.3,2.7,0.7,4.7,12
최지강,0.242,66,47.8,4.5,44.8,49.3,3,1,0,12.5
고봉재,0.324,37,57.9,2.6,39.5,42.1,0,1.4,0,0
딜런,0.222,36,47.4,2.6,50,52.6,0,0.9,10,0
김민규,0.24,25,38.5,3.8,57.7,61.5,0,0.6,0,33.3
김정우,0.417,24,36,8,56,64,0,0.6,6.3,18.2
김유성,0.222,18,30,0,70,70,0,0.4,14.3,0
백승우,0.231,13,61.5,7.7,30.8,38.5,0,1.6,0,0
김호준,0.222,9,10,0,90,90,0,0.1,11.1,0
제환유,0.375,8,50,0,37.5,37.5,12.5,1.3,0,33.3
이원재,0.5,6,16.7,16.7,66.7,83.3,0,0.2,0,0
이승진,0.333,3,100,0,0,0,0,,,0
