Name,FIP,G,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,BABIP,LOB,ERA,RA9,rRA9,rRA9pf,FIP,xFIP,kwERA,ERA-FIP,ERA-,rRA9-,FIP-,AVG,OBP,SLG,OPS,NP,P/G,P/IP,P/PA
브랜든,3.16,18,8.6,2.58,3.33,0.34,23.4,7,16.4,0.278,75.9,2.49,2.92,2.88,3.03,3.16,2.76,3.43,-0.67,62.66,67.98,79.39,0.213,0.291,0.28,0.571,1729,96.1,16.5,4.05
홍건희,3.21,64,9.05,3.5,2.58,0.58,22.4,8.7,13.7,0.348,74.1,3.06,4.09,3.84,4.07,3.21,2.51,3.75,-0.15,77.01,91.24,80.75,0.272,0.336,0.386,0.722,1092,17.1,17.7,3.94
알칸타라,3.38,31,7.59,1.64,4.63,0.75,20.8,4.5,16.3,0.282,76.2,2.67,3.14,3.14,3.34,3.38,2.45,3.44,-0.71,67.13,74.85,84.86,0.236,0.275,0.348,0.623,2988,96.4,15.6,3.85
김명신,3.42,70,7.41,3.08,2.41,0.34,19.5,8.1,11.4,0.301,70.3,3.65,3.87,4.06,4.26,3.42,3.04,4.03,0.22,91.6,95.58,85.97,0.245,0.318,0.337,0.655,1445,20.6,18.3,4.33
박치국,3.49,62,8.2,3.59,2.29,0.51,20.3,8.9,11.4,0.319,76.3,3.59,3.76,4.35,4.51,3.49,3.12,4.03,0.09,90.17,101.33,87.8,0.258,0.34,0.364,0.704,923,14.9,17.5,3.91
곽빈,3.96,23,7.49,4.1,1.83,0.5,20.2,11,9.1,0.26,77.2,2.9,3.11,2.88,3.1,3.96,3.38,4.3,-1.06,72.81,69.56,99.4,0.212,0.306,0.303,0.609,2229,96.9,17.5,4.24
최승용,4.03,34,6.65,2.76,2.41,0.73,17.1,7.1,10,0.312,70.9,3.97,4.38,4.22,4.44,4.03,3.14,4.2,-0.06,99.83,99.73,101.22,0.269,0.326,0.362,0.688,1853,54.5,16.7,3.87
박정수,4.21,25,6.87,4.42,1.56,0.25,17,10.9,6.1,0.33,65,4.17,5.4,5.57,5.67,4.21,3.95,4.67,-0.04,104.85,127.35,105.77,0.268,0.377,0.377,0.754,596,23.8,16.3,3.61
김동주,4.27,18,6.78,4.02,1.69,0.57,17.7,10.5,7.2,0.301,71.4,4.14,4.25,3.82,3.94,4.27,3.58,4.54,-0.13,103.93,88.39,107.27,0.255,0.34,0.385,0.725,1390,77.2,17.7,4.16
김강률,4.42,32,7.36,4.21,1.75,0.7,18.3,10.4,7.8,0.273,67.6,4.21,4.91,3.87,4.11,4.42,3.56,4.46,-0.21,105.73,92.17,111.11,0.232,0.325,0.323,0.648,489,15.3,19.1,4.25
