Name,War,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,Rra,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,wild pitch,ERA,RA9,rRA9,rRA9pf,FIP,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,BABIP,LOB,xFIP,kwERA,ERA-FIP,ERA-,rRA9-,FIP-,AVG,OBP,SLG,OPS,NP,P/G,P/IP,P/PA,QS,QS%,QS+,QS+%,QH,TL,CW,RS,RS9,start W,start L,W%,start BW,start BL,strat BQ,start BQS,start BQS%,IP/GS,P/GS,AGS,starter waa,starter war,2time,3time,plus 1,SV,HD,BLSV,BLHD,BL+,save%,TS,TH,TBS,TBH,SD,MD,IR,IRS,IRS%,BQ,BQS,BQS%,IP/GR,P/GR,gmLI,closer war,BABIP,BIP,GB%,ifFB%,ofFB%,FB%,LD%,GB/FB,HR/FB%,if1B%
곽빈,5,30,30,0,0,0,0,15,9,0,0,167.2,79,83,76.7,716,142,29,1,11,76,6,0,154,5,1,11,4.24,4.46,4.12,4.25,4.13,1.3,8.27,4.08,2.03,0.59,21.5,10.6,10.9,0.281,67.5,3.52,4.09,0.11,88.97,80.83,88.03,0.229,0.315,0.332,0.647,2892,96.4,17.2,4.04,17,56.7,3,10,3,0,0,128,6.9,19,11,63.3,0,0,20,12,60,5.59,96.4,52.23,5,2.02,0,0,0,0,0,0,0,0,,0,0,0,0,16,10,0,0,,20,12,60,,,,,0.285,464,41.3,9,44.8,53.8,5,0.8,4.3,8.5
김택연,3.23,60,0,60,32,0,0,3,2,19,4,65,15,17,18.9,277,51,11,0,2,31,4,1,78,1,0,3,2.08,2.35,2.62,2.67,3.19,1.26,10.8,4.29,2.52,0.28,28.2,11.2,17,0.314,83.1,2.92,3.36,-1.11,43.58,50.88,67.95,0.216,0.317,0.288,0.605,1238,20.6,19,4.47,0,,0,,0,0,0,29,,0,0,,0,0,9,1,11.1,,,,,,13,2,17,19,4,5,0,5,82.1,7,1,1,0,23,8,37,5,13.5,9,1,11.1,1.08,20.63,1.61,3.23,0.314,156,39.6,5.5,53.7,59.1,1.2,0.7,2.1,5.9
브랜든,2.47,14,14,0,0,0,0,7,4,0,0,75,26,34,31.75,315,75,11,2,3,11,4,0,75,9,0,2,3.12,4.08,3.81,3.96,2.8,1.15,9,1.32,6.82,0.36,23.8,3.5,20.3,0.33,65.1,2.4,2.96,0.32,65.46,75.37,59.6,0.257,0.289,0.339,0.628,1274,91,17,4.04,10,71.4,0,0,2,0,0,47,5.6,7,6,53.8,0,0,5,4,80,5.36,91,54.5,2.47,1.14,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,0,0,,5,4,80,,,,,0.33,218,55.1,3.6,39.1,42.7,2.2,1.3,3.1,12
이병헌,1.91,77,0,77,6,0,0,6,1,1,22,65.1,21,25,29.9,285,61,7,1,3,34,3,1,57,1,1,2,2.89,3.44,4.12,4.21,4.27,1.45,7.85,4.68,1.68,0.41,20,11.9,8.1,0.315,77.7,3.81,4.43,-1.38,60.69,80.15,91.1,0.256,0.349,0.332,0.681,1173,15.2,18,4.12,0,,0,,0,0,0,48,,0,0,,0,0,43,15,34.9,,,,,,22,1,17,1,22,1,0,1,95.8,0,12,1,0,15,14,71,24,33.8,43,15,34.9,0.85,15.23,1.58,1.91,0.315,184,51.8,5.8,39.3,45,3.1,1.2,3.5,9.8
김강률,1.78,53,0,53,3,0,0,2,2,1,12,42,14,16,11.15,187,41,7,0,1,21,2,0,33,1,0,1,3,3.43,2.39,2.48,4.22,1.48,7.07,4.5,1.57,0.21,17.6,11.2,6.4,0.313,76.2,4.02,4.63,-1.22,62.94,47.11,89.89,0.255,0.346,0.317,0.663,769,14.5,18.3,4.11,0,,0,,0,0,0,32,,0,0,,0,0,40,11,27.5,,,,,,13,0,8,1,12,0,0,0,100,0,1,0,0,11,5,20,3,15,40,11,27.5,0.79,14.51,0.94,1.78,0.313,128,53.4,2.3,39.7,42,4.6,1.3,1.8,9.8
홍건희,1.59,65,0,65,18,0,0,4,3,9,11,59.1,18,22,27.65,264,55,6,1,5,33,5,4,45,2,0,5,2.73,3.34,4.19,4.36,5.19,1.48,6.83,5.01,1.36,0.76,17,12.5,4.5,0.294,82.6,4.29,4.85,-2.46,57.28,82.93,110.59,0.253,0.36,0.359,0.719,1034,15.9,17.4,3.92,0,,0,,0,0,0,17,,0,0,,0,0,24,4,16.7,,,,,,16,1,14,9,11,6,0,6,76.9,2,3,3,0,16,15,49,17,34.7,24,4,16.7,0.91,15.91,1.49,1.59,0.294,170,44.8,6.6,47,53.6,1.7,0.8,5.2,5.5
발라조빅,1.44,12,11,1,0,0,0,2,6,0,1,57,27,29,28,250,54,13,1,3,28,2,0,69,1,0,2,4.26,4.58,4.42,4.67,3.22,1.44,10.9,4.42,2.46,0.47,27.6,11.2,16.4,0.343,68.8,2.89,3.43,1.04,89.44,88.89,68.7,0.248,0.337,0.358,0.695,1067,88.9,18.7,4.27,2,18.2,0,0,6,0,0,14,2.3,3,8,27.3,0,0,12,2,16.7,5.09,94.91,51,1.47,0.47,0,0,0,0,1,0,0,0,100,0,0,0,0,4,4,0,0,,12,2,16.7,1,23,0.91,-0.03,0.351,148,49.7,5.3,41.7,47,3.3,1.1,4.2,11.1
최원준,1.42,24,24,0,0,0,0,6,7,0,0,110,79,79,70.35,490,125,24,2,21,34,10,1,72,3,0,1,6.46,6.46,5.76,5.94,6.07,1.45,5.89,2.78,2.12,1.72,14.7,6.9,7.8,0.296,64.3,3.94,4.47,0.39,135.61,113.04,129.52,0.283,0.346,0.489,0.835,1929,80.4,17.5,3.94,3,12.5,0,0,10,0,0,79,6.5,12,12,50,0,0,21,15,71.4,4.58,80.38,43.08,1.42,-0.54,0,0,0,0,0,0,0,0,,0,0,0,0,7,12,0,0,,21,15,71.4,,,,,0.296,351,34.8,7.2,54.8,62,3.2,0.6,9.1,8
최준호,1.4,17,15,2,0,0,0,3,6,0,0,72.1,41,44,41.7,314,69,8,2,11,30,4,0,58,2,0,6,5.1,5.47,5.19,5.24,5.46,1.37,7.22,3.73,1.93,1.37,18.5,9.6,8.9,0.275,67,3.77,4.33,-0.36,107.03,99.63,116.45,0.246,0.328,0.407,0.735,1227,72.2,17,3.91,3,20,0,0,8,0,0,40,5.3,8,7,53.3,0,0,13,5,38.5,4.53,75.27,48.4,1.47,0.26,0,0,1,0,0,0,0,0,,0,0,0,0,6,7,1,1,100,13,5,38.5,2.17,49,1,-0.08,0.275,211,36.9,7.7,51.8,59.5,3.6,0.6,8.3,4.3
알칸타라,1.36,12,12,0,0,0,0,2,2,0,0,64.1,34,35,34.65,270,58,8,3,10,22,2,0,34,3,0,0,4.76,4.9,4.85,5.09,5.88,1.24,4.76,3.08,1.55,1.4,12.6,8.1,4.4,0.24,69.1,4.14,4.87,-1.13,99.79,96.86,125.46,0.238,0.306,0.418,0.724,1043,86.9,16.2,3.86,5,41.7,3,25,2,0,0,31,4.3,7,5,58.3,0,0,7,1,14.3,5.36,86.92,49.08,1.36,0.21,0,0,0,0,0,0,0,0,,0,0,0,0,4,7,0,0,,7,1,14.3,,,,,0.24,200,48.1,5.2,43.9,49.1,2.8,1,9.6,8.6
최지강,1.26,55,0,55,4,0,0,3,1,1,15,50,18,19,24.55,222,48,7,2,6,24,6,2,45,2,0,3,3.24,3.42,4.42,4.52,5.18,1.44,8.1,4.32,1.88,1.08,20.3,10.8,9.5,0.3,84.3,3.83,4.26,-1.94,67.98,85.98,110.34,0.253,0.353,0.405,0.758,878,16,17.6,3.96,0,,0,,0,0,0,37,,0,0,,0,0,16,4,25,,,,,,14,0,9,1,15,2,2,4,80,0,2,2,2,15,12,37,13,35.1,16,4,25,0.91,15.96,1.57,1.26,0.3,140,56.5,6.1,35.4,41.5,2,1.4,9.8,10.4
김민규,0.75,13,4,9,4,0,0,0,1,0,0,25,12,14,12.15,117,23,7,2,4,19,4,0,19,1,0,3,4.32,5.04,4.37,4.3,7.06,1.68,6.84,6.84,1,1.44,16.2,16.2,0,0.271,80,5.28,5.4,-2.74,90.64,81.84,150.43,0.247,0.397,0.495,0.892,452,34.8,18.1,3.86,0,0,0,0,3,0,0,11,5.9,2,2,50,0,0,10,7,70,4.17,68.5,50.25,0.71,0.42,2,0,3,0,0,0,0,0,,0,0,0,0,2,2,3,3,100,10,7,70,0.93,19.78,0.21,0.03,0.271,70,29.3,12,54.7,66.7,4,0.4,8,0
이영하,0.6,59,1,58,8,0,0,5,4,2,5,65.1,29,34,41.05,298,62,9,3,4,36,2,1,59,6,0,7,3.99,4.68,5.65,5.85,4.47,1.5,8.13,4.96,1.64,0.55,19.8,12.1,7.7,0.299,70.2,3.83,4.47,-0.48,83.82,111.29,95.38,0.243,0.339,0.349,0.688,1188,20.1,18.2,3.99,0,0,0,0,1,0,0,26,70.2,1,0,100,0,0,22,9,40.9,3.33,63,47,0.19,0.13,16,2,15,2,5,1,2,3,70,0,1,1,1,12,13,44,21,47.7,22,9,40.9,1.07,19.4,0.96,0.42,0.299,194,54.2,3,38.8,41.8,4,1.3,4.8,1.6
시라카와,0.26,7,7,0,0,0,0,2,3,0,0,34.1,23,25,23.45,158,30,2,1,3,24,2,0,19,3,0,5,6.03,6.55,6.15,6.57,6.2,1.57,4.98,6.29,0.79,0.79,12,15.2,-3.2,0.248,59.6,5.25,5.78,-0.17,126.5,124.95,132.26,0.233,0.357,0.333,0.69,627,89.6,18.3,3.97,1,14.3,1,14.3,2,0,0,43,11.3,3,4,42.9,0,0,9,3,33.3,4.9,89.57,43.71,0.26,-0.35,0,0,0,0,0,0,0,0,,0,0,0,0,1,5,0,0,,9,3,33.3,,,,,0.248,109,59.3,5.3,34.5,39.8,0.9,1.5,6.7,10
김유성,0.23,17,7,10,1,0,0,1,2,0,0,28,20,23,19.2,139,28,10,0,1,24,4,0,29,1,0,2,6.43,7.39,6.17,6.5,5.13,1.86,9.32,7.71,1.21,0.32,20.9,17.3,3.6,0.333,60,4.82,4.97,1.29,134.88,123.72,109.49,0.252,0.403,0.369,0.772,622,36.6,22.2,4.47,0,0,0,0,7,0,0,30,15.6,6,1,85.7,0,0,18,9,50,2.48,53.29,45.86,0.25,-0.06,0,0,4,0,0,0,0,0,,0,0,0,0,2,3,2,1,50,18,9,50,1.07,24.9,0.33,-0.02,0.333,81,37.8,8.5,51.2,59.8,2.4,0.6,2,3.6
박신지,0.22,6,1,5,1,0,0,0,1,0,0,8.2,2,3,4.05,41,8,2,0,0,8,1,0,3,1,0,0,2.08,3.12,4.21,4.18,6.55,1.85,3.12,8.31,0.38,0,7.3,19.5,-12.2,0.286,82.4,6.68,6.86,-4.48,43.58,79.44,139.72,0.258,0.425,0.323,0.748,161,26.8,18.6,3.93,0,0,0,0,1,0,0,8,72,0,1,0,0,0,2,1,50,1,18,49,0.07,0.05,2,0,2,0,0,0,0,0,,0,0,0,0,0,2,3,2,66.7,2,1,50,1.53,28.6,0.51,0.14,0.286,28,41.4,0,58.6,58.6,0,0.7,0,0
