Name,BABIP,BIP,GB%,ifFB%,ofFB%,FB%,LD%,GB/FB,HR/FB%,if1B%
박지호,,0,,,,,,,,
최종인,0.222,27,37.9,6.9,51.7,58.6,3.4,0.6,11.8,0
알칸타라,0.24,200,48.1,5.2,43.9,49.1,2.8,1,9.6,8.6
시라카와,0.248,109,59.3,5.3,34.5,39.8,0.9,1.5,6.7,10
김도윤,0.25,8,37.5,0,62.5,62.5,0,0.6,0,50
김민규,0.271,70,29.3,12,54.7,66.7,4,0.4,8,0
최준호,0.275,211,36.9,7.7,51.8,59.5,3.6,0.6,8.3,4.3
곽빈,0.285,464,41.3,9,44.8,53.8,5,0.8,4.3,8.5
박신지,0.286,28,41.4,0,58.6,58.6,0,0.7,0,0
박소준,0.286,14,37.5,6.3,37.5,43.8,18.8,0.9,28.6,0
홍건희,0.294,170,44.8,6.6,47,53.6,1.7,0.8,5.2,5.5
최원준,0.296,351,34.8,7.2,54.8,62,3.2,0.6,9.1,8
이영하,0.299,194,54.2,3,38.8,41.8,4,1.3,4.8,1.6
최지강,0.3,140,56.5,6.1,35.4,41.5,2,1.4,9.8,10.4
김강률,0.313,128,53.4,2.3,39.7,42,4.6,1.3,1.8,9.8
김택연,0.314,156,39.6,5.5,53.7,59.1,1.2,0.7,2.1,5.9
이병헌,0.315,184,51.8,5.8,39.3,45,3.1,1.2,3.5,9.8
이교훈,0.324,111,47.5,5.8,42.5,48.3,4.2,1,12.1,7
브랜든,0.33,218,55.1,3.6,39.1,42.7,2.2,1.3,3.1,12
김유성,0.333,81,37.8,8.5,51.2,59.8,2.4,0.6,2,3.6
김동주,0.345,177,52.7,3.8,40.8,44.6,2.7,1.2,7.3,7.5
박치국,0.345,148,47.2,5.7,43.4,49.1,3.8,1,10.3,20.3
최승용,0.348,89,43.8,5.2,51,56.3,0,0.8,11.1,5.4
발라조빅,0.351,148,49.7,5.3,41.7,47,3.3,1.1,4.2,11.1
박정수,0.364,99,42.6,2,53.5,55.4,2,0.8,3.6,10.5
정철원,0.382,89,32.6,10.5,50.5,61.1,6.3,0.5,8.6,5.1
김호준,0.429,49,43.4,5.7,41.5,47.2,9.4,0.9,4,13.6
김명신,0.447,123,36.1,6,52.6,58.6,5.3,0.6,10.3,3.2
권휘,0.5,30,45.2,0,51.6,51.6,3.2,0.9,0,20
김정우,1,3,75,0,25,25,0,3,0,0
