name,GR,IP,ERA,W,L,2time,3time,plus 1,SV,HD,BLSV,BLHD,BL+,save%,TS,TH,TBS,TBH,SD,MD,IR,IRS,IRS%,BQ,BQS,BQS%,IP/GR,P/GR,gmLI,closer war
김택연,60,65,2.08,3,2,13,2,17,19,4,5,0,5,82.1,7,1,1,0,23,8,37,5,13.5,9,1,11.1,1.08,20.63,1.61,3.23
이병헌,77,65.1,2.89,6,1,22,1,17,1,22,1,0,1,95.8,0,12,1,0,15,14,71,24,33.8,43,15,34.9,0.85,15.23,1.58,1.91
김강률,53,42,3,2,2,13,0,8,1,12,0,0,0,100,0,1,0,0,11,5,20,3,15,40,11,27.5,0.79,14.51,0.94,1.78
홍건희,65,59.1,2.73,4,3,16,1,14,9,11,6,0,6,76.9,2,3,3,0,16,15,49,17,34.7,24,4,16.7,0.91,15.91,1.49,1.59
최지강,55,50,3.24,3,1,14,0,9,1,15,2,2,4,80,0,2,2,2,15,12,37,13,35.1,16,4,25,0.91,15.96,1.57,1.26
박정수,28,27.2,3.58,1,1,4,0,8,0,4,0,1,1,80,0,1,0,1,4,3,23,5,21.7,8,3,37.5,0.99,16.86,0.91,0.57
이영하,58,62,4.06,5,4,16,2,15,2,5,1,2,3,70,0,1,1,1,12,13,44,21,47.7,22,9,40.9,1.07,19.4,0.96,0.42
최종인,11,9.2,3.72,1,0,1,0,2,1,2,0,0,0,100,0,0,0,0,1,1,8,2,25,2,0,0,0.88,15.18,0.96,0.2
박신지,5,7.2,2.35,0,1,2,0,2,0,0,0,0,0,,0,0,0,0,0,2,3,2,66.7,2,1,50,1.53,28.6,0.51,0.14
박지호,1,0.2,0,0,0,0,0,0,0,1,0,0,0,100,0,1,0,0,1,0,2,0,0,1,0,0,0.67,16,3.69,0.1
박치국,52,48,6.38,2,3,12,1,11,1,3,3,0,3,57.1,1,1,1,0,4,12,33,11,33.3,28,8,28.6,0.92,15.44,0.95,0.03
김민규,9,8.1,5.4,0,0,2,0,3,0,0,0,0,0,,0,0,0,0,2,2,3,3,100,10,7,70,0.93,19.78,0.21,0.03
김도윤,2,2.1,3.86,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,,1.17,22,0.07,-0.01
김유성,10,10.2,7.59,0,1,0,0,4,0,0,0,0,0,,0,0,0,0,2,3,2,1,50,18,9,50,1.07,24.9,0.33,-0.02
발라조빅,1,1,0,0,0,0,0,0,0,1,0,0,0,100,0,0,0,0,4,4,0,0,,12,2,16.7,1,23,0.91,-0.03
최준호,2,4.1,8.31,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,6,7,1,1,100,13,5,38.5,2.17,49,1,-0.08
권휘,8,9,11,0,0,1,0,3,0,0,0,0,0,,0,0,0,0,0,2,1,1,100,7,5,71.4,1.13,25.63,0.26,-0.1
정철원,36,32.1,6.4,2,1,7,0,5,6,1,1,0,1,87.5,0,0,1,0,5,10,19,8,42.1,11,5,45.5,0.9,17.61,1.09,-0.11
김정우,1,0.1,81,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,1,1,100,0.33,11,0.21,-0.13
김호준,15,11.2,6.17,1,1,4,1,3,0,0,0,0,0,,0,0,0,0,2,3,15,5,33.3,9,3,33.3,0.78,12.73,0.77,-0.14
최승용,6,5.2,4.76,0,0,1,0,2,0,1,0,0,0,100,0,1,0,0,2,5,5,4,80,11,2,18.2,0.94,16.5,0.58,-0.14
김동주,5,9.1,7.71,0,0,0,0,2,0,0,0,1,1,0,0,0,0,1,1,7,3,1,33.3,14,6,42.9,1.87,32.8,1.28,-0.19
이교훈,33,35.1,7.39,1,1,7,1,11,0,1,0,2,2,33.3,0,0,0,2,4,4,20,8,40,13,7,53.8,1.07,19.79,0.71,-0.56
김명신,35,32.2,9.37,2,1,5,0,6,0,4,1,0,1,80,0,0,0,0,3,9,25,10,40,11,2,18.2,0.93,18.57,0.95,-1.42
곽빈,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,16,10,0,0,,20,12,60,,,,
박소준,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,,1,0,0,,,,
시라카와,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,5,0,0,,9,3,33.3,,,,
최원준,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,7,12,0,0,,21,15,71.4,,,,
알칸타라,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,4,7,0,0,,7,1,14.3,,,,
브랜든,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,0,0,,5,4,80,,,,
