Name,FIP,G,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,BABIP,LOB,ERA,RA9,rRA9,rRA9pf,FIP,xFIP,kwERA,ERA-FIP,ERA-,rRA9-,FIP-,AVG,OBP,SLG,OPS,NP,P/G,P/IP,P/PA
박지호,1.35,1,27,13.5,2,0,66.7,33.3,33.3,,100,0,0,0,0,1.35,1.35,1.4,-1.35,0,0,28.77,0,0.333,0,0.333,16,16,24,5.33
브랜든,2.8,14,9,1.32,6.82,0.36,23.8,3.5,20.3,0.33,65.1,3.12,4.08,3.81,3.96,2.8,2.4,2.96,0.32,65.46,75.37,59.6,0.257,0.289,0.339,0.628,1274,91,17,4.04
김택연,3.19,60,10.8,4.29,2.52,0.28,28.2,11.2,17,0.314,83.1,2.08,2.35,2.62,2.67,3.19,2.92,3.36,-1.11,43.58,50.88,67.95,0.216,0.317,0.288,0.605,1238,20.6,19,4.47
발라조빅,3.22,12,10.9,4.42,2.46,0.47,27.6,11.2,16.4,0.343,68.8,4.26,4.58,4.42,4.67,3.22,2.89,3.43,1.04,89.44,88.89,68.7,0.248,0.337,0.358,0.695,1067,88.9,18.7,4.27
권휘,3.55,8,11,7,1.57,0,22.4,14.3,8.2,0.5,50,11,11,8.8,9.22,3.55,3.67,4.42,7.45,230.79,175.44,75.79,0.366,0.458,0.439,0.897,205,25.6,22.8,4.18
곽빈,4.13,30,8.27,4.08,2.03,0.59,21.5,10.6,10.9,0.281,67.5,4.24,4.46,4.12,4.25,4.13,3.52,4.09,0.11,88.97,80.83,88.03,0.229,0.315,0.332,0.647,2892,96.4,17.2,4.04
김정우,4.2,1,0,0,,0,0,0,0,1,0,81,81,67.5,72.77,4.2,4.4,5.4,76.8,1699.43,1384.27,89.53,1,1,1.667,2.667,11,11,33,2.75
김강률,4.22,53,7.07,4.5,1.57,0.21,17.6,11.2,6.4,0.313,76.2,3,3.43,2.39,2.48,4.22,4.02,4.63,-1.22,62.94,47.11,89.89,0.255,0.346,0.317,0.663,769,14.5,18.3,4.11
이병헌,4.27,77,7.85,4.68,1.68,0.41,20,11.9,8.1,0.315,77.7,2.89,3.44,4.12,4.21,4.27,3.81,4.43,-1.38,60.69,80.15,91.1,0.256,0.349,0.332,0.681,1173,15.2,18,4.12
이영하,4.47,59,8.13,4.96,1.64,0.55,19.8,12.1,7.7,0.299,70.2,3.99,4.68,5.65,5.85,4.47,3.83,4.47,-0.48,83.82,111.29,95.38,0.243,0.339,0.349,0.688,1188,20.1,18.2,3.99
박정수,4.61,29,6.67,3.64,1.83,0.61,16.1,8.8,7.3,0.364,69.4,5.16,5.46,6.04,6.18,4.61,3.93,4.52,0.55,108.2,117.63,98.3,0.309,0.38,0.407,0.787,519,17.9,17.5,3.79
김유성,5.13,17,9.32,7.71,1.21,0.32,20.9,17.3,3.6,0.333,60,6.43,7.39,6.17,6.5,5.13,4.82,4.97,1.29,134.88,123.72,109.49,0.252,0.403,0.369,0.772,622,36.6,22.2,4.47
최지강,5.18,55,8.1,4.32,1.88,1.08,20.3,10.8,9.5,0.3,84.3,3.24,3.42,4.42,4.52,5.18,3.83,4.26,-1.94,67.98,85.98,110.34,0.253,0.353,0.405,0.758,878,16,17.6,3.96
