Name,War,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,Rra,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,wild pitch,ERA,RA9,rRA9,rRA9pf,FIP,WHIP
곽빈,5,30,30,0,0,0,0,15,9,0,0,167.2,79,83,76.7,716,142,29,1,11,76,6,0,154,5,1,11,4.24,4.46,4.12,4.25,4.13,1.3
김택연,3.23,60,0,60,32,0,0,3,2,19,4,65,15,17,18.9,277,51,11,0,2,31,4,1,78,1,0,3,2.08,2.35,2.62,2.67,3.19,1.26
브랜든,2.47,14,14,0,0,0,0,7,4,0,0,75,26,34,31.75,315,75,11,2,3,11,4,0,75,9,0,2,3.12,4.08,3.81,3.96,2.8,1.15
이병헌,1.91,77,0,77,6,0,0,6,1,1,22,65.1,21,25,29.9,285,61,7,1,3,34,3,1,57,1,1,2,2.89,3.44,4.12,4.21,4.27,1.45
김강률,1.78,53,0,53,3,0,0,2,2,1,12,42,14,16,11.15,187,41,7,0,1,21,2,0,33,1,0,1,3,3.43,2.39,2.48,4.22,1.48
홍건희,1.59,65,0,65,18,0,0,4,3,9,11,59.1,18,22,27.65,264,55,6,1,5,33,5,4,45,2,0,5,2.73,3.34,4.19,4.36,5.19,1.48
발라조빅,1.44,12,11,1,0,0,0,2,6,0,1,57,27,29,28,250,54,13,1,3,28,2,0,69,1,0,2,4.26,4.58,4.42,4.67,3.22,1.44
최원준,1.42,24,24,0,0,0,0,6,7,0,0,110,79,79,70.35,490,125,24,2,21,34,10,1,72,3,0,1,6.46,6.46,5.76,5.94,6.07,1.45
최준호,1.4,17,15,2,0,0,0,3,6,0,0,72.1,41,44,41.7,314,69,8,2,11,30,4,0,58,2,0,6,5.1,5.47,5.19,5.24,5.46,1.37
알칸타라,1.36,12,12,0,0,0,0,2,2,0,0,64.1,34,35,34.65,270,58,8,3,10,22,2,0,34,3,0,0,4.76,4.9,4.85,5.09,5.88,1.24
최지강,1.26,55,0,55,4,0,0,3,1,1,15,50,18,19,24.55,222,48,7,2,6,24,6,2,45,2,0,3,3.24,3.42,4.42,4.52,5.18,1.44
김민규,0.75,13,4,9,4,0,0,0,1,0,0,25,12,14,12.15,117,23,7,2,4,19,4,0,19,1,0,3,4.32,5.04,4.37,4.3,7.06,1.68
이영하,0.6,59,1,58,8,0,0,5,4,2,5,65.1,29,34,41.05,298,62,9,3,4,36,2,1,59,6,0,7,3.99,4.68,5.65,5.85,4.47,1.5
시라카와,0.26,7,7,0,0,0,0,2,3,0,0,34.1,23,25,23.45,158,30,2,1,3,24,2,0,19,3,0,5,6.03,6.55,6.15,6.57,6.2,1.57
김유성,0.23,17,7,10,1,0,0,1,2,0,0,28,20,23,19.2,139,28,10,0,1,24,4,0,29,1,0,2,6.43,7.39,6.17,6.5,5.13,1.86
박신지,0.22,6,1,5,1,0,0,0,1,0,0,8.2,2,3,4.05,41,8,2,0,0,8,1,0,3,1,0,0,2.08,3.12,4.21,4.18,6.55,1.85
박정수,0.2,29,1,28,7,0,0,1,2,0,4,29.2,17,18,19.9,137,38,4,1,2,12,2,0,22,0,0,2,5.16,5.46,6.04,6.18,4.61,1.69
최종인,0.2,11,0,11,4,0,0,1,0,1,2,9.2,4,4,5,42,8,0,0,2,5,0,0,8,0,0,0,3.72,3.72,4.66,4.71,6.2,1.34
최승용,0.14,12,6,6,1,0,0,2,0,0,1,27,18,19,20.4,124,37,5,2,6,7,0,0,21,2,0,0,6,6.33,6.8,6.85,5.7,1.63
박지호,0.1,1,0,1,0,0,0,0,0,0,1,0.2,0,0,0,3,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,1.35,1.5
박치국,0.03,52,0,52,15,0,0,2,3,1,3,48,34,34,35.05,222,59,6,0,8,18,10,1,35,1,1,1,6.38,6.38,6.57,6.7,6.1,1.6
김도윤,-0.01,2,0,2,2,0,0,0,0,0,0,2.1,1,2,2,12,2,1,0,0,2,1,0,1,0,0,0,3.86,7.71,7.71,8.32,7.11,1.71
박소준,-0.07,1,1,0,0,0,0,0,1,0,0,4,5,5,5,20,6,0,0,2,2,0,0,2,0,0,1,11.25,11.25,11.25,10.2,10.45,2
권휘,-0.1,8,0,8,3,0,0,0,0,0,0,9,11,11,8.8,49,15,3,0,0,7,0,0,11,0,0,1,11,11,8.8,9.22,3.55,2.44
정철원,-0.11,36,0,36,14,0,0,2,1,6,1,32.1,23,24,25.55,165,39,7,2,5,26,5,0,39,1,0,0,6.4,6.68,7.11,7.01,6,2.01
김정우,-0.13,1,0,1,0,0,0,0,0,0,0,0.1,3,3,2.5,4,3,2,0,0,0,0,0,0,0,0,0,81,81,67.5,72.77,4.2,9
김동주,-0.25,14,9,5,3,1,0,1,3,0,0,50,38,46,42.45,244,67,12,3,6,21,4,0,35,3,1,7,6.84,8.28,7.64,7.9,5.43,1.76
김호준,-0.31,16,1,15,6,0,0,1,2,0,0,13.1,13,14,15,68,22,6,1,1,4,5,0,6,0,0,0,8.78,9.45,10.13,9.94,6.06,1.95
이교훈,-0.56,33,0,33,7,0,0,1,1,0,1,35.1,29,32,32.65,166,43,11,1,7,17,2,0,27,2,0,0,7.39,8.15,8.32,8.78,6.31,1.7
김명신,-1.42,35,0,35,5,0,0,2,1,0,4,32.2,34,34,38.5,168,63,7,0,8,8,2,0,25,1,0,1,9.37,9.37,10.61,11.17,6.15,2.17
