Name,FIP,G,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,BABIP,LOB,ERA,RA9,rRA9,rRA9pf,FIP,xFIP,kwERA,ERA-FIP,ERA-,rRA9-,FIP-,AVG,OBP,SLG,OPS,NP,P/G,P/IP,P/PA
강재민,2.89,50,10.47,3.31,3.17,0.55,28.1,8.9,19.2,0.312,78.2,2.57,2.94,2.72,2.86,2.89,2.26,3.09,-0.32,55.22,56.15,62.09,0.227,0.295,0.304,0.599,871,17.4,17.8,4.29
정우람,3.35,50,8.78,1.99,4.42,0.66,23,5.2,17.8,0.355,66.7,4.8,4.8,4.72,4.87,3.35,2.59,3.26,1.46,103.16,95.52,71.85,0.283,0.332,0.405,0.737,907,18.1,16.7,3.94
김진영,4.16,58,9.33,3.67,2.55,1,24.2,9.5,14.7,0.294,72.3,3.33,4.33,4.87,4.77,4.16,2.93,3.63,-0.83,71.59,93.5,89.34,0.236,0.317,0.345,0.662,949,16.4,17.6,4.11
윤대경,4.22,55,7.41,4.41,1.68,0.53,18.7,11.1,7.6,0.304,83.3,1.59,2.82,3.84,3.92,4.22,3.63,4.49,-2.63,34.11,76.76,90.56,0.251,0.344,0.335,0.679,869,15.8,17,3.86
장민재,4.45,24,5.02,2.04,2.46,0.79,12,4.9,7.1,0.377,60.6,6.75,6.91,6.59,6.84,4.45,3.55,4.55,2.3,144.96,133.97,95.54,0.35,0.378,0.504,0.882,975,40.6,17,3.65
박상원,4.62,62,8.07,3.1,2.6,1.24,20.3,7.8,12.5,0.316,68,4.66,5.43,6.23,6.47,4.62,3.1,3.9,0.03,99.97,126.84,99.31,0.271,0.337,0.445,0.782,981,15.8,16.9,3.83
송윤준,4.66,26,6.26,5.09,1.23,0.39,15.1,12.3,2.8,0.301,72.2,4.3,4.3,4.32,4.35,4.66,4.27,5.06,-0.36,92.44,85.16,100.09,0.258,0.356,0.371,0.727,434,16.7,18.9,4.09
장웅정,4.79,2,5.87,7.04,0.83,0,14.3,17.1,-2.9,0.292,76.9,3.52,3.52,3.11,3.49,4.79,4.9,5.74,-1.27,75.63,68.31,102.89,0.241,0.371,0.276,0.647,156,78,20.3,4.46
김민우,4.83,26,8.41,4.88,1.72,1.02,20.9,12.1,8.8,0.287,71.5,4.34,4.88,4.72,4.68,4.83,3.58,4.35,-0.48,93.24,91.74,103.65,0.24,0.34,0.364,0.704,2460,94.6,18.5,4.15
이태양,4.85,7,8.31,5.19,1.6,1.04,20.5,12.8,7.7,0.4,60,7.27,7.27,8.36,8.25,4.85,3.56,4.48,2.42,156.11,161.67,104.14,0.324,0.41,0.529,0.939,162,23.1,18.7,4.15
서폴드,4.93,28,5.29,2.29,2.31,1.04,13.2,5.7,7.5,0.33,65.4,4.91,5.84,5.6,5.75,4.93,3.67,4.5,-0.02,105.43,112.76,105.86,0.304,0.354,0.443,0.797,2742,97.9,16.6,3.74
김종수,5.07,54,7.74,4.68,1.65,1.08,18.9,11.4,7.5,0.327,65.3,5.94,6.12,6.75,7,5.07,3.77,4.51,0.87,127.57,137.21,108.91,0.276,0.369,0.454,0.823,941,17.4,18.8,4.13
장시환,5.09,26,7.8,5.02,1.55,1.02,19.1,12.3,6.8,0.319,70,5.02,5.49,5.45,5.56,5.09,3.84,4.58,-0.07,107.81,109.01,109.3,0.271,0.368,0.415,0.783,2434,93.6,18.3,4.04
채드벨,5.17,16,7.13,4.09,1.74,1.17,17.6,10.1,7.5,0.325,64,5.96,6.31,5.91,6.12,5.17,3.73,4.5,0.79,128.02,119.97,111.04,0.284,0.365,0.421,0.786,1367,85.4,17.8,3.95
