Name,BABIP,BIP,GB%,ifFB%,ofFB%,FB%,LD%,GB/FB,HR/FB%,if1B%
카펜터,0.297,452,49.6,4,43.3,47.3,3.2,1,7.1,15.3
김민우,0.267,435,48.9,4.6,44.1,48.7,2.4,1,6.8,9.2
킹험,0.266,398,47.8,4.3,45.2,49.5,2.7,1,5.4,14.5
장시환,0.352,236,48.1,4.1,45.6,49.8,2.1,1,3.3,9.2
윤대경,0.279,233,37.9,8.6,50.2,58.8,3.3,0.6,5.6,4.1
김범수,0.328,201,44.4,6.3,47.3,53.7,2,0.8,1.8,14.7
강재민,0.275,178,36.6,9.8,51.9,61.7,1.6,0.6,1.8,11.8
김기중,0.332,178,38.6,6.5,50.5,57.1,4.3,0.7,3.8,9.5
주현상,0.26,154,34.4,7.4,53.4,60.7,4.9,0.6,6.1,2.2
정우람,0.316,133,34.5,8.5,52.8,61.3,4.2,0.6,5.7,12.8
윤호솔,0.26,131,36,7.2,51.8,59,5,0.6,8.5,12.2
김종수,0.213,127,39.3,5.2,51.1,56.3,4.4,0.7,9.2,0
배동현,0.261,119,36.1,7.4,54.1,61.5,2.5,0.6,4,8.8
장민재,0.297,101,50.5,1.9,44.9,46.7,2.8,1.1,8,8.8
김이환,0.333,90,36.6,8.6,51.6,60.2,3.2,0.6,3.6,6.3
오동욱,0.225,80,36.1,9.6,50.6,60.2,3.6,0.6,6,4.8
신정락,0.349,63,37.1,4.3,57.1,61.4,1.4,0.6,7,20
김진영,0.246,57,52.5,3.4,39,42.4,5.1,1.2,8,12.5
이충호,0.339,56,51.7,3.4,43.1,46.6,1.7,1.1,3.7,10
황영국,0.356,45,44.4,0,51.1,51.1,4.4,0.9,0,6.3
임준섭,0.45,40,56.1,0,41.5,41.5,2.4,1.4,5.9,10.5
송윤준,0.29,38,38.5,5.1,53.8,59,2.6,0.7,4.3,0
김기탁,0.368,38,35.9,0,59,59,5.1,0.6,0,7.1
장웅정,0.393,28,21.9,3.1,68.8,71.9,6.3,0.3,17.4,0
남지민,0.296,27,28.6,10.7,60.7,71.4,0,0.4,5,0
정인욱,0.154,26,42.9,7.1,42.9,50,7.1,0.9,14.3,16.7
이승관,0.476,21,21.7,8.7,69.6,78.3,0,0.3,5.6,0
윤산흠,0.539,13,53.8,0,38.5,38.5,7.7,1.4,0,0
서균,0.286,7,37.5,0,62.5,62.5,0,0.6,0,0
박주홍,0.333,6,33.3,16.7,50,66.7,0,0.5,0,0
정진호,0.2,5,60,0,40,40,0,1.5,0,0
강경학,0.6,5,40,0,60,60,0,0.7,0,33.3
문동욱,0.333,3,66.7,0,33.3,33.3,0,2,0,100
신지후,0,2,50,0,50,50,0,1,0,
