Name,War,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,Rra,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,wild pitch,ERA,RA9,rRA9,rRA9pf,FIP,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,BABIP,LOB,xFIP,kwERA,ERA-FIP,ERA-,rRA9-,FIP-,AVG,OBP,SLG,OPS,NP,P/G,P/IP,P/PA,QS,QS%,QS+,QS+%,QH,TL,CW,RS,RS9,start W,start L,W%,start BW,start BL,strat BQ,start BQS,start BQS%,IP/GS,P/GS,AGS,starter waa,starter war,2time,3time,plus 1,SV,HD_1,BLSV,BLHD,BL+,save%,TS,TH,TBS,TBH,SD,MD,IR,IRS,IRS%,BQ,BQS,BQS%,IP/GR,P/GR,gmLI,closer war,BABIP_2,BIP,GB%,ifFB%,ofFB%,FB%,LD%,GB/FB,HR/FB%,if1B%,PFR,PF1,PF2,PF3,PFH,PFslg
킹험,4.59,25,25,0,0,0,0,10,8,0,0,144,51,58,57.5,591,117,22,0,11,41,5,1,131,10,2,4,3.19,3.63,3.59,3.62,3.39,1.1,8.19,2.56,3.2,0.69,22.2,6.9,15.2,0.266,70.9,2.56,3.57,-0.2,73.31,75.57,78.01,0.219,0.278,0.321,0.599,2356,94.2,16.4,3.99,15,60,5,20,2,0,0,83,5.2,10,14,41.7,0,0,5,1,20,5.76,94.24,56.4,2.03,4.59,0,0,0,0,0,0,0,0,,0,0,0,0,15,8,0,0,,5,1,20,,,,,0.266,398,47.8,4.3,45.2,49.5,2.7,1,5.4,14.5,,,,,,
김민우,4.4,29,28,1,0,0,0,14,10,0,0,155.1,69,71,66.2,662,131,23,1,15,76,7,1,125,5,1,5,4,4.11,3.84,3.93,4.56,1.33,7.24,4.4,1.64,0.87,18.9,11.5,7.4,0.267,74.1,3.49,4.51,-0.56,91.95,82.07,104.89,0.23,0.325,0.353,0.678,2666,91.9,17.2,4.03,11,39.3,4,14.3,8,0,0,89,5.2,15,13,53.6,0,0,19,9,47.4,5.51,94.79,51.79,1.58,4.32,0,0,0,0,0,0,0,0,,0,0,0,0,13,11,0,0,,19,9,47.4,1,12,1.51,0.08,0.267,435,48.9,4.6,44.1,48.7,2.4,1,6.8,9.2,,,,,,
카펜터,3.25,31,30,1,0,0,0,5,12,0,0,170,75,90,87.75,746,150,21,3,16,72,19,0,179,16,1,7,3.97,4.76,4.65,4.78,3.91,1.31,9.48,3.81,2.49,0.85,24,9.7,14.3,0.297,68.9,2.87,3.68,0.06,91.32,99.82,90.02,0.234,0.327,0.35,0.677,2999,96.7,17.6,4.02,12,40,4,13.3,7,0,0,73,3.9,7,18,28,0,0,10,4,40,5.63,99.43,52.4,0.17,3.18,0,0,0,0,0,0,0,0,,0,0,0,0,17,11,0,0,,10,4,40,1,16,1.34,0.08,0.297,452,49.6,4,43.3,47.3,3.2,1,7.1,15.3,,,,,,
강재민,2.22,58,0,58,18,0,0,2,1,5,13,63.1,15,16,22.6,269,51,13,0,2,26,5,3,55,4,1,1,2.13,2.27,3.21,3.37,3.39,1.22,7.82,3.7,2.12,0.28,20.4,9.7,10.8,0.275,83.5,3.12,4.11,-1.26,49.02,70.33,77.99,0.22,0.308,0.302,0.61,1159,20,18.3,4.31,0,,0,,0,0,0,29,,0,0,,0,0,9,2,22.2,,,,,,11,0,21,5,13,6,1,7,72,1,2,1,0,25,10,36,13,36.1,9,2,22.2,1.09,19.98,1.56,2.22,0.275,178,36.6,9.8,51.9,61.7,1.6,0.6,1.8,11.8,,,,,,
윤대경,1.71,43,9,34,2,0,0,2,5,0,7,77.2,34,35,36.2,337,73,13,0,8,34,6,2,54,5,0,3,3.94,4.06,4.19,4.27,4.81,1.38,6.26,3.94,1.59,0.93,16,10.1,5.9,0.279,76.5,3.69,4.69,-0.87,90.61,89.26,110.65,0.247,0.337,0.373,0.71,1291,30,16.6,3.83,0,0,0,0,7,0,0,31,8,3,5,37.5,0,0,24,7,29.2,3.85,64.11,49.22,0.44,1.06,5,0,15,0,7,0,2,2,77.8,0,1,0,1,16,8,21,9,42.9,24,7,29.2,1.26,21,0.88,0.65,0.279,233,37.9,8.6,50.2,58.8,3.3,0.6,5.6,4.1,,,,,,
주현상,0.97,43,0,43,6,0,0,2,2,0,4,50.1,20,21,24.6,218,46,6,3,6,21,1,2,33,3,0,6,3.58,3.75,4.4,4.39,4.78,1.33,5.9,3.76,1.57,1.07,15.1,9.6,5.5,0.26,78.3,3.47,4.74,-1.2,82.25,91.59,109.89,0.241,0.316,0.398,0.714,925,21.5,18.4,4.24,0,,0,,0,0,0,18,,0,0,,0,0,10,4,40,,,,,,3,0,18,0,4,0,3,3,57.1,0,1,0,1,13,8,31,11,35.5,10,4,40,1.17,21.51,1.04,0.97,0.26,154,34.4,7.4,53.4,60.7,4.9,0.6,6.1,2.2,,,,,,
김범수,0.88,56,2,54,3,0,0,4,9,1,9,70.2,41,44,38.8,319,68,11,2,2,42,2,1,70,3,1,8,5.22,5.6,4.94,5.02,3.56,1.56,8.92,5.35,1.67,0.26,21.9,13.2,8.8,0.328,62.4,3.31,4.35,1.66,120.09,104.83,81.82,0.253,0.353,0.331,0.684,1337,23.9,18.9,4.19,0,0,0,0,2,0,0,26,41.3,0,2,0,0,0,39,16,41,2.83,59.5,46.5,-0.08,0.02,9,0,19,1,9,5,4,9,52.6,1,1,1,2,13,15,33,7,21.2,39,16,41,1.2,22.56,1.23,0.87,0.328,201,44.4,6.3,47.3,53.7,2,0.8,1.8,14.7,,,,,,
김기중,0.59,15,12,3,0,0,0,2,4,0,0,53.2,28,32,32,260,63,10,1,4,36,4,2,36,3,2,0,4.7,5.37,5.37,5.54,5.29,1.84,6.04,6.04,1,0.67,13.8,13.8,0,0.332,73.2,4.51,5.4,-0.59,108,115.69,121.6,0.294,0.399,0.407,0.806,1040,69.3,19.4,4,1,8.3,0,0,7,0,0,43,8,4,7,36.4,0,0,14,1,7.1,4.03,78.42,43.08,-0.47,0.39,0,0,2,0,0,0,0,0,,0,0,0,0,6,8,1,1,100,14,1,7.1,1.78,33,0.63,0.2,0.332,178,38.6,6.5,50.5,57.1,4.3,0.7,3.8,9.5,,,,,,
장민재,0.47,12,6,6,3,0,0,0,2,0,0,29.1,9,17,17.05,128,34,7,0,4,8,0,1,13,3,0,1,2.76,5.22,5.23,5.5,5.13,1.43,3.99,2.46,1.63,1.23,10.2,6.3,3.9,0.297,69.4,3.6,4.93,-2.37,63.51,114.76,117.92,0.288,0.333,0.449,0.782,453,37.8,15.4,3.54,1,16.7,0,0,5,0,0,17,6.5,2,3,40,0,0,4,2,50,3.94,56.67,49.17,0.23,0.65,2,0,1,0,0,0,0,0,,0,0,0,0,4,3,6,2,33.3,4,2,50,0.94,18.83,0.14,-0.18,0.297,101,50.5,1.9,44.9,46.7,2.8,1.1,8,8.8,,,,,,
배동현,0.46,20,4,16,2,0,0,1,3,0,0,38,19,21,21,177,34,9,1,3,25,4,0,26,1,2,1,4.5,4.97,4.97,5.15,5.36,1.55,6.16,5.92,1.04,0.71,14.7,14.1,0.6,0.261,71.2,4.54,5.33,-0.86,103.5,107.64,123.31,0.234,0.356,0.372,0.728,731,36.6,19.2,4.13,0,0,0,0,3,0,0,17,10.9,1,3,25,0,0,16,5,31.3,3.5,70.25,39.5,-0.37,-0.12,2,0,7,0,0,0,0,0,,0,0,0,0,2,7,11,5,45.5,16,5,31.3,1.5,28.13,0.73,0.58,0.261,119,36.1,7.4,54.1,61.5,2.5,0.6,4,8.8,,,,,,
