name,GR,IP,ERA,W,L,2time,3time,plus 1,SV,HD,BLSV,BLHD,BL+,save%,TS,TH,TBS,TBH,SD,MD,IR,IRS,IRS%,BQ,BQS,BQS%,IP/GR,P/GR,gmLI,closer war
윤산흠,37,33.2,2.67,1,1,4,0,6,0,3,2,0,2,60,0,1,0,0,11,6,16,3,18.8,17,4,23.5,0.91,18.46,1.03,1.06
김범수,78,66,4.36,3,7,19,2,2,0,27,5,1,6,81.8,0,6,1,0,27,16,29,10,34.5,27,12,44.4,0.85,14.58,1.49,0.7
장시환,64,63.2,4.38,0,5,12,1,10,14,9,5,0,5,82.1,1,3,1,0,20,11,25,4,16,8,7,87.5,0.99,18.47,1.38,0.49
강재민,56,51.1,4.21,4,8,9,0,2,7,7,5,0,5,73.7,0,0,1,0,18,15,13,7,53.8,14,3,21.4,0.92,16.27,1.47,0.42
정우람,23,18.1,2.95,0,1,3,0,0,1,7,0,0,0,100,0,1,0,0,3,2,6,1,16.7,5,0,0,0.8,14.3,0.98,0.29
박상원,14,12,2.25,0,0,2,0,0,0,4,1,0,1,80,0,1,1,0,6,2,9,4,44.4,4,1,25,0.86,15.5,1.52,0.24
남지민,2,5,1.8,1,0,0,0,1,0,0,0,0,0,,0,0,0,0,6,12,0,0,,19,6,31.6,2.5,41,0.63,0.2
김기중,2,3,0,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,1,2,1,1,100,3,0,0,1.5,35.5,0.68,0.13
윤대경,11,11.1,4.76,1,1,0,0,2,0,0,1,0,1,0,0,0,0,0,5,13,3,2,66.7,20,10,50,1.03,18.18,1.07,0.09
박윤철,4,7.1,3.68,0,0,0,0,3,0,0,0,0,0,,0,0,0,0,2,4,1,1,100,11,1,9.1,1.83,33.5,0.39,0.08
장민재,7,6.1,2.84,0,0,2,1,2,0,0,0,1,1,0,0,0,0,1,12,9,12,3,25,12,3,25,0.9,12.57,1.24,0.06
임준섭,5,3.2,2.45,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,2,100,2,0,0,0.73,14,0.19,0.03
윤호솔,52,42.1,4.04,3,5,10,0,1,0,7,2,0,2,77.8,0,0,0,0,13,7,14,6,42.9,18,7,38.9,0.81,15.4,1.03,0.01
이민우,20,26,4.85,0,0,1,0,6,0,0,0,0,0,,0,0,0,0,3,6,11,6,54.5,11,4,36.4,1.3,21.9,0.53,0.01
류희운,7,6,3,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,4,4,100,0,0,,0.86,16.71,0.09,0.01
박준영,3,4,6.75,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,2,0,0,,4,2,50,1.33,33.67,0.09,0
송윤준,3,4.1,6.23,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,,3,0,0,1.44,24,0.65,-0.01
김도현,1,0,99.99,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,2,2,100,2,0,0,0,18,1.09,-0.03
김규연,12,13.2,5.27,0,0,0,0,3,0,1,0,0,0,100,0,0,0,0,1,0,4,0,0,4,0,0,1.14,24.67,0.18,-0.04
한승주,5,7.1,7.36,0,0,0,0,3,0,0,0,0,0,,0,0,0,0,0,1,0,0,,4,1,25,1.47,29,0.35,-0.05
이승관,7,5.1,10.13,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,6,1,16.7,5,3,60,0.76,14.71,0.27,-0.06
신정락,44,47,4.02,2,1,8,1,10,1,4,0,2,2,71.4,0,0,0,2,4,4,34,14,41.2,9,1,11.1,1.07,17.05,0.74,-0.08
문동주,9,11.2,6.94,0,0,0,0,3,0,2,0,0,0,100,0,0,0,0,4,1,0,0,,5,4,80,1.3,21.89,0.51,-0.08
이충호,5,4.2,9.64,1,0,1,0,2,0,0,0,0,0,,0,0,0,0,0,1,3,1,33.3,2,2,100,0.93,20.2,0.36,-0.08
김재영,29,28,5.79,0,1,3,0,6,0,1,0,0,0,100,0,1,0,0,1,4,20,10,50,10,6,60,0.97,16.21,0.63,-0.23
이재민,2,2,36,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,,4,4,100,1,27.5,0.24,-0.32
김종수,52,45,4.4,3,4,11,2,6,1,6,3,2,5,58.3,0,0,2,2,8,14,27,11,40.7,13,2,15.4,0.87,15.83,1.29,-0.77
주현상,49,55.1,6.83,0,1,5,0,11,1,3,1,1,2,66.7,0,0,0,0,8,7,35,14,40,13,9,69.2,1.13,18.69,0.77,-0.89
카펜터,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,0,0,,0,0,,,,,
김민우,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,13,12,0,0,,9,7,77.8,,,0.02,
라미레즈,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,6,6,0,0,,5,4,80,,,,
킹험,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,0,0,,4,0,0,,,,
페냐,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,7,4,0,0,,9,4,44.4,,,,
