Name,BABIP,BIP,GB%,ifFB%,ofFB%,FB%,LD%,GB/FB,HR/FB%,if1B%
김민우,0.274,463,43.9,6.1,47.6,53.7,2.4,0.8,6.1,9.1
장민재,0.277,394,47,3.4,47.2,50.6,2.4,0.9,7.2,9.7
남지민,0.314,319,44.1,3.3,49.5,52.9,3,0.8,5.2,11
윤대경,0.38,263,34.7,7.3,54,61.3,4,0.6,3.6,5.7
라미레즈,0.257,187,50.8,6.2,41.5,47.7,1.6,1.1,4.3,19.2
주현상,0.342,187,36.9,6.2,54.4,60.5,2.6,0.6,4.2,4.3
김범수,0.322,183,50.3,4.1,42,46.1,3.6,1.1,5.6,15.6
페냐,0.328,180,51.9,4.8,41.2,46,2.1,1.1,4.7,11.1
장시환,0.316,168,48.6,3.9,46.4,50.3,1.1,1,4.4,10.5
신정락,0.293,164,45.6,4.1,49.1,53.3,1.2,0.9,4.4,3.8
강재민,0.25,148,49.4,2.5,44.4,46.9,3.8,1.1,9.3,11.4
이민우,0.331,142,40.7,4.8,50.3,55.2,4.1,0.7,3.8,8
윤호솔,0.306,134,40.6,6.5,46.4,52.9,6.5,0.8,2.7,16.3
김종수,0.283,120,34.1,6.2,58.1,64.3,1.6,0.5,6,2.6
박윤철,0.308,117,44.7,4.9,47.2,52,3.3,0.9,7.8,9.8
김재영,0.32,100,51,6.9,40.2,47.1,2,1.1,2.1,6.1
윤산흠,0.293,75,55.8,6.5,35.1,41.6,2.6,1.3,3.1,17.4
문동주,0.329,70,59.2,1.3,38.2,39.5,1.3,1.5,16.7,14.3
한승주,0.439,57,49.1,5.3,42.1,47.4,3.5,1,0,8
카펜터,0.321,56,56.1,1.8,40.4,42.1,1.8,1.3,4.2,10.5
정우람,0.4,55,37.9,10.3,50,60.3,1.7,0.6,2.9,4.3
킹험,0.311,45,65.2,4.3,30.4,34.8,0,1.9,6.3,20
김규연,0.311,45,38.3,2.1,59.6,61.7,0,0.6,6.9,6.3
김기중,0.263,38,39.5,4.7,53.5,58.1,2.3,0.7,16,7.1
박준영,0.353,34,42.9,2.9,51.4,54.3,2.9,0.8,5.3,7.7
박상원,0.367,30,51.6,3.2,45.2,48.4,0,1.1,0,27.3
이승관,0.421,19,40,10,45,55,5,0.7,0,0
류희운,0.294,17,52.9,5.9,35.3,41.2,5.9,1.3,0,0
임준섭,0.313,16,25,0,75,75,0,0.3,0,40
이충호,0.375,16,47.1,5.9,41.2,47.1,5.9,1,12.5,28.6
송윤준,0.231,13,42.9,0,50,50,7.1,0.9,0,33.3
이재민,0.333,9,44.4,11.1,44.4,55.6,0,0.8,0,0
김도현,1,3,66.7,0,33.3,33.3,0,2,0,0
