Name,War,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,Rra,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,wild pitch,ERA,RA9,rRA9,rRA9pf,FIP,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,BABIP,LOB,xFIP,kwERA,ERA-FIP,ERA-,rRA9-,FIP-,AVG,OBP,SLG,OPS,NP,P/G,P/IP,P/PA,QS,QS%,QS+,QS+%,QH,TL,CW,RS,RS9,start W,start L,W%,start BW,start BL,strat BQ,start BQS,start BQS%,IP/GS,P/GS,AGS,starter waa,starter war,2time,3time,plus 1,SV,HD,BLSV,BLHD,BL+,save%,TS,TH,TBS,TBH,SD,MD,IR,IRS,IRS%,BQ,BQS,BQS%,IP/GR,P/GR,gmLI,closer war,BABIP,BIP,GB%,ifFB%,ofFB%,FB%,LD%,GB/FB,HR/FB%,if1B%
페냐,4.28,32,32,0,0,0,0,11,11,0,0,177.1,71,82,79.25,751,149,28,5,14,59,18,1,147,13,4,16,3.6,4.16,4.02,3.98,4.06,1.17,7.46,2.99,2.49,0.71,19.6,7.9,11.7,0.268,69.9,3.19,3.99,-0.46,86.63,85.48,97.67,0.225,0.305,0.346,0.651,2886,90.2,16.3,3.84,19,59.4,4,12.5,5,1,1,98,5,16,15,51.6,2,1,15,6,40,5.54,90.19,53.56,1.13,4.28,0,0,0,0,0,0,0,0,,0,0,0,0,12,13,0,0,,15,6,40,,,,,0.268,503,47.6,4.9,44.6,49.5,2.8,1,5.4,9.4
문동주,3.08,23,23,0,0,0,0,8,8,0,0,118.2,49,52,49.95,503,113,20,2,6,42,4,0,95,2,1,5,3.72,3.94,3.79,3.82,3.65,1.31,7.21,3.19,2.26,0.46,18.9,8.3,10.5,0.302,70.9,3.11,4.14,0.07,89.35,82.01,87.78,0.249,0.317,0.341,0.658,2067,89.9,17.4,4.11,7,30.4,3,13,11,0,0,72,5.5,11,11,50,2,1,13,4,30.8,5.16,89.87,51.61,0.97,3.08,0,0,0,0,0,0,0,0,,0,0,0,0,11,9,0,0,,13,4,30.8,,,,,0.302,354,51.7,4.7,41.4,46.1,2.2,1.1,3.6,8.8
산체스,2.59,24,24,0,0,0,0,7,8,0,0,126,53,62,60.8,540,136,23,0,13,28,6,2,99,7,0,3,3.79,4.43,4.34,4.29,3.92,1.3,7.07,2,3.54,0.93,18.3,5.2,13.1,0.316,71.1,2.76,3.82,-0.14,91.01,92.21,94.36,0.273,0.318,0.398,0.716,2125,88.5,16.9,3.94,8,33.3,2,8.3,9,0,2,84,6,12,11,52.2,3,0,8,3,37.5,5.25,88.54,50.38,0.35,2.59,0,0,0,0,0,0,0,0,,0,0,0,0,10,10,0,0,,8,3,37.5,,,,,0.316,389,51.1,5.2,40.3,45.5,3.4,1.1,7,11.8
주현상,2.44,55,0,55,9,0,0,2,2,0,12,59.2,13,13,14.95,228,35,6,1,2,15,3,1,45,1,0,0,1.96,1.96,2.26,2.29,3.25,0.84,6.79,2.26,3,0.3,19.7,6.6,13.2,0.209,80,2.92,3.82,-1.29,47.14,49.28,78.04,0.172,0.238,0.24,0.478,897,16.3,15,3.93,0,,0,,0,0,0,17,,0,0,,0,0,12,4,33.3,,,,,,18,2,14,0,12,1,0,1,92.3,0,0,0,0,19,6,26,8,30.8,12,4,33.3,1.08,16.31,1.14,2.44,0.209,158,35.8,10.3,49.7,60,4.2,0.6,2,2.9
이태양,1.78,50,12,38,6,0,0,3,3,0,2,100.1,36,44,48.5,422,100,25,6,7,21,3,2,72,9,0,1,3.23,3.95,4.35,4.33,3.6,1.21,6.46,1.88,3.43,0.63,17.1,5,12.1,0.298,70.2,2.85,3.95,-0.37,77.64,93.08,86.46,0.26,0.299,0.41,0.709,1560,31.2,15.5,3.7,1,8.3,0,0,10,0,2,37,6.6,6,5,54.5,1,0,9,2,22.2,4.19,64.17,49.17,-0.06,0.83,2,0,13,0,2,0,0,0,100,0,0,0,0,16,9,15,10,66.7,9,2,22.2,1.32,20.79,0.84,0.95,0.298,312,38.7,8,50.9,58.9,2.5,0.7,3.6,5
윤대경,1.39,47,0,47,10,0,0,5,1,0,2,47.2,13,18,15.95,199,36,9,1,4,19,6,0,28,2,0,2,2.45,3.4,3.01,2.92,5.01,1.15,5.29,3.59,1.47,0.76,14.1,9.5,4.5,0.227,78.2,4.1,4.86,-2.55,59.01,62.8,120.33,0.209,0.308,0.343,0.651,795,16.9,16.7,4,0,,0,,0,0,0,22,,0,0,,0,0,12,6,50,,,,,,9,2,7,0,2,1,0,1,66.7,0,1,0,0,9,7,10,2,20,12,6,50,1.01,16.91,0.71,1.39,0.227,141,30.1,9.6,56.8,66.4,3.4,0.5,4.1,11.1
한승주,0.85,47,6,41,12,0,0,1,4,0,2,70.2,31,34,37.65,320,81,16,2,6,31,4,2,55,1,0,5,3.95,4.33,4.8,4.75,4.45,1.58,7.01,3.95,1.77,0.76,17.2,9.7,7.5,0.338,75.9,3.51,4.5,-0.5,94.92,102.05,106.97,0.287,0.365,0.422,0.787,1267,27,17.9,3.96,0,0,0,0,5,0,0,33,14.4,2,4,33.3,0,0,15,4,26.7,3.44,58.83,42.67,-0.43,-0.06,5,0,15,0,2,0,2,2,50,0,0,0,1,8,9,24,11,45.8,15,4,26.7,1.22,22.29,0.64,0.91,0.338,222,49.6,6.1,41.3,47.4,3,1,5.5,8.6
김기중,0.82,37,6,31,6,0,0,1,3,0,1,56.1,29,33,29.2,253,58,9,3,4,29,9,1,46,2,0,2,4.63,5.27,4.67,4.67,4.69,1.54,7.35,4.63,1.59,0.64,18.2,11.5,6.7,0.338,70,3.91,4.59,-0.06,111.39,100.3,112.73,0.278,0.387,0.407,0.794,1022,27.6,18.1,4.04,0,0,0,0,6,0,0,28,9.3,1,5,16.7,0,0,24,10,41.7,4.5,76,49.33,0.12,0.6,4,0,6,0,1,0,1,1,50,0,1,0,0,5,4,15,2,13.3,24,10,41.7,0.95,18.26,0.69,0.22,0.338,160,44.4,6.5,46.7,53.3,2.4,0.8,4.4,10.3
장시환,0.65,38,0,38,7,0,0,2,2,1,7,34.2,13,13,15.75,153,32,4,0,1,21,4,1,24,1,0,3,3.38,3.38,4.09,4.12,4.61,1.53,6.23,5.45,1.14,0.26,15.7,13.7,2,0.31,78.6,4.32,5.16,-1.23,81.14,88.51,110.78,0.26,0.38,0.317,0.697,598,15.7,17.3,3.91,0,,0,,0,0,0,29,,0,0,,0,0,9,6,66.7,,,,,,10,0,5,1,7,4,0,4,66.7,0,0,3,0,9,6,18,11,61.1,9,6,66.7,0.91,15.74,1.19,0.65,0.31,100,53.8,1.9,43.3,45.2,1,1.2,2.1,9.4
김규연,0.53,23,0,23,14,0,0,0,1,1,0,19.2,6,7,6.65,85,16,2,1,0,10,2,0,20,1,0,2,2.75,3.2,3.04,3.07,3.2,1.32,9.15,4.58,2,0,23.5,11.8,11.8,0.308,75,3.26,3.99,-0.45,66.01,65.89,76.9,0.222,0.333,0.278,0.611,344,15,17.5,4.05,0,,0,,0,0,0,4,,0,0,,0,0,4,2,50,,,,,,4,0,0,1,0,0,0,0,100,0,0,0,0,1,2,7,2,28.6,4,2,50,0.86,14.96,0.62,0.53,0.308,52,47.2,0,50.9,50.9,1.9,0.9,0,0
정우람,0.34,52,0,52,7,0,0,0,1,0,8,40.1,24,24,22.2,183,45,8,2,3,17,2,0,30,2,0,3,5.36,5.36,4.95,4.98,4.34,1.54,6.69,3.79,1.76,0.67,16.4,9.3,7.1,0.321,66.7,3.54,4.55,1.02,128.75,106.95,104.23,0.278,0.35,0.407,0.757,766,14.7,19,4.19,0,,0,,0,0,0,19,,0,0,,0,0,20,8,40,,,,,,7,0,3,0,8,1,0,1,88.9,0,3,0,0,10,6,21,4,19,20,8,40,0.78,14.73,0.98,0.34,0.321,131,37.6,7.5,53.4,60.9,1.5,0.6,3.7,4.4
김범수,0.28,76,0,76,5,0,0,5,5,1,18,62.1,29,33,35.8,283,64,10,0,3,33,3,5,52,4,0,4,4.19,4.76,5.17,5.15,3.93,1.56,7.51,4.77,1.58,0.43,18.4,11.7,6.7,0.321,69.8,3.42,4.59,0.26,100.67,110.63,94.43,0.263,0.356,0.342,0.698,1097,14.4,17.6,3.88,0,,0,,0,0,0,36,,0,0,,0,0,25,11,44,,,,,,23,3,5,1,18,7,1,8,70.4,0,6,4,0,26,17,52,18,34.6,25,11,44,0.82,14.43,1.62,0.28,0.321,190,50.3,6.7,41,47.7,2.1,1.1,3.2,9.4
이민우,0.24,17,0,17,0,0,0,2,1,0,2,13.2,4,6,6.15,57,8,0,0,2,6,0,0,11,3,0,1,2.63,3.95,4.05,4.24,4.94,1.02,7.24,3.95,1.83,1.32,19.3,10.5,8.8,0.162,72.7,3.28,4.35,-2.31,63.33,90.98,118.76,0.167,0.25,0.292,0.542,239,14.1,17.5,4.19,0,,0,,0,0,0,3,,0,0,,0,0,6,2,33.3,,,,,,7,2,1,0,2,0,0,0,100,0,1,0,0,4,3,8,3,37.5,6,2,33.3,0.8,14.06,1.13,0.24,0.162,37,40,5,55,60,0,0.7,8.3,12.5
장민재,0.11,25,13,12,6,0,0,3,8,0,1,69,37,46,47.55,308,79,13,2,12,22,5,2,61,4,0,5,4.83,6,6.2,6.2,4.83,1.46,7.96,2.87,2.77,1.57,19.8,7.1,12.7,0.328,67.4,2.84,3.88,-0.01,116.03,133.17,116.17,0.288,0.349,0.482,0.831,1177,47.1,17.1,3.82,2,15.4,0,0,4,0,0,18,2.8,3,10,23.1,0,0,8,4,50,4.38,75.92,44.85,-1.06,-0.05,2,0,1,0,1,0,0,0,100,0,0,0,0,7,8,8,6,75,8,4,50,1,15.83,0.72,0.15,0.328,204,43.2,5.9,47.7,53.6,3.2,0.8,10.2,5.1
