Name,BABIP,BIP,GB%,ifFB%,ofFB%,FB%,LD%,GB/FB,HR/FB%,if1B%
페냐,0.268,503,47.6,4.9,44.6,49.5,2.8,1,5.4,9.4
산체스,0.316,389,51.1,5.2,40.3,45.5,3.4,1.1,7,11.8
문동주,0.302,354,51.7,4.7,41.4,46.1,2.2,1.1,3.6,8.8
이태양,0.298,312,38.7,8,50.9,58.9,2.5,0.7,3.6,5
한승주,0.338,222,49.6,6.1,41.3,47.4,3,1,5.5,8.6
장민재,0.328,204,43.2,5.9,47.7,53.6,3.2,0.8,10.2,5.1
김범수,0.321,190,50.3,6.7,41,47.7,2.1,1.1,3.2,9.4
박상원,0.337,181,51.3,5.9,40.6,46.5,2.1,1.1,2.3,9.5
김민우,0.367,161,42.4,4.7,50.6,55.3,2.4,0.8,6.4,12.3
김기중,0.338,160,44.4,6.5,46.7,53.3,2.4,0.8,4.4,10.3
주현상,0.209,158,35.8,10.3,49.7,60,4.2,0.6,2,2.9
남지민,0.378,143,41.7,2.8,52.1,54.9,3.5,0.8,0,5.6
윤대경,0.227,141,30.1,9.6,56.8,66.4,3.4,0.5,4.1,11.1
정우람,0.321,131,37.6,7.5,53.4,60.9,1.5,0.6,3.7,4.4
한승혁,0.372,121,42.7,7.3,46.8,54,3.2,0.8,4.5,4.2
강재민,0.263,114,32.5,10,54.2,64.2,3.3,0.5,6.5,5.7
장시환,0.31,100,53.8,1.9,43.3,45.2,1,1.2,2.1,9.4
김서현,0.375,56,65.5,3.4,31,34.5,0,1.9,5,13.6
김규연,0.308,52,47.2,0,50.9,50.9,1.9,0.9,0,0
이민우,0.162,37,40,5,55,60,0,0.7,8.3,12.5
김재영,0.379,29,41.9,3.2,54.8,58.1,0,0.7,11.1,0
이충호,0.4,25,46.4,0,46.4,46.4,7.1,1,15.4,0
송윤준,0.286,14,35.7,7.1,50,57.1,7.1,0.6,0,0
류희운,0.385,13,35.7,0,50,50,14.3,0.7,14.3,0
박윤철,0.25,12,35.7,7.1,57.1,64.3,0,0.6,22.2,0
스미스,0.333,9,33.3,11.1,55.6,66.7,0,0.5,0,0
장지수,0.444,9,77.8,0,22.2,22.2,0,3.5,0,25
박준영,0.25,8,25,0,62.5,62.5,12.5,0.4,0,0
윤산흠,0.375,8,22.2,22.2,44.4,66.7,11.1,0.3,0,33.3
류원석,0.167,6,33.3,0,50,50,16.7,0.7,0,0
