name,G,GS,IP,ERA,W,L,QS,QS%,QS+,QS+%,QH,TL,CW,RS,RS9,start W,start L,W%,start BW,start BL,start BQ,start BQS,start BQS%,IP/GS,P/GS,AGS,starter waa,starter war
페냐,32,32,177.1,3.6,11,11,19,59.4,4,12.5,5,1,1,98,5,16,15,51.6,2,1,15,6,40,5.54,90.19,53.56,1.13,4.28
문동주,23,23,118.2,3.72,8,8,7,30.4,3,13,11,0,0,72,5.5,11,11,50,2,1,13,4,30.8,5.16,89.87,51.61,0.97,3.08
산체스,24,24,126,3.79,7,8,8,33.3,2,8.3,9,0,2,84,6,12,11,52.2,3,0,8,3,37.5,5.25,88.54,50.38,0.35,2.59
이태양,50,12,50.1,3.75,2,3,1,8.3,0,0,10,0,2,37,6.6,6,5,54.5,1,0,9,2,22.2,4.19,64.17,49.17,-0.06,0.83
김기중,37,6,27,4,1,2,0,0,0,0,6,0,0,28,9.3,1,5,16.7,0,0,24,10,41.7,4.5,76,49.33,0.12,0.6
스미스,1,1,2.2,6.75,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,2,100,2.67,60,46,0.05,0.1
남지민,16,7,27,5.67,0,5,1,14.3,0,0,4,0,0,8,2.7,2,5,28.6,0,0,10,2,20,3.86,69.43,41.86,-0.46,0.02
장민재,25,13,57,5.21,2,7,2,15.4,0,0,4,0,0,18,2.8,3,10,23.1,0,0,8,4,50,4.38,75.92,44.85,-1.06,-0.05
한승주,47,6,20.2,5.66,0,3,0,0,0,0,5,0,0,33,14.4,2,4,33.3,0,0,15,4,26.7,3.44,58.83,42.67,-0.43,-0.06
한승혁,21,7,21.2,7.06,0,2,0,0,0,0,4,0,0,15,6.2,3,4,42.9,0,1,15,4,26.7,3.1,59.86,41,-0.45,-0.07
김서현,20,1,2,13.5,0,0,0,0,0,0,1,0,0,5,22.5,0,1,0,0,0,14,5,35.7,2,44,35,-0.15,-0.12
김민우,12,12,51.2,6.97,1,6,2,16.7,0,0,4,0,0,30,5.2,2,8,20,0,0,4,1,25,4.31,79.92,41,-1.2,-0.28
이충호,11,0,0,,0,0,0,,0,,0,0,0,8,,0,0,,0,0,4,3,75,,,,,
박윤철,3,0,0,,0,0,0,,0,,0,0,0,0,,0,0,,0,0,1,0,0,,,,,
강재민,43,0,0,,0,0,0,,0,,0,0,0,12,,0,0,,0,0,10,7,70,,,,,
정우람,52,0,0,,0,0,0,,0,,0,0,0,19,,0,0,,0,0,20,8,40,,,,,
주현상,55,0,0,,0,0,0,,0,,0,0,0,17,,0,0,,0,0,12,4,33.3,,,,,
이민우,17,0,0,,0,0,0,,0,,0,0,0,3,,0,0,,0,0,6,2,33.3,,,,,
류희운,3,0,0,,0,0,0,,0,,0,0,0,0,,0,0,,0,0,0,0,,,,,,
장지수,1,0,0,,0,0,0,,0,,0,0,0,0,,0,0,,0,0,0,0,,,,,,
장시환,38,0,0,,0,0,0,,0,,0,0,0,29,,0,0,,0,0,9,6,66.7,,,,,
윤대경,47,0,0,,0,0,0,,0,,0,0,0,22,,0,0,,0,0,12,6,50,,,,,
김재영,6,0,0,,0,0,0,,0,,0,0,0,3,,0,0,,0,0,1,1,100,,,,,
류원석,1,0,0,,0,0,0,,0,,0,0,0,2,,0,0,,0,0,0,0,,,,,,
박준영,4,0,0,,0,0,0,,0,,0,0,0,4,,0,0,,0,0,6,6,100,,,,,
송윤준,4,0,0,,0,0,0,,0,,0,0,0,1,,0,0,,0,0,1,0,0,,,,,
김범수,76,0,0,,0,0,0,,0,,0,0,0,36,,0,0,,0,0,25,11,44,,,,,
박상원,55,0,0,,0,0,0,,0,,0,0,0,15,,0,0,,0,0,10,4,40,,,,,
윤산흠,5,0,0,,0,0,0,,0,,0,0,0,1,,0,0,,0,0,6,1,16.7,,,,,
김규연,23,0,0,,0,0,0,,0,,0,0,0,4,,0,0,,0,0,4,2,50,,,,,
