Name	BABIP	BIP	GB%	ifFB%	ofFB%	FB%	LD%	GB/FB	HR/FB%	if1B%
류현진	0.346	492	51.4	4.7	40	44.7	3.9	1.1	5.3	12.1
문동주	0.388	345	48.9	4.1	45.1	49.2	1.9	1	7.8	8.8
바리아	0.357	291	46.5	5.6	44.2	49.8	3.6	0.9	6.6	7
와이스	0.284	243	49.6	5.9	41.7	47.6	2.8	1	6.6	7.8
김기중	0.366	205	44.4	7	43.9	50.9	4.7	0.9	7.3	8.4
황준서	0.348	204	41.4	6	49.8	55.8	2.8	0.7	7.5	11.3
김규연	0.321	187	48.5	3	43.4	46.5	5.1	1	6.5	10.6
주현상	0.238	181	32	11.3	53.1	64.4	3.6	0.5	7.2	7.7
박상원	0.304	181	50.5	4.9	41.3	46.2	3.3	1.1	2.4	3.5
한승혁	0.347	176	51.9	5	39.2	44.2	3.9	1.2	2.5	14.3
산체스	0.374	155	52.5	7	39.2	46.2	1.3	1.1	2.7	5
이민우	0.333	153	45.7	6.8	43.8	50.6	3.7	0.9	6.1	5.4
조동욱	0.374	139	39.7	4.8	48.6	53.4	6.8	0.7	6.4	5.3
페냐	0.302	116	37.7	3.3	54.1	57.4	4.9	0.7	8.6	4.9
장민재	0.404	109	39.8	2.7	52.2	54.9	5.3	0.7	3.2	13
장시환	0.313	99	54.3	2.9	40	42.9	2.9	1.3	6.7	11.8
이상규	0.343	99	39.6	13.2	41.5	54.7	5.7	0.7	8.6	7.7
김서현	0.316	98	47.5	7.1	42.4	49.5	3	1	0	0
한승주	0.483	89	51.6	2.2	44.1	46.2	2.2	1.1	4.7	8.9
김범수	0.268	82	48.9	3.2	45.7	48.9	2.1	1	23.9	6.1
장지수	0.442	52	42.3	5.8	50	55.8	1.9	0.8	0	4.3
이태양	0.325	40	43.2	4.5	47.7	52.3	4.5	0.8	17.4	5.9
김민우	0.179	28	36.7	13.3	46.7	60	3.3	0.6	11.1	28.6
윤대경	0.36	25	19.2	0	80.8	80.8	0	0.2	4.8	0
남지민	0.182	11	18.2	0	72.7	72.7	9.1	0.3	0	0
김승일	0.4	10	10	0	90	90	0	0.1	0	0
이충호	0.571	7	57.1	0	42.9	42.9	0	1.3	0	0
배민서	0.571	7	71.4	0	28.6	28.6	0	2.5	0	0
김도빈	1	1	0	0	100	100	0	0	0	0
정우람	1	1	100	0	0	0	0			0
