name	GR	IP	ERA	W	L	2time	3time	plus 1	SV	HD	BLSV	BLHD	BL+	save%	TS	TH	TBS	TBH	SD	MD	IR	IRS	IRS%	BQ	BQS	BQS%	IP/GR	P/GR	gmLI	closer war
주현상	65	71.1	2.65	8	4	15	0	18	23	2	6	0	6	80.6	2	0	1	0	28	9	31	6	19.4	5	1	20	1.1	16.52	1.57	3.13
박상원	65	66.2	4.59	3	3	15	0	13	2	16	2	2	4	81.8	0	2	0	2	18	10	30	11	36.7	21	12	57.1	1.03	17.15	1.12	1.11
이민우	64	55	3.76	2	1	12	0	8	1	10	2	0	2	84.6	1	0	2	0	12	12	40	15	37.5	15	2	13.3	0.86	15.45	1.07	0.99
한승혁	70	62.2	5.03	5	5	14	0	9	0	19	5	0	5	79.2	0	3	2	0	18	15	25	12	48	33	16	48.5	0.9	17.29	1.19	0.94
장민재	26	29	3.1	1	1	5	0	8	0	0	0	1	1	0	0	0	0	0	3	3	16	7	43.8	6	1	16.7	1.12	19.58	0.58	0.74
김서현	37	38.1	3.76	1	2	6	0	8	0	10	1	0	1	90.9	0	0	0	0	8	7	20	6	30	15	6	40	1.04	18.89	1	0.71
이상규	18	24.1	4.44	1	2	3	0	10	0	0	1	0	1	0	0	0	0	0	1	6	6	1	16.7	7	3	42.9	1.35	25.17	0.74	0.54
김기중	16	21.1	4.64	2	0	3	0	7	0	0	0	0	0		0	0	0	0	7	10	4	0	0	18	2	11.1	1.33	23.5	0.64	0.44
장시환	30	33.1	5.13	2	2	4	0	9	0	2	0	0	0	100	0	0	0	0	5	6	8	0	0	13	9	69.2	1.11	21.33	0.76	0.28
바리아	1	5	3.6	0	1	0	0	1	0	0	0	0	0		0	0	0	0	8	10	1	0	0	9	2	22.2	5	77	1.44	0.26
김규연	57	58	6.67	1	0	17	0	14	0	4	1	1	2	66.7	0	1	0	0	5	9	30	9	30	28	15	53.6	1.02	17.63	0.56	0.16
김승일	3	3	3	0	0	1	0	1	0	0	0	0	0		0	0	0	0	0	0	0	0		2	1	50	1	18	0.22	0.12
남지민	2	4	0	0	0	0	0	2	0	0	0	0	0		0	0	0	0	0	0	4	2	50	0	0		2	35	0.13	0.12
김범수	39	34	5.29	0	0	6	0	5	0	4	1	1	2	66.7	0	2	1	1	7	7	16	11	68.8	17	1	5.9	0.87	17.15	0.97	0.08
황준서	25	24	6.38	0	1	3	0	5	0	1	0	1	1	50	0	0	0	1	4	8	13	7	53.8	19	7	36.8	0.96	19.76	0.52	0.05
배민서	1	1.2	16.2	0	0	0	0	1	0	0	0	0	0		0	0	0	0	0	0	0	0		2	0	0	1.67	41	0.09	-0.08
이충호	3	2.1	3.86	0	0	0	0	1	0	0	0	0	0		0	0	0	0	0	1	7	4	57.1	3	0	0	0.78	15	1.24	-0.12
장지수	13	14	10.93	0	0	1	0	3	0	0	0	0	0		0	0	0	0	0	1	3	0	0	7	6	85.7	1.08	21.85	0.22	-0.14
조동욱	13	13.1	6.08	0	0	2	0	2	0	0	0	0	0		0	0	0	0	2	6	8	5	62.5	10	2	20	1.03	20.69	0.26	-0.15
이태양	9	8.2	7.27	0	1	0	0	2	0	0	0	0	0		0	0	0	0	0	2	4	2	50	2	0	0	0.96	16.22	0.66	-0.2
윤대경	7	7.2	10.57	0	0	1	0	2	0	0	0	0	0		0	0	0	0	0	1	4	3	75	3	1	33.3	1.1	21.29	0.47	-0.26
한승주	18	22	11.45	0	2	4	0	8	0	0	0	0	0		0	0	0	0	1	3	13	1	7.7	5	3	60	1.22	25.39	0.57	-0.95
류현진	0	0		0	0	0	0	0	0	0	0	0	0		0	0	0	0	16	10	0	0		5	2	40				
문동주	0	0		0	0	0	0	0	0	0	0	0	0		0	0	0	0	7	13	0	0		5	2	40				
와이스	0	0		0	0	0	0	0	0	0	0	0	0		0	0	0	0	7	7	0	0		11	2	18.2				
산체스	0	0		0	0	0	0	0	0	0	0	0	0		0	0	0	0	5	5	0	0		11	5	45.5				
정우람	0	0		0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0		1	0	0				
김민우	0	0		0	0	0	0	0	0	0	0	0	0		0	0	0	0	1	0	0	0		1	0	0				
김도빈	0	0		0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	1	0	0		2	0	0				
페냐	0	0		0	0	0	0	0	0	0	0	0	0		0	0	0	0	4	5	0	0		2	1	50				
