Name	War	G	GS	GR	GF	CG	SHO	W	L	S	HD	IP	ER	R	Rra	TBF	H	2B	3B	HR	BB	HP	IB	SO	ROE	BK	wild pitch	ERA	RA9	rRA9	rRA9pf	FIP	WHIP
류현진	4.44	28	28	0	0	0	0	10	8	0	0	158.1	68	78	76.95	679	182	22	1	12	33	3	0	135	10	0	1	3.87	4.43	4.37	4.41	3.67	1.36
주현상	3.13	65	0	65	51	0	0	8	4	23	2	71.1	21	22	24.75	267	52	8	2	9	8	1	0	64	0	0	1	2.65	2.78	3.12	3.09	3.85	0.84
와이스	2.92	16	16	0	0	0	0	5	5	0	0	91.2	38	43	41.95	384	77	13	5	8	29	3	0	98	7	0	6	3.73	4.22	4.12	4.06	3.65	1.16
문동주	1.77	21	21	0	0	0	0	7	7	0	0	111.1	64	71	69.6	502	148	25	3	14	38	4	1	96	4	1	8	5.17	5.74	5.63	5.61	4.71	1.67
바리아	1.69	20	19	1	0	0	0	6	7	0	0	92.2	53	58	56.6	405	114	20	1	10	18	0	0	83	7	0	6	5.15	5.63	5.5	5.39	3.85	1.42
산체스	1.48	11	11	0	0	0	0	2	3	0	0	53.1	25	28	25.8	245	60	9	1	2	21	10	1	56	4	1	2	4.22	4.73	4.35	4.43	3.82	1.52
황준서	1.24	36	11	25	6	0	0	2	8	0	1	72	43	44	44.05	341	80	16	0	9	51	5	0	70	1	1	3	5.38	5.5	5.51	5.42	5.67	1.82
박상원	1.11	65	0	65	9	0	0	3	3	2	16	66.2	34	38	38.25	278	57	18	0	2	22	7	0	65	3	0	8	4.59	5.13	5.16	5.12	3.47	1.19
이민우	0.99	64	0	64	7	0	0	2	1	1	10	55	23	25	31.35	235	56	10	2	5	23	1	0	49	2	0	1	3.76	4.09	5.13	4.97	4.41	1.44
한승혁	0.94	70	0	70	4	0	0	5	5	0	19	62.2	35	39	37.1	289	63	7	1	2	38	6	2	64	2	0	6	5.03	5.6	5.33	5.27	4.2	1.61
장민재	0.74	26	0	26	9	0	0	1	1	0	0	29	10	10	12.75	138	46	7	0	2	7	1	0	17	0	0	5	3.1	3.1	3.96	3.88	4.41	1.83
김서현	0.71	37	0	37	5	0	0	1	2	0	10	38.1	16	20	20.15	178	31	6	2	0	32	4	0	43	2	0	3	3.76	4.7	4.73	4.93	4.31	1.64
김민우	0.62	3	3	0	0	0	0	1	0	0	0	12.1	3	3	3	49	7	0	0	2	6	0	0	13	1	0	0	2.19	2.19	2.19	2.44	5	1.05
이상규	0.48	21	3	18	4	0	0	1	4	0	0	32	20	20	18.95	149	39	7	1	5	15	1	1	27	0	0	1	5.63	5.63	5.33	5.29	5.4	1.69
김기중	0.33	27	11	16	4	0	0	5	4	0	0	59	43	44	42.6	286	83	12	1	8	27	6	0	39	2	0	2	6.56	6.71	6.5	6.56	5.89	1.86
장시환	0.28	30	0	30	2	0	0	2	2	0	2	33.1	19	27	22.05	156	34	6	1	3	22	1	0	28	5	0	0	5.13	7.29	5.95	5.96	5.31	1.68
페냐	0.26	9	9	0	0	0	0	3	5	0	0	37.1	26	28	27.3	171	41	6	0	6	20	0	0	29	1	0	1	6.27	6.75	6.58	6.62	5.83	1.63
김승일	0.12	3	0	3	1	0	0	0	0	0	0	3	1	1	0.3	13	4	1	0	0	0	1	0	2	0	0	1	3	3	0.9	0.9	3.57	1.33
남지민	0.12	2	0	2	1	0	0	0	0	0	0	4	0	0	1.2	17	2	1	0	0	2	1	0	3	0	0	1	0	0	2.7	2.7	4.65	1
김범수	0.08	39	0	39	6	0	0	0	0	0	4	34	20	20	25.1	157	33	2	0	11	20	5	1	38	2	0	3	5.29	5.29	6.64	6.53	7.44	1.56
김규연	0.01	58	1	57	12	0	0	1	0	0	4	59	46	50	46.95	270	66	10	1	6	28	4	1	40	3	0	3	7.02	7.63	7.16	7.05	5.4	1.59
조동욱	0	21	8	13	6	0	0	1	2	0	0	41	29	34	35.9	198	57	10	0	5	14	6	0	32	3	1	1	6.37	7.46	7.88	7.68	5.21	1.73
배민서	-0.08	1	0	1	0	0	0	0	0	0	0	1.2	3	3	3	11	4	1	0	0	3	0	0	1	0	0	0	16.2	16.2	16.2	16.17	8.28	4.2
김도빈	-0.11	1	1	0	0	0	0	0	1	0	0	0.1	2	2	2	5	1	0	0	0	3	0	0	1	0	0	0	54	54	54	54	24.6	12
이충호	-0.12	3	0	3	0	0	0	0	0	0	0	2.1	1	1	3.05	13	4	1	0	0	3	0	0	3	0	0	0	3.86	3.86	11.76	11.02	4.97	3
장지수	-0.14	13	0	13	7	0	0	0	0	0	0	14	17	18	14.75	75	23	5	2	0	10	2	2	11	1	0	2	10.93	11.57	9.48	9.15	4.45	2.36
윤대경	-0.26	7	0	7	1	0	0	0	0	0	0	7.2	9	9	10.2	40	10	3	0	1	6	1	1	7	0	0	0	10.57	10.57	11.97	11.77	6.3	2.09
이태양	-0.5	10	1	9	3	0	0	0	2	0	0	9.1	12	13	14.2	48	17	3	0	4	2	0	0	2	1	0	0	11.57	12.54	13.69	13.89	9.43	2.04
한승주	-0.95	18	0	18	6	0	0	0	2	0	0	22	28	31	30.15	120	45	6	1	2	10	3	0	14	2	0	1	11.45	12.68	12.33	12.5	5.52	2.5
정우람		1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0					4.2	99.99
