"name	G	GS	IP	ERA	W	L	QS	QS%	QS+	QS+%	QH	TL	CW	RS	RS9	start W	start L	W%	start BW	start BL	start BQ	start BQS	start BQS%	IP/GS	P/GS	AGS	starter waa	starter war"
"류현진	28	28	158.1	3.87	10	8	16	57.1	5	17.9	3	0	0	96	5.5	16	11	59.3	0	0	5	2	40	5.65	92.82	50.54	1.62	4.44"
"와이스	16	16	91.2	3.73	5	5	11	68.8	3	18.8	2	0	0	51	5	8	8	50	0	0	11	2	18.2	5.73	91.44	55.25	1.29	2.92"
"문동주	21	21	111.1	5.17	7	7	7	33.3	2	9.5	5	0	0	83	6.7	11	10	52.4	0	0	5	2	40	5.3	90.43	44.29	-0.21	1.77"
"산체스	11	11	53.1	4.22	2	3	2	18.2	1	9.1	6	0	0	26	4.4	4	7	36.4	0	0	11	5	45.5	4.85	87.27	49	0.53	1.48"
"바리아	20	19	87.2	5.24	6	6	3	15.8	0	0	7	0	0	52	5.3	11	8	57.9	0	0	9	2	22.2	4.61	80.26	45.95	-0.12	1.43"
"황준서	36	11	48	4.88	2	7	1	9.1	0	0	7	0	0	45	8.4	3	8	27.3	0	0	19	7	36.8	4.36	83.45	46.91	0.34	1.2"
"김민우	3	3	12.1	2.19	1	0	1	33.3	1	33.3	2	0	0	7	5.1	1	2	33.3	0	0	1	0	0	4.11	62	58.67	0.41	0.62"
"페냐	9	9	37.1	6.27	3	5	2	22.2	0	0	3	0	0	25	6	3	6	33.3	0	0	2	1	50	4.15	78	43.67	-0.41	0.26"
"조동욱	21	8	27.2	6.51	1	2	1	12.5	0	0	4	0	0	33	10.7	3	4	42.9	0	0	10	2	20	3.46	60.63	42.5	-0.34	0.15"
"이상규	21	3	7.2	9.39	0	2	0	0	0	0	2	0	0	8	9.4	0	3	0	0	0	7	3	42.9	2.56	53.67	36.67	-0.2	-0.06"
"김기중	27	11	37.2	7.65	3	4	1	9.1	0	0	7	0	0	49	11.7	6	5	54.5	0	0	18	2	11.1	3.42	64.91	39.91	-0.78	-0.11"
"김도빈	1	1	0.1	54	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	2	0	0	0.33	20	39	-0.12	-0.11"
"김규연	58	1	1	27	0	0	0	0	0	0	1	0	0	24	100	0	1	0	0	0	28	15	53.6	1	24	35	-0.17	-0.15"
"이태양	10	1	0.2	67.5	0	1	0	0	0	0	0	0	0	8	100	0	1	0	0	0	2	0	0	0.67	34	19	-0.31	-0.3"
"박상원	65	0	0		0	0	0		0		0	0	0	37		0	0		0	0	21	12	57.1					"
"남지민	2	0	0		0	0	0		0		0	0	0	0		0	0		0	0	0	0						"
"장민재	26	0	0		0	0	0		0		0	0	0	11		0	0		0	0	6	1	16.7					"
"김범수	39	0	0		0	0	0		0		0	0	0	16		0	0		0	0	17	1	5.9					"
"배민서	1	0	0		0	0	0		0		0	0	0	0		0	0		0	0	2	0	0					"
"이충호	3	0	0		0	0	0		0		0	0	0	0		0	0		0	0	3	0	0					"
"이민우	64	0	0		0	0	0		0		0	0	0	39		0	0		0	0	15	2	13.3					"
"한승주	18	0	0		0	0	0		0		0	0	0	9		0	0		0	0	5	3	60					"
"정우람	1	1	0		0	0	0	0	0	0	1	0	0	0		0	1	0	0	0	1	0	0	0	4	48		"
"한승혁	70	0	0		0	0	0		0		0	0	0	39		0	0		0	0	33	16	48.5					"
"주현상	65	0	0		0	0	0		0		0	0	0	19		0	0		0	0	5	1	20					"
"장지수	13	0	0		0	0	0		0		0	0	0	2		0	0		0	0	7	6	85.7					"
"김승일	3	0	0		0	0	0		0		0	0	0	0		0	0		0	0	2	1	50					"
"김서현	37	0	0		0	0	0		0		0	0	0	39		0	0		0	0	15	6	40					"
"장시환	30	0	0		0	0	0		0		0	0	0	24		0	0		0	0	13	9	69.2					"
"윤대경	7	0	0		0	0	0		0		0	0	0	3		0	0		0	0	3	1	33.3					"
