Name,FIP,G,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,BABIP,LOB,ERA,RA9,rRA9,rRA9pf,FIP,xFIP,kwERA,ERA-FIP,ERA-,rRA9-,FIP-,AVG,OBP,SLG,OPS,NP,P/G,P/IP,P/PA
브룩스,2.72,23,7.73,1.43,5.42,0.24,22.2,4.1,18.1,0.302,75.7,2.5,2.56,2.51,2.56,2.72,2.46,3.23,-0.22,51.86,48.56,56.37,0.238,0.272,0.292,0.564,2218,96.4,14.7,3.79
박준표,2.92,50,7.67,1.39,5.5,0.52,21.5,3.9,17.6,0.257,73.3,1.57,2.79,3.06,3.01,2.92,2.3,3.29,-1.35,32.55,56.97,60.56,0.211,0.241,0.273,0.514,793,15.9,15.3,3.87
전상현,3.07,47,12.08,4.15,2.91,0.76,32.3,11.1,21.2,0.295,70.6,2.45,3.97,3.97,4.01,3.07,2.17,2.85,-0.61,50.96,75.89,63.69,0.207,0.292,0.325,0.617,792,16.9,16.6,4
가뇽,3.73,28,7.95,3.61,2.2,0.4,20.1,9.1,11,0.326,66.2,4.34,4.85,4.66,4.61,3.73,3.3,4.08,0.61,90.11,87.31,77.36,0.264,0.338,0.378,0.716,2809,100.3,17.6,4
이준영,3.88,48,8.37,4.94,1.69,0.38,19.5,11.5,8,0.395,69.8,5.32,5.32,6.48,6.38,3.88,3.5,4.44,1.45,110.53,120.9,80.48,0.313,0.393,0.414,0.807,492,10.3,20.8,4.35
양현종,3.97,31,7.78,3.34,2.33,0.68,20,8.6,11.4,0.33,64.9,4.7,5.17,4.85,4.74,3.97,3.18,4.03,0.73,97.58,89.77,82.47,0.271,0.338,0.402,0.74,2950,95.2,17.1,3.95
황윤호,4,1,0,0,,0,0,0,0,0,,0,0,0,0,4,4.19,5.4,-4,0,0,82.94,0,0,0,0,4,4,12,4
임기영,4.06,25,7.47,2.33,3.21,0.85,19,5.9,13.1,0.354,64.4,5.15,5.64,5.23,5.1,4.06,3.05,3.83,1.09,106.84,96.68,84.24,0.3,0.35,0.434,0.784,2224,89,17.4,3.98
정해영,4.47,47,7.51,5.64,1.33,0.47,18.6,14,4.7,0.365,81.3,3.29,3.52,4.44,4.53,4.47,3.95,4.84,-1.18,68.24,85.82,92.8,0.297,0.401,0.391,0.792,681,14.5,17.8,3.96
고영창,4.74,48,3.57,2.64,1.35,0.47,8.4,6.2,2.2,0.381,60.4,6.83,7.14,8.36,8.45,4.74,4.23,5.14,2.09,141.74,160.16,98.44,0.355,0.406,0.468,0.874,916,19.1,15.8,3.33
이민우,5.2,22,5.69,3.99,1.43,0.93,13.8,9.7,4.1,0.336,56.9,6.79,7.39,7.18,7.33,5.2,4.08,4.91,1.59,141.01,138.82,107.95,0.306,0.378,0.451,0.829,1831,83.2,17.3,3.77
문경찬,5.3,25,9.75,2.25,4.33,2.25,23.9,5.5,18.3,0.333,75.9,5.25,5.63,5.76,5.55,5.3,2.46,3.2,-0.05,108.99,105.17,109.93,0.29,0.339,0.54,0.879,380,15.2,15.8,3.49
변시원,5.36,4,1.8,5.4,0.33,0,4,12,-8,0.381,63.6,3.6,7.2,9.99,9.55,5.36,5.43,6.36,-1.76,74.74,180.92,111.17,0.381,0.44,0.429,0.869,94,23.5,18.8,3.76
홍건희,5.61,10,6.75,1.5,4.5,2.25,18.8,4.2,14.6,0.242,55.6,6,6,6.11,5.99,5.61,2.74,3.65,0.39,124.56,113.41,116.5,0.244,0.277,0.578,0.855,187,18.7,15.6,3.9
홍상삼,5.74,57,11.44,10.13,1.13,0.94,26.6,23.6,3.1,0.257,75.6,5.06,5.06,4.93,4.81,5.74,4.57,5.03,-0.68,105.1,91.08,119.14,0.188,0.39,0.341,0.731,963,16.9,20.1,4.21
남재현,5.85,8,4.6,6.32,0.73,0.57,10.1,13.9,-3.8,0.333,64.5,4.02,6.89,8.19,7.83,5.85,5.24,5.86,-1.83,83.48,148.42,121.5,0.313,0.41,0.469,0.879,314,39.3,20,3.97
김기훈,5.92,22,6.75,5.37,1.26,1.39,16.4,13,3.4,0.325,70,5.37,6.06,6.24,6.39,5.92,4.21,5,-0.55,111.39,121.07,122.86,0.293,0.389,0.48,0.869,1001,45.5,19.3,4.21
박정수,6.03,7,6.14,4.91,1.25,1.23,17.9,14.3,3.6,0.235,77.8,3.68,3.68,3.25,3.42,6.03,4.49,4.97,-2.35,76.44,64.7,125.12,0.217,0.357,0.522,0.879,112,16,15.3,4
김현준,6.37,15,7.54,8.16,0.92,1.26,15.8,17.1,-1.3,0.383,45.2,12.56,12.56,12.15,11.47,6.37,4.85,5.56,6.18,260.71,217.31,132.33,0.333,0.453,0.583,1.036,293,19.5,20.4,3.86
장현식,6.68,28,6.32,4.6,1.38,2.01,13.8,10.1,3.8,0.409,48.3,11.2,11.78,11.33,11.63,6.68,4.17,4.95,4.52,232.56,220.36,138.66,0.388,0.446,0.657,1.103,627,22.4,20,3.94
김재열,6.68,14,6.75,6.23,1.08,1.56,14.6,13.5,1.1,0.351,64.7,7.27,8.31,6.62,7.04,6.68,4.76,5.27,0.59,150.91,133.29,138.75,0.319,0.432,0.528,0.96,348,24.9,20.1,3.91
김현수,6.79,15,5.29,8.63,0.61,0.84,11.4,18.6,-7.2,0.346,67.1,7.24,7.52,7.91,7.84,6.79,5.84,6.26,0.44,150.25,148.6,141.05,0.313,0.448,0.481,0.929,622,41.5,19.2,3.72
양승철,7.44,15,4.08,7.54,0.54,1.26,9,16.7,-7.6,0.374,67.7,7.85,8.16,8.27,8.51,7.44,5.89,6.32,0.41,162.94,161.17,154.49,0.36,0.476,0.544,1.02,559,37.3,19.5,3.88
황인준,7.9,3,2.25,4.5,0.5,2.25,5.6,11.1,-5.6,0.385,85.7,4.5,4.5,5.63,5.41,7.9,5.05,6.07,-3.4,93.42,102.5,163.91,0.4,0.471,0.667,1.138,68,22.7,17,3.78
김명찬,8.58,21,11.42,12.46,0.92,2.08,20.4,22.2,-1.9,0.423,83.3,6.23,7.27,9.76,10.08,8.58,5.93,5.62,-2.35,129.35,190.9,178.04,0.333,0.509,0.564,1.073,201,9.6,23.2,3.72
