name,G,GS,IP,ERA,W,L,QS,QS%,QS+,QS+%,QH,TL,CW,RS,RS9,start W,start L,W%,start BW,start BL,start BQ,start BQS,start BQS%,IP/GS,P/GS,AGS,starter waa,starter war
브룩스,23,23,151.1,2.5,11,4,16,69.6,9,39.1,4,0,0,95,5.7,15,8,65.2,0,0,14,2,14.3,6.58,96.43,60.26,4.48,7.18
양현종,31,31,172.1,4.7,11,10,15,48.4,3,9.7,6,0,0,123,6.4,15,16,48.4,0,0,24,13,54.2,5.56,95.16,48.58,0.84,3.9
가뇽,28,28,159.2,4.34,11,8,13,46.4,3,10.7,4,0,0,82,4.6,18,10,64.3,0,0,20,7,35,5.7,100.32,49.5,0.99,3.83
임기영,25,25,127.2,5.15,9,10,7,28,1,4,8,0,0,83,5.9,13,12,52,0,0,18,11,61.1,5.11,88.96,46,0.15,2.42
김현수,15,4,15.2,5.17,1,2,0,0,0,0,2,0,0,9,5.2,2,2,50,0,0,14,2,14.3,3.92,68.75,46.25,0.07,0.35
양승철,15,1,3.2,4.91,0,0,0,0,0,0,1,0,0,8,19.6,1,0,100,0,0,10,3,30,3.67,69,38,0.01,0.08
이민우,22,22,106,6.79,6,10,6,27.3,2,9.1,4,0,0,67,5.7,8,14,36.4,0,0,11,5,45.5,4.82,83.23,40.73,-1.9,-0.01
김기훈,22,7,26,6.23,0,4,0,0,0,0,4,0,0,32,11.1,1,6,14.3,0,0,10,1,10,3.71,77.43,40.71,-0.55,-0.09
장현식,28,3,6.1,19.89,0,2,0,0,0,0,0,0,0,23,32.7,0,3,0,0,0,19,10,52.6,2.11,55,24.33,-0.69,-0.58
서덕원,11,0,0,,0,0,0,,0,,0,0,0,6,,0,0,,0,0,3,0,0,,,,,
고영창,48,0,0,,0,0,0,,0,,0,0,0,15,,0,0,,0,0,21,4,19,,,,,
문경찬,25,0,0,,0,0,0,,0,,0,0,0,2,,0,0,,0,0,0,0,,,,,,
남재현,8,0,0,,0,0,0,,0,,0,0,0,6,,0,0,,0,0,1,0,0,,,,,
김승범,1,0,0,,0,0,0,,0,,0,0,0,0,,0,0,,0,0,0,0,,,,,,
정해영,47,0,0,,0,0,0,,0,,0,0,0,22,,0,0,,0,0,17,3,17.6,,,,,
변시원,4,0,0,,0,0,0,,0,,0,0,0,7,,0,0,,0,0,3,0,0,,,,,
차명진,1,0,0,,0,0,0,,0,,0,0,0,0,,0,0,,0,0,3,3,100,,,,,
황윤호,1,0,0,,0,0,0,,0,,0,0,0,0,,0,0,,0,0,0,0,,,,,,
박진태,12,0,0,,0,0,0,,0,,0,0,0,12,,0,0,,0,0,6,3,50,,,,,
김재열,14,0,0,,0,0,0,,0,,0,0,0,4,,0,0,,0,0,11,6,54.5,,,,,
홍상삼,57,0,0,,0,0,0,,0,,0,0,0,39,,0,0,,0,0,44,13,29.5,,,,,
박준표,50,0,0,,0,0,0,,0,,0,0,0,40,,0,0,,0,0,7,3,42.9,,,,,
박정수,7,0,0,,0,0,0,,0,,0,0,0,5,,0,0,,0,0,1,1,100,,,,,
전상현,47,0,0,,0,0,0,,0,,0,0,0,14,,0,0,,0,0,3,1,33.3,,,,,
황인준,3,0,0,,0,0,0,,0,,0,0,0,1,,0,0,,0,0,0,0,,,,,,
김명찬,21,0,0,,0,0,0,,0,,0,0,0,5,,0,0,,0,0,18,4,22.2,,,,,
김현준,15,0,0,,0,0,0,,0,,0,0,0,12,,0,0,,0,0,6,4,66.7,,,,,
홍건희,10,0,0,,0,0,0,,0,,0,0,0,5,,0,0,,0,0,1,1,100,,,,,
이준영,48,0,0,,0,0,0,,0,,0,0,0,7,,0,0,,0,0,26,9,34.6,,,,,
