Name,BABIP,BIP,GB%,ifFB%,ofFB%,FB%,LD%,GB/FB,HR/FB%,if1B%
장지수,0.178,45,58.7,4.3,34.8,39.1,2.2,1.5,5.6,11.1
장민기,0.214,56,25.4,16.9,57.6,74.6,0,0.3,2.3,0
김재열,0.233,103,33.9,8.9,53.6,62.5,3.6,0.5,5.7,3.6
정해영,0.242,182,45.5,7.3,42.9,50.3,4.2,0.9,5.2,8.2
김현준,0.244,45,25,13.5,59.6,73.1,1.9,0.3,10.5,6.7
이준영,0.248,109,53.5,2.6,37.7,40.4,6.1,1.3,6.5,10
이의리,0.259,243,41.9,6.7,48.2,54.9,3.2,0.8,4.3,5.8
홍상삼,0.276,98,29.5,1,66.7,67.6,2.9,0.4,8.5,6.1
멩덴,0.285,340,40.8,6.2,50.1,56.3,2.8,0.7,6,9.2
서덕원,0.287,101,30.9,7.3,59.1,66.4,2.7,0.5,9.6,2.8
윤중현,0.295,285,54.9,4.1,36.9,41,4.1,1.3,5.8,5.5
이승재,0.296,71,37.5,6.3,55,61.3,1.3,0.6,10.2,7.7
김유신,0.302,172,43.7,7.7,45.4,53,3.3,0.8,11.3,7.9
장현식,0.305,197,40.8,5.2,52.1,57.3,1.9,0.7,5.8,9
박진태,0.305,203,47.9,5.2,43.6,48.8,3.3,1,5.8,10.3
차명진,0.306,36,37.8,5.4,54.1,59.5,2.7,0.6,4.5,16.7
임기영,0.307,456,42.8,4.2,49.9,54.1,3.1,0.8,5.8,6.5
김현수,0.32,153,33.1,7.4,57.7,65,1.8,0.5,7.5,3.5
전상현,0.326,43,26.7,6.7,64.4,71.1,2.2,0.4,3.1,0
고영창,0.337,89,60,4.4,34.4,38.9,1.1,1.5,0,6.7
한승혁,0.343,73,55.4,1.4,40.5,41.9,2.7,1.3,0,4
이민우,0.345,203,49.3,2.4,46.4,48.8,1.9,1,7.8,5.1
브룩스,0.349,255,57.1,2.3,37.9,40.2,2.7,1.4,3.8,10.8
박준표,0.358,109,49.1,7,41.2,48.2,2.6,1,5.5,4.8
다카하시,0.416,101,38.7,5.7,52.8,58.5,2.8,0.7,6.5,13
