name,GR,IP,ERA,W,L,2time,3time,plus 1,SV,HD,BLSV,BLHD,BL+,save%,TS,TH,TBS,TBH,SD,MD,IR,IRS,IRS%,BQ,BQS,BQS%,IP/GR,P/GR,gmLI,closer war
정해영,64,65.1,2.2,5,4,17,2,12,34,0,4,0,4,89.5,5,0,1,0,37,9,32,9,28.1,1,0,0,1.02,17.09,1.92,2.69
장현식,69,76.2,3.29,1,5,22,4,18,1,34,5,0,5,87.5,0,4,2,0,32,11,30,12,40,28,8,28.6,1.11,18.94,1.67,2.56
윤중현,17,21,3.43,1,0,2,0,8,0,2,0,0,0,100,0,0,0,0,9,7,6,3,50,17,5,29.4,1.24,22.18,0.47,0.41
전상현,15,13,3.46,1,0,5,0,0,0,7,1,0,1,87.5,0,0,0,0,5,2,2,0,0,6,2,33.3,0.87,16.47,1.27,0.37
김재열,24,32.2,3.86,1,0,2,0,6,0,0,0,0,0,,0,0,0,0,0,2,5,3,60,2,0,0,1.36,23.67,0.19,0.3
장지수,9,14.1,3.14,0,0,0,0,3,0,0,0,0,0,,0,0,0,0,0,0,2,0,0,1,0,0,1.59,27.11,0.21,0.29
김현준,19,19.2,5.49,0,1,2,0,5,0,2,0,0,0,100,0,0,0,0,2,3,5,3,60,6,5,83.3,1.04,19.32,0.67,0.2
장민기,21,23.1,3.47,2,1,4,0,6,0,2,1,0,1,66.7,0,0,1,0,3,4,18,9,50,14,2,14.3,1.11,23.62,0.9,0.15
박건우,3,3,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,,1,15.33,0.05,0.12
한승혁,3,3.2,2.45,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,2,4,3,1,33.3,2,2,100,1.22,16.67,1,0.09
차명진,1,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,2,0,0,,7,1,14.3,1,13,0.09,0.04
이민우,4,10.1,3.48,0,0,0,0,3,0,0,0,1,1,0,0,0,0,1,4,8,2,2,100,10,5,50,2.58,42.75,0.82,0.04
박진태,59,65,5.95,3,3,10,2,15,0,9,0,1,1,90,0,0,0,0,13,14,17,12,70.6,32,12,37.5,1.1,21.37,0.85,0
이준영,49,34,4.76,3,1,14,2,3,1,9,1,0,1,90.9,0,2,1,0,10,13,35,12,34.3,27,13,48.1,0.69,12.12,1,0
황윤호,1,0.2,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,1,100,0,0,,0.67,20,0,-0.05
변시원,1,0.2,27,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,1,100,2,2,100,0.67,35,0.26,-0.06
최용준,1,1,18,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,2,0,0,,3,3,100,1,23,0.13,-0.07
최정용,1,0.1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,3,100,0,0,,0.33,10,0.03,-0.07
박준표,32,32,5.91,2,4,6,0,8,0,4,2,2,4,50,0,1,0,1,6,10,16,7,43.8,17,10,58.8,1,17.84,1.09,-0.15
김유신,4,4,4.5,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,2,8,5,5,100,10,7,70,1,18.5,0.92,-0.18
고영창,24,23.1,5.79,0,2,4,1,5,0,6,1,1,2,75,0,0,1,1,5,4,16,6,37.5,9,7,77.8,0.97,17.17,0.93,-0.21
김현수,9,14.1,7.53,1,0,0,0,5,0,0,0,0,0,,0,0,0,0,3,7,4,4,100,9,6,66.7,1.59,31.89,0.44,-0.23
홍상삼,49,36,4.75,4,1,15,2,1,0,12,0,1,1,92.3,0,5,0,0,14,11,46,14,30.4,4,0,0,0.73,12.37,1.34,-0.29
이승재,25,24,7.5,2,1,6,1,9,0,5,1,0,1,83.3,0,0,1,0,6,8,21,7,33.3,13,7,53.8,0.96,19.44,1.34,-0.41
서덕원,24,32.2,7.44,1,0,2,0,12,0,1,0,0,0,100,0,1,0,0,1,5,8,6,75,7,4,57.1,1.36,25.83,0.56,-0.41
남재현,4,4.1,22.85,0,0,0,0,1,0,1,0,0,0,100,0,0,0,0,1,0,1,0,0,4,1,25,1.08,30,0.38,-0.48
임기영,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,10,12,0,0,,16,11,68.8,,,,
브룩스,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,9,4,0,0,,5,3,60,,,,
다카하시,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,3,4,0,0,,1,0,0,,,,
멩덴,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,9,7,0,0,,9,2,22.2,,,,
이의리,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,8,8,0,0,,7,2,28.6,,,,
