Name,War,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,Rra,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,wild pitch,ERA,RA9,rRA9,rRA9pf,FIP,WHIP
멩덴,3.28,21,21,0,0,0,0,8,3,0,0,120,48,53,51.95,502,109,18,2,12,35,8,0,104,7,3,2,3.6,3.97,3.9,3.95,3.9,1.2
임기영,3.17,28,28,0,0,0,0,8,8,0,0,153,83,85,78.95,662,155,29,1,15,45,11,0,129,7,2,6,4.88,5,4.64,4.54,3.96,1.31
이의리,2.76,19,19,0,0,0,0,4,5,0,0,94.2,38,42,41,404,69,11,0,6,56,2,0,93,6,0,5,3.61,3.99,3.9,3.79,3.96,1.32
정해영,2.69,64,0,64,58,0,0,5,4,34,0,65.1,16,18,22.8,272,49,10,0,5,28,4,1,49,2,0,1,2.2,2.48,3.14,3.1,4.27,1.18
장현식,2.56,69,0,69,5,0,0,1,5,1,34,76.2,28,28,29.4,336,67,7,1,7,42,3,1,80,3,0,8,3.29,3.29,3.45,3.48,4.06,1.42
브룩스,2.27,13,13,0,0,0,0,3,5,0,0,78,29,34,32.1,333,93,12,1,4,16,1,0,55,4,0,0,3.35,3.92,3.7,3.77,3.29,1.4
윤중현,1.38,30,13,17,6,0,0,5,6,0,2,82.2,36,44,42.6,373,91,7,1,7,31,14,0,33,10,0,2,3.92,4.79,4.64,4.76,5.46,1.48
다카하시,0.44,7,7,0,0,0,0,1,3,0,0,36.2,20,22,22,168,46,4,0,4,12,4,0,46,2,0,4,4.91,5.4,5.4,5.4,3.28,1.58
전상현,0.37,15,0,15,0,0,0,1,0,0,7,13,5,6,5.15,59,15,3,0,1,6,0,0,8,0,0,1,3.46,4.15,3.57,3.6,4.57,1.62
김재열,0.3,24,0,24,10,0,0,1,0,0,0,32.2,14,18,19.55,152,28,4,0,4,18,4,0,18,5,2,1,3.86,4.96,5.39,5.45,5.93,1.41
장지수,0.29,9,0,9,5,0,0,0,0,0,0,14.1,5,6,6,67,9,2,0,1,13,3,0,5,1,0,1,3.14,3.77,3.77,3.78,7.19,1.53
한승혁,0.24,8,5,3,2,0,0,0,3,0,0,23.2,12,15,14.5,103,25,5,1,0,10,2,0,17,4,0,2,4.56,5.7,5.51,5.53,3.54,1.48
김현준,0.2,19,0,19,7,0,0,0,1,0,2,19.2,12,13,11.8,83,15,1,0,4,12,0,0,19,0,0,0,5.49,5.95,5.4,5.19,5.66,1.37
장민기,0.15,21,0,21,7,0,0,2,1,0,2,23.1,9,11,14.75,114,13,3,1,1,29,4,0,22,1,0,2,3.47,4.24,5.69,5.51,6.3,1.8
박건우,0.12,3,0,3,2,0,0,0,0,0,0,3,0,0,0,11,2,0,0,0,1,1,0,3,0,0,0,0,0,0,0,3.33,1
박진태,0,59,0,59,10,0,0,3,3,0,9,65,43,44,44.9,305,68,10,0,6,36,13,0,45,3,0,5,5.95,6.09,6.22,6.12,5.47,1.6
황윤호,-0.05,1,0,1,1,0,0,0,0,0,0,0.2,0,1,1.7,4,2,0,0,0,0,0,0,0,0,0,0,0,13.5,22.95,21.79,3.77,3
변시원,-0.06,1,0,1,0,0,0,0,0,0,0,0.2,2,2,1.5,7,1,0,0,0,3,1,0,0,0,0,0,27,27,20.25,20.31,22.37,6
최정용,-0.07,1,0,1,1,0,0,0,0,0,0,0.1,0,0,1.55,2,1,0,1,0,0,0,0,0,0,0,0,0,0,41.85,44.31,3.77,3
차명진,-0.09,4,3,1,0,0,0,0,1,0,0,10.2,9,9,8.65,57,12,3,0,1,13,1,0,6,0,0,0,7.59,7.59,7.3,7.76,7.54,2.34
이준영,-0.13,50,1,49,4,0,0,3,2,1,9,35.2,22,25,24.7,159,30,5,0,3,19,0,1,26,5,0,3,5.55,6.31,6.23,6.47,4.51,1.37
박준표,-0.15,32,0,32,2,0,0,2,4,0,4,32,21,24,22.5,158,42,9,1,3,17,9,0,18,2,0,0,5.91,6.75,6.33,6.37,5.99,1.84
최용준,-0.21,3,2,1,0,0,0,0,1,0,0,6.1,10,10,8.45,39,11,4,1,3,7,1,0,6,1,0,0,14.21,14.21,12.01,11.89,10.95,2.84
고영창,-0.21,24,0,24,1,0,0,0,2,0,6,23.1,15,19,18.35,108,30,6,0,0,10,2,0,6,3,0,0,5.79,7.33,7.08,6.92,4.72,1.71
홍상삼,-0.29,49,0,49,3,0,0,4,1,0,12,36,19,19,26.2,160,33,9,0,6,19,3,2,33,0,0,4,4.75,4.75,6.55,6.49,5.18,1.44
남재현,-0.38,5,1,4,2,0,0,0,1,0,1,8,13,13,12.5,44,10,2,0,2,10,0,0,5,0,0,1,14.63,14.63,14.06,13.07,9.05,2.5
이승재,-0.41,25,0,25,1,0,0,2,1,0,5,24,20,20,19.45,118,26,2,0,5,18,3,0,17,0,1,3,7.5,7.5,7.29,7.18,7.19,1.83
서덕원,-0.41,24,0,24,8,0,0,1,0,0,1,32.2,27,28,29.05,148,36,8,1,7,14,0,0,24,2,0,5,7.44,7.71,8,7.84,5.81,1.53
김유신,-0.44,15,11,4,1,0,0,2,6,0,0,54.1,46,47,46.15,249,63,12,1,11,35,2,0,29,2,0,0,7.62,7.79,7.64,7.79,6.95,1.8
김현수,-0.52,17,8,9,7,0,0,1,4,0,0,45.2,40,43,42.55,229,57,16,0,8,36,3,0,27,1,0,1,7.88,8.47,8.39,8.33,7.02,2.04
이민우,-0.63,16,12,4,1,1,0,1,6,0,0,57,51,53,51.25,275,78,12,3,8,31,5,0,28,3,1,2,8.05,8.37,8.09,8.28,6.17,1.91
