name	GR	IP	ERA	W	L	2time	3time	plus 1	SV	HD	BLSV	BLHD	BL+	save%	TS	TH	TBS	TBH	SD	MD	IR	IRS	IRS%	BQ	BQS	BQS%	IP/GR	P/GR	gmLI	closer war
Á¤ÇØ¿µ	55	56	3.38	3	7	14	1	8	32	0	4	0	4	88.9	3	0	1	0	30	8	17	3	17.6	6	1	16.7	1.02	16.62	1.99	1.71
ÀÌÁØ¿µ	75	46.1	2.91	1	1	23	3	5	1	17	1	1	2	90	0	6	1	1	18	10	51	6	11.8	37	9	24.3	0.62	10.63	1.1	1.41
Àü»óÇö	50	46.1	3.3	5	5	14	3	6	2	16	3	2	5	78.3	1	2	2	1	20	8	17	4	23.5	20	5	25	0.93	14.24	1.4	1.23
ÀåÇö½Ä	54	52	3.12	2	3	17	1	7	1	19	5	0	5	80	1	1	1	0	18	10	22	8	36.4	20	3	15	0.96	16.83	1.42	1.09
±è±âÈÆ	5	8.2	1.04	0	0	0	0	3	0	0	0	0	0		0	0	0	0	4	0	6	0	0	0	0		1.73	34.4	1.33	0.53
°í¿µÃ¢	27	24	1.88	0	1	2	0	5	0	0	0	1	1	0	0	0	0	1	0	4	25	12	48	6	0	0	0.89	13.81	0.73	0.36
À±ÁßÇö	47	53.2	5.03	3	1	10	1	13	0	5	1	1	2	71.4	0	1	1	0	10	13	29	7	24.1	24	11	45.8	1.14	18.68	1.05	0.31
±èµµÇö	2	5	0	0	0	0	0	2	0	0	0	0	0		0	0	0	0	0	2	0	0		1	1	100	2.5	33.5	0.07	0.21
ÀÓ±â¿µ	3	4	2.25	1	0	0	0	1	1	0	0	0	0	100	0	0	0	0	9	10	0	0		17	5	29.4	1.33	22.33	1.64	0.21
ÀåÁö¼ö	1	2	0	0	0	0	0	1	0	0	0	0	0		0	0	0	0	1	0	0	0		0	0		2	29	0.99	0.13
ÀÌ½ÂÀç	1	1	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	1	0	0	0		0	0		1	18	1.19	0.07
±èÇö¼ö	1	2	4.5	0	0	0	0	1	0	0	0	0	0		0	0	0	0	0	0	0	0		0	0		2	30	0.01	0.03
È«»ó»ï	24	21.2	5.82	2	1	5	0	4	0	1	0	0	0	100	0	0	0	0	1	4	10	1	10	9	3	33.3	0.9	17.38	0.43	0.01
ÀåÀçÇõ	3	3	6	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0		0	0		1	21.67	0.07	0.01
·Î´Ï	1	2	9	0	0	0	0	1	0	0	0	0	0		0	0	0	0	2	6	0	0		15	7	46.7	2	42	0.15	-0.03
±èÀ¯½Å	10	14.2	6.14	1	0	1	0	4	0	0	0	0	0		0	0	0	0	1	1	6	2	33.3	9	4	44.4	1.47	29.3	0.72	-0.07
ÀÌÀÇ¸®	1	1.2	5.4	0	0	0	0	1	0	0	0	0	0		0	0	0	0	13	12	1	1	100	4	1	25	1.67	32	0.51	-0.13
¼ÛÈÄ¼·	1	0.1	99.99	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0		1	1	100	0.33	32	0	-0.24
¹ÚÁØÇ¥	34	23.1	5.4	1	0	10	1	3	0	8	1	0	1	88.9	0	1	0	0	6	6	22	10	45.5	13	6	46.2	0.69	11.03	1.15	-0.26
ÃÖÁö¹Î	6	6	13.5	0	0	0	0	1	0	0	0	0	0		0	0	0	0	0	1	0	0		2	1	50	1	23.67	0.22	-0.28
±èÇöÁØ	12	14.2	5.52	0	1	0	0	2	0	0	0	0	0		0	0	0	0	0	1	1	1	100	1	0	0	1.22	21.33	0.22	-0.3
ÇÑ½ÂÇõ	8	8.2	7.27	2	1	0	0	2	0	0	1	0	1	0	0	0	1	0	7	12	4	3	75	18	2	11.1	1.08	25.38	1.27	-0.32
±èÀç¿­	47	43	6.07	1	2	8	0	11	1	5	1	0	1	85.7	0	3	0	0	6	10	33	8	24.2	15	9	60	0.91	16.13	0.65	-0.32
³²ÇÏÁØ	11	10.1	8.71	1	1	2	0	1	0	1	0	0	0	100	0	0	0	0	1	3	6	2	33.3	2	0	0	0.94	20.73	0.55	-0.41
±èÁ¤ºó	31	27	7	3	0	9	2	6	0	2	1	2	3	40	0	0	1	1	3	5	23	11	47.8	18	7	38.9	0.87	17.16	0.7	-0.43
À¯½ÂÃ¶	21	19	7.58	3	0	1	0	5	0	0	0	0	0		0	0	0	0	5	3	19	9	47.4	11	3	27.3	0.9	18.29	0.89	-0.94
ÆÄ³ë´Ï	0	0		0	0	0	0	0	0	0	0	0	0		0	0	0	0	7	5	0	0		11	6	54.5				
¾çÇöÁ¾	0	0		0	0	0	0	0	0	0	0	0	0		0	0	0	0	16	11	0	0		9	2	22.2				
³î¸°	0	0		0	0	0	0	0	0	0	0	0	0		0	0	0	0	12	5	0	0		6	1	16.7				
ÀÌ¹Î¿ì	0	0		0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	1	0	0		0	0					
