Name	FIP	G	K/9	BB/9	K/BB	HR/9	K%	BB%	K-BB%	BABIP	LOB	ERA	RA9	rRA9	rRA9pf	FIP	xFIP	kwERA	ERA-FIP	ERA-	rRA9-	FIP-	AVG	OBP	SLG	OPS	NP	P/G	P/IP	P/PA
Àü»óÇö	2.37	50	10.3	3.11	3.31	0.39	27.2	8.2	19	0.336	69.1	3.3	3.88	3.62	3.65	2.37	1.94	3.12	0.93	82.01	80.99	58.98	0.244	0.305	0.337	0.642	712	14.2	15.4	3.65
³î¸°	3.05	21	7.84	1.74	4.5	0.51	21.1	4.7	16.4	0.3	77.4	2.47	2.98	2.9	2.96	3.05	2.46	3.43	-0.59	61.29	65.72	75.84	0.244	0.29	0.338	0.628	1987	94.6	16	3.88
ÆÄ³ë´Ï	3.27	14	7.95	2.61	3.04	0.54	21	6.9	14.1	0.308	73.2	2.72	3.59	3.2	3.28	3.27	2.64	3.71	-0.55	67.6	72.69	81.25	0.248	0.305	0.322	0.627	1404	100.3	17	4.03
±èÇöÁØ	3.31	12	5.52	3.07	1.8	0	12.5	6.9	5.6	0.346	46.2	5.52	8.59	9.2	9.5	3.31	3.43	4.73	2.22	137.16	210.76	82.13	0.297	0.366	0.406	0.772	256	21.3	17.5	3.56
Á¤ÇØ¿µ	3.44	55	6.91	2.89	2.39	0.48	18.1	7.6	10.5	0.3	75	3.38	3.38	3.54	3.62	3.44	2.9	4.14	-0.07	83.82	80.24	85.51	0.252	0.308	0.36	0.668	914	16.6	16.3	3.84
ÀåÀçÇõ	3.55	3	12	9	1.33	0	26.7	20	6.7	0.429	66.7	6	6	6	6.16	3.55	3.61	4.6	2.45	149.02	136.67	88.19	0.273	0.429	0.273	0.702	65	21.7	21.7	4.33
¾çÇöÁ¾	3.66	30	7.24	2.57	2.82	0.72	19	6.7	12.2	0.297	67.5	3.85	4.41	4.37	4.44	3.66	2.8	3.93	0.19	95.62	98.57	90.92	0.253	0.304	0.374	0.678	2856	95.2	16.3	3.84
±è±âÈÆ	3.69	5	9.35	7.27	1.29	0	25	19.4	5.6	0.2	90.9	1.04	1.04	1.04	1.01	3.69	3.78	4.73	-2.65	25.79	22.45	91.69	0.138	0.306	0.138	0.444	172	34.4	19.8	4.78
ÀÌÁØ¿µ	3.89	75	8.16	5.05	1.62	0.58	20.8	12.9	7.9	0.299	79.4	2.91	3.3	3.15	3.19	3.89	3.19	4.45	-0.98	72.36	70.86	96.72	0.238	0.338	0.337	0.675	797	10.6	17.2	3.95
ÇÑ½ÂÇõ	4	24	7.73	4.48	1.73	0.45	18.4	10.6	7.7	0.378	67.1	5.27	5.83	5.89	5.97	4	3.49	4.47	1.26	130.78	132.41	99.46	0.308	0.391	0.403	0.794	1415	59	17.6	3.76
ÀåÁö¼ö	4.08	1	4.5	4.5	1	0	11.1	11.1	0	0.286	100	0	0	0	0	4.08	4.25	5.4	-4.08	0	0	101.44	0.25	0.333	0.25	0.583	29	29	14.5	3.22
±èÇö¼ö	4.08	1	4.5	4.5	1	0	11.1	11.1	0	0.429	75	4.5	4.5	4.5	4.19	4.08	4.14	5.4	0.42	111.76	93.02	101.44	0.375	0.444	0.5	0.944	30	30	15	3.33
ÀåÇö½Ä	4.21	54	6.92	4.5	1.54	0.69	17.2	11.2	6	0.311	81.3	3.12	3.46	4.03	4.07	4.21	3.38	4.68	-1.09	77.37	90.32	104.49	0.266	0.349	0.399	0.748	909	16.8	17.5	3.9
ÀÌÀÇ¸®	4.23	29	9.41	4.33	2.18	1.05	24	11	13	0.272	71	3.86	4.62	4.61	4.68	4.23	2.93	3.84	-0.38	95.8	103.91	105.11	0.221	0.316	0.374	0.69	2649	91.3	17.2	3.95
ÀÌ½ÂÀç	4.38	1	9	0		0	25	0	25	0	100	0	0	0	0	4.38	4.49	2.4	-4.38	0	0	108.89	0	0.25	0	0.25	18	18	18	4.5
À±ÁßÇö	4.51	47	4.53	2.35	1.93	0.67	11.3	5.8	5.4	0.321	65.8	5.03	5.37	5.14	5.28	4.51	3.71	4.75	0.52	124.95	117.16	112.03	0.294	0.35	0.388	0.738	878	18.7	16.4	3.66
±èÀç¿­	4.66	47	7.54	4.61	1.64	1.05	18.7	11.4	7.3	0.313	57.4	6.07	6.91	6.73	6.82	4.66	3.38	4.53	1.41	150.75	151.26	115.76	0.269	0.354	0.443	0.797	758	16.1	17.6	3.93
ÀÓ±â¿µ	4.81	26	5.71	2.51	2.28	1.25	14.8	6.5	8.3	0.294	75.2	4.24	4.38	4.21	4.26	4.81	3.26	4.41	-0.57	105.43	94.46	119.56	0.273	0.326	0.435	0.761	2083	80.1	16.1	3.75
±èµµÇö	4.89	4	9.28	4.22	2.2	1.69	22.9	10.4	12.5	0.4	75	5.91	5.91	5.48	5.08	4.89	2.74	3.9	1.02	146.69	112.73	121.46	0.326	0.396	0.488	0.884	191	47.8	17.9	3.98
°í¿µÃ¢	5.52	27	3.38	3.75	0.9	0.75	8.7	9.6	-1	0.282	94.1	1.88	1.88	4.37	4.47	5.52	4.61	5.52	-3.64	46.57	99.19	137.03	0.276	0.363	0.379	0.742	373	13.8	15.5	3.59
È«»ó»ï	5.53	24	7.89	6.23	1.27	1.25	19	15	4	0.267	61.3	5.82	6.65	6.09	6.17	5.53	3.96	4.92	0.29	144.43	136.81	137.31	0.232	0.357	0.427	0.784	417	17.4	19.2	4.17
±èÁ¤ºó	5.75	31	7.67	8	0.96	0.67	18	18.8	-0.8	0.296	62.5	7	7	7.47	7.61	5.75	4.93	5.49	1.25	173.85	168.89	142.83	0.245	0.411	0.404	0.815	532	17.2	19.7	4.16
ÃÖÁö¹Î	5.95	6	10.5	7.5	1.4	1.5	19.4	13.9	5.6	0.5	52.9	13.5	13.5	12.98	13.32	5.95	4.07	4.73	7.55	335.29	295.54	147.8	0.4	0.5	0.567	1.067	142	23.7	23.7	3.94
·Î´Ï	6.03	10	6.5	5.68	1.14	1.42	15.4	13.5	1.9	0.296	61.8	5.89	7.31	6.58	6.7	6.03	4.22	5.17	-0.14	146.22	148.55	149.67	0.273	0.38	0.448	0.828	825	82.5	18.6	3.97
¹ÚÁØÇ¥	6.64	34	4.24	3.86	1.1	1.54	9.8	8.9	0.9	0.295	76.9	5.4	5.79	6.38	6.62	6.64	4.7	5.29	-1.24	134.12	146.94	164.87	0.297	0.405	0.473	0.878	375	11	16.1	3.35
ÀÌ¹Î¿ì	7.03	1	2.25	6.75	0.33	0	4.2	12.5	-8.3	0.556	53.3	15.75	15.75	15.75	14.68	7.03	7.16	6.4	8.72	391.17	325.56	174.7	0.526	0.625	0.579	1.204	79	79	19.8	3.29
À¯½ÂÃ¶	7.52	21	6.63	7.58	0.88	2.37	15.1	17.2	-2.2	0.281	56.7	7.58	9.47	10.85	10.44	7.52	4.49	5.66	0.06	188.23	231.67	186.79	0.28	0.402	0.547	0.949	384	18.3	20.2	4.13
±èÀ¯½Å	8.07	10	5.52	9.82	0.56	1.84	12.9	22.9	-10	0.146	66.7	6.14	6.75	6.47	6.47	8.07	5.75	6.6	-1.93	152.4	143.61	200.33	0.173	0.362	0.423	0.785	293	29.3	20	4.19
³²ÇÏÁØ	9.04	11	5.23	5.23	1	3.48	10.9	10.9	0	0.378	73.7	8.71	9.58	10.45	10.56	9.04	4.56	5.4	-0.33	216.32	234.35	224.5	0.383	0.463	0.723	1.186	228	20.7	22.1	4.15
¼ÛÈÄ¼·	22.38	1	0	27	0	0	0	14.3	-14.3	0.8	0	162	99.99	143.1	133.35	22.38	23.04	7.11	139.62	4023.48	2957.92	555.94	0.8	0.857	1	1.857	32	32	96	4.57
