Name	War	G	GS	GR	GF	CG	SHO	W	L	S	HD	IP	ER	R	Rra	TBF	H	2B	3B	HR	BB	HP	IB	SO	ROE	BK	wild pitch	ERA	RA9	rRA9	rRA9pf	FIP	WHIP
³î¸°	4.61	21	21	0	0	0	0	8	8	0	0	124	34	41	40	512	115	19	2	7	24	8	1	108	9	1	4	2.47	2.98	2.9	2.96	3.05	1.12
¾çÇöÁ¾	3.46	30	30	0	0	0	0	12	7	0	0	175.1	75	86	85.15	743	170	33	3	14	50	3	1	141	11	0	3	3.85	4.41	4.37	4.44	3.66	1.25
ÀÓ±â¿µ	2.85	26	23	3	1	0	0	4	13	1	0	129.1	61	63	60.55	555	137	25	1	18	36	5	1	82	0	0	2	4.24	4.38	4.21	4.26	4.81	1.34
ÆÄ³ë´Ï	2.75	14	14	0	0	0	0	3	4	0	0	82.2	25	33	29.4	348	78	6	1	5	24	2	0	73	7	0	5	2.72	3.59	3.2	3.28	3.27	1.23
ÀÌÀÇ¸®	2.66	29	28	1	0	0	0	10	10	0	0	154	66	79	78.8	671	128	26	4	18	74	9	0	161	10	0	7	3.86	4.62	4.61	4.68	4.23	1.31
Á¤ÇØ¿µ	1.71	55	0	55	47	0	0	3	7	32	0	56	21	21	22.05	238	54	12	1	3	18	0	1	43	4	0	0	3.38	3.38	3.54	3.62	3.44	1.29
ÀÌÁØ¿µ	1.41	75	0	75	8	0	0	1	1	1	17	46.1	15	17	16.2	202	41	8	0	3	26	0	3	42	5	0	0	2.91	3.3	3.15	3.19	3.89	1.45
Àü»óÇö	1.23	50	0	50	6	0	0	5	5	2	16	46.1	17	20	18.65	195	42	10	0	2	16	0	2	53	3	0	2	3.3	3.88	3.62	3.65	2.37	1.25
ÀåÇö½Ä	1.09	54	0	54	5	0	0	2	3	1	19	52	18	20	23.3	233	54	11	2	4	26	1	3	40	3	0	4	3.12	3.46	4.03	4.07	4.21	1.54
±è±âÈÆ	0.53	5	0	5	0	0	0	0	0	0	0	8.2	1	1	1	36	4	0	0	0	7	0	0	9	0	0	0	1.04	1.04	1.04	1.01	3.69	1.27
°í¿µÃ¢	0.36	27	0	27	10	0	0	0	1	0	0	24	5	5	11.65	104	24	3	0	2	10	3	0	9	0	0	0	1.88	1.88	4.37	4.47	5.52	1.42
À±ÁßÇö	0.31	47	0	47	4	0	0	3	1	0	5	53.2	30	32	30.65	240	63	8	0	4	14	5	0	27	5	0	1	5.03	5.37	5.14	5.28	4.51	1.43
ÇÑ½ÂÇõ	0.25	24	16	8	2	0	0	4	3	0	0	80.1	47	52	52.55	376	100	13	3	4	40	6	0	69	5	0	6	5.27	5.83	5.89	5.97	4	1.74
ÀåÁö¼ö	0.13	1	0	1	0	0	0	0	0	0	0	2	0	0	0	9	2	0	0	0	1	0	0	1	0	0	1	0	0	0	0	4.08	1.5
ÀÌ½ÂÀç	0.07	1	0	1	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	4.38	0
