name	G	GS	IP	ERA	W	L	QS	QS%	QS+	QS+%	QH	TL	CW	RS	RS9	start W	start L	W%	start BW	start BL	start BQ	start BQS	start BQS%	IP/GS	P/GS	AGS	starter waa	starter war
놀린	21	21	124	2.47	8	8	13	61.9	6	28.6	8	0	0	61	4.4	10	11	47.6	0	0	6	1	16.7	5.9	94.62	57.43	2.41	4.61
양현종	30	30	175.1	3.85	12	7	16	53.3	4	13.3	4	0	0	104	5.3	14	15	48.3	0	0	9	2	22.2	5.84	95.2	52.1	0.34	3.46
이의리	29	28	152.1	3.84	10	10	12	42.9	6	21.4	7	0	0	125	7.4	15	13	53.6	0	0	4	1	25	5.44	93.46	53.29	0.08	2.78
파노니	14	14	82.2	2.72	3	4	8	57.1	4	28.6	3	0	0	47	5.1	7	7	50	0	0	11	6	54.5	5.9	100.29	55.36	1.28	2.75
임기영	26	23	125.1	4.31	3	13	10	43.5	4	17.4	8	0	0	47	3.4	8	15	34.8	0	0	17	5	29.4	5.45	87.65	49.13	0.41	2.64
한승혁	24	16	71.2	5.02	2	2	4	25	1	6.3	9	0	0	61	7.7	10	6	62.5	0	0	18	2	11.1	4.48	75.75	45.88	-0.71	0.57
로니	10	9	42.1	5.74	3	3	1	11.1	1	11.1	2	0	0	38	8.1	6	3	66.7	0	0	15	7	46.7	4.7	87	42.56	-0.76	0
김도현	4	2	5.2	11.12	0	1	0	0	0	0	1	0	0	6	9.5	0	2	0	0	0	1	1	100	2.83	62	37	-0.29	-0.19
이민우	1	1	4	15.75	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0		4	79	12	-0.3	-0.23
김재열	47	0	0		0	0	0		0		0	0	0	31		0	0		0	0	15	9	60					
최지민	6	0	0		0	0	0		0		0	0	0	0		0	0		0	0	2	1	50					
홍상삼	24	0	0		0	0	0		0		0	0	0	19		0	0		0	0	9	3	33.3					
장현식	54	0	0		0	0	0		0		0	0	0	19		0	0		0	0	20	3	15					
전상현	50	0	0		0	0	0		0		0	0	0	29		0	0		0	0	20	5	25					
윤중현	47	0	0		0	0	0		0		0	0	0	29		0	0		0	0	24	11	45.8					
정해영	55	0	0		0	0	0		0		0	0	0	6		0	0		0	0	6	1	16.7					
고영창	27	0	0		0	0	0		0		0	0	0	6		0	0		0	0	6	0	0					
김현준	12	0	0		0	0	0		0		0	0	0	5		0	0		0	0	1	0	0					
김기훈	5	0	0		0	0	0		0		0	0	0	1		0	0		0	0	0	0						
이승재	1	0	0		0	0	0		0		0	0	0	0		0	0		0	0	0	0						
이준영	75	0	0		0	0	0		0		0	0	0	27		0	0		0	0	37	9	24.3					
송후섭	1	0	0		0	0	0		0		0	0	0	0		0	0		0	0	1	1	100					
장재혁	3	0	0		0	0	0		0		0	0	0	3		0	0		0	0	0	0						
박준표	34	0	0		0	0	0		0		0	0	0	13		0	0		0	0	13	6	46.2					
남하준	11	0	0		0	0	0		0		0	0	0	6		0	0		0	0	2	0	0					
김유신	10	0	0		0	0	0		0		0	0	0	9		0	0		0	0	9	4	44.4					
장지수	1	0	0		0	0	0		0		0	0	0	0		0	0		0	0	0	0						
김정빈	31	0	0		0	0	0		0		0	0	0	16		0	0		0	0	18	7	38.9					
유승철	21	0	0		0	0	0		0		0	0	0	12		0	0		0	0	11	3	27.3					
김현수	1	0	0		0	0	0		0		0	0	0	0		0	0		0	0	0	0						
