Name,War,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,Rra,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,wild pitch,ERA,RA9,rRA9,rRA9pf,FIP,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,BABIP,LOB,xFIP,kwERA,ERA-FIP,ERA-,rRA9-,FIP-,AVG,OBP,SLG,OPS,NP,P/G,P/IP,P/PA,QS,QS%,QS+,QS+%,QH,TL,CW,RS,RS9,start W,start L,W%,start BW,start BL,strat BQ,start BQS,start BQS%,IP/GS,P/GS,AGS,starter waa,starter war,2time,3time,plus 1,SV,HD,BLSV,BLHD,BL+,save%,TS,TH,TBS,TBH,SD,MD,IR,IRS,IRS%,BQ,BQS,BQS%,IP/GR,P/GR,gmLI,closer war,BABIP,BIP,GB%,ifFB%,ofFB%,FB%,LD%,GB/FB,HR/FB%,if1B%,PFR,PF1,PF2,PF3,PFH,PFslg
놀린,4.61,21,21,0,0,0,0,8,8,0,0,124,34,41,40,512,115,19,2,7,24,8,1,108,9,1,4,2.47,2.98,2.9,2.96,3.05,1.12,7.84,1.74,4.5,0.51,21.1,4.7,16.4,0.3,77.4,2.46,3.43,-0.59,61.29,65.72,75.84,0.244,0.29,0.338,0.628,1987,94.6,16,3.88,13,61.9,6,28.6,8,0,0,61,4.4,10,11,47.6,0,0,6,1,16.7,5.9,94.62,57.43,2.41,4.61,0,0,0,0,0,0,0,0,,0,0,0,0,12,5,0,0,,6,1,16.7,,,,,0.3,360,47.6,5.4,43.3,48.7,3.8,1,3.9,9.6,974,984,1021,742,1006,1000
양현종,3.46,30,30,0,0,0,0,12,7,0,0,175.1,75,86,85.15,743,170,33,3,14,50,3,1,141,11,0,3,3.85,4.41,4.37,4.44,3.66,1.25,7.24,2.57,2.82,0.72,19,6.7,12.2,0.297,67.5,2.8,3.93,0.19,95.62,98.57,90.92,0.253,0.304,0.374,0.678,2856,95.2,16.3,3.84,16,53.3,4,13.3,4,0,0,104,5.3,14,15,48.3,0,0,9,2,22.2,5.84,95.2,52.1,0.34,3.46,0,0,0,0,0,0,0,0,,0,0,0,0,16,11,0,0,,9,2,22.2,,,,,0.297,526,47,4.6,45.4,49.9,3.1,0.9,5.1,8.2,974,984,1021,742,1006,1000
임기영,2.85,26,23,3,1,0,0,4,13,1,0,129.1,61,63,60.55,555,137,25,1,18,36,5,1,82,0,0,2,4.24,4.38,4.21,4.26,4.81,1.34,5.71,2.51,2.28,1.25,14.8,6.5,8.3,0.294,75.2,3.26,4.41,-0.57,105.43,94.46,119.56,0.273,0.326,0.435,0.761,2083,80.1,16.1,3.75,10,43.5,4,17.4,8,0,0,47,3.4,8,15,34.8,0,0,17,5,29.4,5.45,87.65,49.13,0.41,2.64,0,0,1,1,0,0,0,0,100,0,0,0,0,9,10,0,0,,17,5,29.4,1.33,22.33,1.64,0.21,0.294,405,39.6,4.4,52.3,56.7,3.7,0.7,7.3,6.6,974,984,1021,742,1006,1000
파노니,2.75,14,14,0,0,0,0,3,4,0,0,82.2,25,33,29.4,348,78,6,1,5,24,2,0,73,7,0,5,2.72,3.59,3.2,3.28,3.27,1.23,7.95,2.61,3.04,0.54,21,6.9,14.1,0.308,73.2,2.64,3.71,-0.55,67.6,72.69,81.25,0.248,0.305,0.322,0.627,1404,100.3,17,4.03,8,57.1,4,28.6,3,0,0,47,5.1,7,7,50,0,0,11,6,54.5,5.9,100.29,55.36,1.28,2.75,0,0,0,0,0,0,0,0,,0,0,0,0,7,5,0,0,,11,6,54.5,,,,,0.308,237,45.8,6.4,45,51.4,2.8,0.9,3.9,5.1,974,984,1021,742,1006,1000
이의리,2.66,29,28,1,0,0,0,10,10,0,0,154,66,79,78.8,671,128,26,4,18,74,9,0,161,10,0,7,3.86,4.62,4.61,4.68,4.23,1.31,9.41,4.33,2.18,1.05,24,11,13,0.272,71,2.93,3.84,-0.38,95.8,103.91,105.11,0.221,0.316,0.374,0.69,2649,91.3,17.2,3.95,12,42.9,6,21.4,7,0,0,125,7.4,15,13,53.6,0,0,4,1,25,5.44,93.46,53.29,0.08,2.78,0,0,1,0,0,0,0,0,,0,0,0,0,13,12,1,1,100,4,1,25,1.67,32,0.51,-0.13,0.272,405,40.7,6.6,50.4,56.9,2.3,0.7,7.4,8.6,974,984,1021,742,1006,1000
정해영,1.71,55,0,55,47,0,0,3,7,32,0,56,21,21,22.05,238,54,12,1,3,18,0,1,43,4,0,0,3.38,3.38,3.54,3.62,3.44,1.29,6.91,2.89,2.39,0.48,18.1,7.6,10.5,0.3,75,2.9,4.14,-0.07,83.82,80.24,85.51,0.252,0.308,0.36,0.668,914,16.6,16.3,3.84,0,,0,,0,0,0,6,,0,0,,0,0,6,1,16.7,,,,,,14,1,8,32,0,4,0,4,88.9,3,0,1,0,30,8,17,3,17.6,6,1,16.7,1.02,16.62,1.99,1.71,0.3,170,40.7,6.2,51.4,57.6,1.7,0.7,2.9,3.7,974,984,1021,742,1006,1000
이준영,1.41,75,0,75,8,0,0,1,1,1,17,46.1,15,17,16.2,202,41,8,0,3,26,0,3,42,5,0,0,2.91,3.3,3.15,3.19,3.89,1.45,8.16,5.05,1.62,0.58,20.8,12.9,7.9,0.299,79.4,3.19,4.45,-0.98,72.36,70.86,96.72,0.238,0.338,0.337,0.675,797,10.6,17.2,3.95,0,,0,,0,0,0,27,,0,0,,0,0,37,9,24.3,,,,,,23,3,5,1,17,1,1,2,90,0,6,1,1,18,10,51,6,11.8,37,9,24.3,0.62,10.63,1.1,1.41,0.299,127,53.7,4.5,38.8,43.3,3,1.2,5.2,0,974,984,1021,742,1006,1000
전상현,1.23,50,0,50,6,0,0,5,5,2,16,46.1,17,20,18.65,195,42,10,0,2,16,0,2,53,3,0,2,3.3,3.88,3.62,3.65,2.37,1.25,10.3,3.11,3.31,0.39,27.2,8.2,19,0.336,69.1,1.94,3.12,0.93,82.01,80.99,58.98,0.244,0.305,0.337,0.642,712,14.2,15.4,3.65,0,,0,,0,0,0,29,,0,0,,0,0,20,5,25,,,,,,14,3,6,2,16,3,2,5,78.3,1,2,2,1,20,8,17,4,23.5,20,5,25,0.93,14.24,1.4,1.23,0.336,119,46.8,8.7,42.9,51.6,1.6,0.9,3.1,7.1,974,984,1021,742,1006,1000
장현식,1.09,54,0,54,5,0,0,2,3,1,19,52,18,20,23.3,233,54,11,2,4,26,1,3,40,3,0,4,3.12,3.46,4.03,4.07,4.21,1.54,6.92,4.5,1.54,0.69,17.2,11.2,6,0.311,81.3,3.38,4.68,-1.09,77.37,90.32,104.49,0.266,0.349,0.399,0.748,909,16.8,17.5,3.9,0,,0,,0,0,0,19,,0,0,,0,0,20,3,15,,,,,,17,1,7,1,19,5,0,5,80,1,1,1,0,18,10,22,8,36.4,20,3,15,0.96,16.83,1.42,1.09,0.311,161,47,4.8,45.2,50,3,0.9,4.8,11.1,974,984,1021,742,1006,1000
김기훈,0.53,5,0,5,0,0,0,0,0,0,0,8.2,1,1,1,36,4,0,0,0,7,0,0,9,0,0,0,1.04,1.04,1.04,1.01,3.69,1.27,9.35,7.27,1.29,0,25,19.4,5.6,0.2,90.9,3.78,4.73,-2.65,25.79,22.45,91.69,0.138,0.306,0.138,0.444,172,34.4,19.8,4.78,0,,0,,0,0,0,1,,0,0,,0,0,0,0,,,,,,,0,0,3,0,0,0,0,0,,0,0,0,0,4,0,6,0,0,0,0,,1.73,34.4,1.33,0.53,0.2,20,25,15,55,70,5,0.4,0,0,974,984,1021,742,1006,1000
