Name	BABIP	BIP	GB%	ifFB%	ofFB%	FB%	LD%	GB/FB	HR/FB%	if1B%
양현종	0.322	522	46.3	6.8	44.8	51.6	2.2	0.9	4.6	5
윤영철	0.291	392	40.7	7.7	48.1	55.8	3.5	0.7	4.4	3.2
이의리	0.3	330	46.3	6.7	44.9	51.6	2.1	0.9	2.3	9.7
파노니	0.32	250	46.9	6.2	45	51.2	1.9	0.9	4.5	5.8
앤더슨	0.298	235	46.3	5.7	46.3	52	1.6	0.9	4.7	7.9
임기영	0.216	232	40.1	4.5	53.3	57.9	2.1	0.7	4.3	5.4
산체스	0.362	199	38.6	4.8	53.6	58.5	2.9	0.7	5.8	5.1
메디나	0.312	186	54.9	2.1	40	42.1	3.1	1.3	7.3	4.7
전상현	0.295	166	42.2	4.6	50.3	54.9	2.9	0.8	1.1	6
최지민	0.25	164	47.6	4.7	40	44.7	7.6	1.1	5.3	13.3
정해영	0.317	158	42.5	4.2	49.7	53.9	3.6	0.8	3.3	5.7
장현식	0.351	148	40	3.2	54.8	58.1	1.9	0.7	6.7	6.9
김유신	0.308	104	50.5	4.7	42.1	46.7	2.8	1.1	4	8.8
황동하	0.3	100	41.7	3.7	51.9	55.6	2.8	0.8	8.3	2.9
이준영	0.277	94	37.2	6.4	51.1	57.4	5.3	0.6	0	15.4
박준표	0.272	92	58.3	6.3	33.3	39.6	2.1	1.5	7.9	10.7
윤중현	0.294	92	53.1	3.1	40.6	43.8	3.1	1.2	4.8	0
김기훈	0.308	91	37.4	12.1	48.4	60.4	2.2	0.6	0	7.1
김대유	0.333	72	55.3	1.3	39.5	40.8	3.9	1.4	6.5	7.7
김건국	0.327	55	44.6	3.6	48.2	51.8	3.6	0.9	0	16.7
김재열	0.391	46	39.6	6.3	54.2	60.4	0	0.7	6.9	0
김승현	0.27	37	41	7.7	51.3	59	0	0.7	4.3	0
곽도규	0.452	31	57.1	2.9	40	42.9	0	1.3	0	14.3
유승철	0	3	100	0	0	0	0			
