Name,War,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,Rra,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,wild pitch,ERA,RA9,rRA9,rRA9pf,FIP,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,BABIP,LOB,xFIP,kwERA,ERA-FIP,ERA-,rRA9-,FIP-,AVG,OBP,SLG,OPS,NP,P/G,P/IP,P/PA,QS,QS%,QS+,QS+%,QH,TL,CW,RS,RS9,start W,start L,W%,start BW,start BL,strat BQ,start BQS,start BQS%,IP/GS,P/GS,AGS,starter waa,starter war,2time,3time,plus 1,SV,HD_1,BLSV,BLHD,BL+,save%,TS,TH,TBS,TBH,SD,MD,IR,IRS,IRS%,BQ,BQS,BQS%,IP/GR,P/GR,gmLI,closer war,BABIP_2,BIP,GB%,ifFB%,ofFB%,FB%,LD%,GB/FB,HR/FB%,if1B%,PFR,PF1,PF2,PF3,PFH,PFslg
¾çÇöÁ¾,4.15,29,29,0,0,0,0,9,11,0,0,171,68,78,76.45,729,181,33,1,13,48,1,1,133,9,0,5,3.58,4.11,4.02,4.13,3.7,1.34,7,2.53,2.77,0.68,18.2,6.6,11.7,0.322,71.7,2.87,4,-0.12,88.56,91.23,91.5,0.272,0.321,0.383,0.704,2751,94.9,16.1,3.77,14,48.3,7,24.1,8,2,0,81,4.3,10,18,35.7,1,0,12,3,25,5.9,94.86,51.79,1.11,4.15,0,0,0,0,0,0,0,0,,0,0,0,0,11,12,0,0,,12,3,25,,,,,0.322,522,46.3,6.8,44.8,51.6,2.2,0.9,4.6,5,947,972,1039,711,936,1012
ÀÌÀÇ¸®,3.29,28,28,0,0,0,0,11,7,0,0,131.2,58,64,57.45,598,103,18,0,4,93,8,1,156,12,0,10,3.96,4.37,3.93,4.05,3.63,1.49,10.66,6.36,1.68,0.27,26.1,15.6,10.5,0.3,70.7,3.32,4.14,0.34,98.1,89.49,89.75,0.213,0.345,0.275,0.62,2546,90.9,19.3,4.26,6,21.4,2,7.1,16,0,2,96,6.6,19,9,67.9,0,3,24,12,50,4.7,90.93,52,0.95,3.29,0,0,0,0,0,0,0,0,,0,0,0,0,10,9,0,0,,24,12,50,,,,,0.3,330,46.3,6.7,44.9,51.6,2.1,0.9,2.3,9.7,947,972,1039,711,936,1012
À±¿µÃ¶,2.85,25,24,1,0,0,0,8,7,0,0,122.2,55,59,56.05,528,124,27,3,10,48,1,1,74,5,1,4,4.04,4.33,4.11,4.21,4.55,1.4,5.43,3.52,1.54,0.73,14,9.1,4.9,0.291,71.7,3.66,4.81,-0.51,99.86,93.15,112.58,0.263,0.33,0.396,0.726,2047,81.9,16.7,3.88,7,29.2,1,4.2,12,1,0,75,5.6,13,11,54.2,0,0,10,5,50,5.04,84.29,48.5,0.59,2.74,0,0,1,0,0,0,0,0,,0,0,0,0,10,5,0,0,,10,5,50,1.67,24,0.94,0.11,0.291,392,40.7,7.7,48.1,55.8,3.5,0.7,4.4,3.2,947,972,1039,711,936,1012
ÀÓ±â¿µ,2.35,64,0,64,9,0,0,4,4,3,16,82,27,29,30.95,324,56,8,3,6,19,6,1,57,2,0,1,2.96,3.18,3.4,3.48,3.93,0.91,6.26,2.09,3,0.66,17.6,5.9,11.7,0.216,71.2,3.13,3.99,-0.96,73.33,76.9,97.18,0.193,0.253,0.303,0.556,1248,19.5,15.2,3.85,0,,0,,0,0,0,48,,0,0,,0,0,23,11,47.8,,,,,,15,1,29,3,16,1,2,3,86.4,1,0,1,2,20,14,28,13,46.4,23,11,47.8,1.28,19.5,1.2,2.35,0.216,232,40.1,4.5,53.3,57.9,2.1,0.7,4.3,5.4,947,972,1039,711,936,1012
ÆÄ³ë´Ï,2.04,16,15,1,0,0,0,6,3,0,0,82.1,39,41,36.9,351,86,14,1,6,23,2,0,66,4,0,0,4.26,4.48,4.03,4.06,3.65,1.32,7.22,2.51,2.87,0.66,18.8,6.6,12.3,0.32,68,2.86,3.93,0.61,105.49,89.67,90.41,0.267,0.32,0.373,0.693,1416,88.5,17.2,4.03,5,33.3,1,6.7,6,0,2,55,6.2,9,6,60,1,0,12,6,50,5.36,92.4,49.2,0.5,1.92,0,0,1,0,0,0,0,0,,0,0,0,0,7,6,0,0,,12,6,50,2,30,0.66,0.12,0.32,250,46.9,6.2,45,51.2,1.9,0.9,4.5,5.8,947,972,1039,711,936,1012
Àü»óÇö,1.89,64,0,64,8,0,0,8,3,1,13,58.2,14,20,21.25,250,50,8,0,1,26,1,4,50,4,0,3,2.15,3.07,3.26,3.28,3.3,1.3,7.67,3.99,1.92,0.15,20,10.4,9.6,0.295,75,3.16,4.25,-1.15,53.15,72.41,81.54,0.233,0.316,0.284,0.6,945,14.8,16.1,3.78,0,,0,,0,0,0,47,,0,0,,0,0,27,9,33.3,,,,,,17,1,14,1,13,2,0,2,87.5,0,4,2,0,19,9,47,10,21.3,27,9,33.3,0.92,14.77,1.3,1.89,0.295,166,42.2,4.6,50.3,54.9,2.9,0.8,1.1,6,947,972,1039,711,936,1012
¾Ø´õ½¼,1.57,14,14,0,0,0,0,4,7,0,0,79,33,42,39.05,336,76,12,3,6,26,2,0,64,8,0,10,3.76,4.78,4.45,4.53,3.83,1.29,7.29,2.96,2.46,0.68,19,7.7,11.3,0.298,64.6,2.99,4.04,-0.07,93.03,100.03,94.69,0.252,0.312,0.371,0.683,1312,93.7,16.6,3.9,8,57.1,3,21.4,2,1,0,33,3.8,5,9,35.7,0,0,12,5,41.7,5.64,93.71,51.21,0.16,1.57,0,0,0,0,0,0,0,0,,0,0,0,0,6,5,0,0,,12,5,41.7,,,,,0.298,235,46.3,5.7,46.3,52,1.6,0.9,4.7,7.9,947,972,1039,711,936,1012
Á¤ÇØ¿µ,1.48,52,0,52,40,0,0,3,4,23,1,49.1,16,18,19.55,218,53,9,1,3,20,1,3,30,2,0,0,2.92,3.28,3.57,3.59,4.25,1.48,5.47,3.65,1.5,0.55,13.8,9.2,4.6,0.317,80,3.6,4.85,-1.33,72.23,79.44,105.08,0.277,0.349,0.382,0.731,780,15,15.8,3.58,0,,0,,0,0,0,8,,0,0,,0,0,11,3,27.3,,,,,,13,1,5,23,1,3,0,3,88.9,1,0,2,0,20,7,17,5,29.4,11,3,27.3,0.95,15,1.59,1.48,0.317,158,42.5,4.2,49.7,53.9,3.6,0.8,3.3,5.7,947,972,1039,711,936,1012
ÀÌÁØ¿µ,0.97,64,0,64,4,0,0,1,0,0,10,33.2,12,12,12.65,149,26,3,1,0,23,2,2,30,3,0,1,3.21,3.21,3.38,3.46,3.74,1.46,8.02,6.15,1.3,0,20.1,15.4,4.7,0.277,76.5,3.81,4.84,-0.53,79.38,76.44,92.53,0.211,0.342,0.252,0.594,620,9.7,18.4,4.16,0,,0,,0,0,0,24,,0,0,,0,0,33,9,27.3,,,,,,15,2,1,0,10,0,2,2,83.3,0,2,0,2,7,8,44,12,27.3,33,9,27.3,0.53,9.69,1.16,0.97,0.277,94,37.2,6.4,51.1,57.4,5.3,0.6,0,15.4,947,972,1039,711,936,1012
ÃÖÁö¹Î,0.91,58,0,58,15,0,0,6,3,3,12,59.1,14,17,29.4,244,45,4,2,4,26,4,1,44,5,0,5,2.12,2.58,4.46,4.56,4.31,1.2,6.67,3.94,1.69,0.61,18,10.7,7.4,0.25,84.1,3.57,4.51,-2.19,52.55,100.7,106.72,0.216,0.31,0.313,0.623,985,17,16.6,4.04,0,,0,,0,0,0,35,,0,0,,0,0,15,2,13.3,,,,,,15,2,15,3,12,2,4,6,71.4,1,1,1,4,15,10,53,24,45.3,15,2,13.3,1.02,16.98,1.33,0.91,0.25,164,47.6,4.7,40,44.7,7.6,1.1,5.3,13.3,947,972,1039,711,936,1012
ÀåÇö½Ä,0.63,56,0,56,17,0,0,2,2,3,5,51,23,26,26.45,226,58,8,0,6,26,1,1,44,1,0,1,4.06,4.59,4.67,4.81,4.67,1.65,7.77,4.59,1.69,1.06,19.5,11.5,8,0.351,76.6,3.35,4.44,-0.61,100.44,106.28,115.63,0.296,0.378,0.429,0.807,876,15.6,17.2,3.88,0,,0,,0,0,0,39,,0,0,,0,0,25,7,28,,,,,,10,0,8,3,5,2,0,2,80,1,1,1,0,7,9,29,9,31,25,7,28,0.91,15.64,0.76,0.63,0.351,148,40,3.2,54.8,58.1,1.9,0.7,6.7,6.9,947,972,1039,711,936,1012
À±ÁßÇö,0.49,31,0,31,10,0,0,2,1,0,0,28,12,13,13.2,115,29,3,0,2,10,1,1,8,2,0,0,3.86,4.18,4.24,4.38,5.09,1.39,2.57,3.21,0.8,0.64,7,8.7,-1.7,0.294,73,4.31,5.61,-1.24,95.45,96.71,126.01,0.287,0.354,0.376,0.73,407,13.1,14.5,3.54,0,,0,,0,0,0,12,,0,0,,0,0,14,4,28.6,,,,,,7,0,5,0,0,0,0,0,,0,0,0,0,3,4,22,5,22.7,14,4,28.6,0.9,13.13,1.03,0.49,0.294,92,53.1,3.1,40.6,43.8,3.1,1.2,4.8,0,947,972,1039,711,936,1012
»êÃ¼½º,0.27,12,11,1,1,1,0,4,4,0,0,63.2,42,46,43.6,285,79,19,1,7,15,4,1,59,3,1,1,5.94,6.5,6.16,6.1,3.77,1.48,8.34,2.12,3.93,0.99,20.7,5.3,15.4,0.362,59.1,2.54,3.55,2.17,146.92,134.8,93.19,0.3,0.345,0.46,0.805,1071,89.3,16.8,3.76,3,27.3,2,18.2,1,1,1,33,4.9,6,4,60,0,3,7,4,57.1,5.55,91.91,46.18,-0.52,0.56,0,0,1,0,0,0,0,0,,0,0,0,0,2,7,0,0,,7,4,57.1,2.67,60,0.8,-0.29,0.362,199,38.6,4.8,53.6,58.5,2.9,0.7,5.8,5.1,947,972,1039,711,936,1012
±è½ÂÇö,0.19,10,0,10,5,0,0,0,0,0,0,12.2,6,6,6,57,11,2,0,1,10,1,0,7,1,0,1,4.26,4.26,4.26,4.41,6.1,1.66,4.97,7.11,0.7,0.71,12.3,17.5,-5.3,0.27,76.2,5.24,6.03,-1.84,105.49,97.5,150.93,0.244,0.393,0.356,0.749,234,23.4,18.5,4.11,0,,0,,0,0,0,1,,0,0,,0,0,4,3,75,,,,,,3,0,4,0,0,0,0,0,,0,0,0,0,0,0,6,3,50,4,3,75,1.27,23.4,0.14,0.19,0.27,37,41,7.7,51.3,59,0,0.7,4.3,0,947,972,1039,711,936,1012
¸Þµð³ª,0.18,12,12,0,0,0,0,2,6,0,0,58,39,42,39.25,269,64,16,1,6,29,9,0,36,2,1,5,6.05,6.52,6.09,6.33,5.56,1.6,5.59,4.5,1.24,0.93,13.4,10.8,2.6,0.312,63.8,4.39,5.09,0.49,149.75,140.02,137.58,0.283,0.383,0.442,0.825,1003,83.6,17.3,3.73,3,25,1,8.3,5,0,0,34,5.3,4,8,33.3,0,0,8,5,62.5,4.83,83.58,43.08,-0.85,0.18,0,0,0,0,0,0,0,0,,0,0,0,0,3,9,0,0,,8,5,62.5,,,,,0.312,186,54.9,2.1,40,42.1,3.1,1.3,7.3,4.7,947,972,1039,711,936,1012
