Name,BABIP,BIP,GB%,ifFB%,ofFB%,FB%,LD%,GB/FB,HR/FB%,if1B%
박정우,0,1,100,0,0,0,0,,,
유승철,0.25,12,16.7,16.7,58.3,75,8.3,0.2,0,0
김기훈,0.254,59,36.7,6.7,55,61.7,1.7,0.6,2.7,12.5
전상현,0.267,187,36.3,7.3,51.8,59.1,4.7,0.6,4.4,9.1
곽도규,0.279,140,55.5,7.5,35.6,43.2,1.4,1.3,6.3,14
정해영,0.289,135,40.6,7,50.3,57.3,2.1,0.7,9.8,6.4
양현종,0.29,528,41.7,5.1,49,54.1,4.2,0.8,7,6.3
최지민,0.298,141,44.4,4.2,49.3,53.5,2.1,0.8,2.6,11.4
윤영철,0.3,247,48.5,6.5,40.8,47.3,4.2,1,6.5,8.5
황동하,0.305,315,40.2,6.9,49.5,56.5,3.3,0.7,7,5.5
김승현,0.313,64,46.3,4.5,44.8,49.3,4.5,0.9,9.1,0
알드레드,0.318,107,52.2,4.4,41.6,46,1.8,1.1,7.7,7.9
이준영,0.32,100,53.7,2.8,41.7,44.4,1.9,1.2,10.4,10.8
네일,0.321,446,57,3,36.5,39.6,3.5,1.4,6,7.8
장현식,0.322,208,52.3,4.5,41.4,45.9,1.8,1.1,7.9,8
장재혁,0.333,6,66.7,16.7,16.7,33.3,0,2,0,50
김도현,0.335,233,49.6,6.1,42.3,48.4,2,1,7.6,8
라우어,0.337,95,38.8,6.1,51,57.1,4.1,0.7,5.4,14.3
크로우,0.342,114,55.2,3.4,37.1,40.5,4.3,1.4,4.3,7.3
임기영,0.344,154,34.8,7.9,51.8,59.8,5.5,0.6,8.2,1.6
김건국,0.347,124,46.5,3.1,45,48.1,5.4,1,8.1,2.1
스타우트,0.349,43,31.1,6.7,60,66.7,2.2,0.5,6.7,11.8
김사윤,0.365,104,46.7,4.7,43.9,48.6,4.7,1,3.8,12.5
이의리,0.368,38,46.3,2.4,51.2,53.7,0,0.9,13.6,11.8
김현수,0.389,18,33.3,11.1,55.6,66.7,0,0.5,0,0
김대유,0.397,78,40.2,3.7,53.7,57.3,2.4,0.7,8.5,5.7
이형범,0.4,60,61.3,1.6,35.5,37.1,1.6,1.7,8.7,0
윤중현,0.429,42,39.1,2.2,50,52.2,8.7,0.8,16.7,0
김민재,0.429,14,35.3,0,64.7,64.7,0,0.5,27.3,11.1
유지성,0.444,9,70,0,30,30,0,2.3,33.3,60
박준표,0.476,21,57.1,0,38.1,38.1,4.8,1.5,0,0
김민주,0.6,5,60,0,40,40,0,1.5,0,33.3
