name,GR,IP,ERA,W,L,2time,3time,plus 1,SV,HD,BLSV,BLHD,BL+,save%,TS,TH,TBS,TBH,SD,MD,IR,IRS,IRS%,BQ,BQS,BQS%,IP/GR,P/GR,gmLI,closer war
정해영,53,50.2,2.49,2,3,12,1,5,31,1,3,0,3,91.4,1,0,1,0,24,6,13,5,38.5,2,0,0,0.96,15.85,1.72,2.44
장현식,75,75.1,3.94,5,4,23,2,19,0,16,1,2,3,84.2,0,3,0,2,25,16,36,7,19.4,34,15,44.1,1,17.19,1.27,1.94
전상현,66,66,4.09,10,5,15,0,12,7,19,7,0,7,78.8,1,4,1,0,29,14,42,10,23.8,18,8,44.4,1,16.48,1.83,1.64
곽도규,71,55.2,3.56,4,2,18,0,8,2,16,4,2,6,75,0,3,4,2,13,15,39,15,38.5,31,6,19.4,0.78,15.04,1.2,1.33
이준영,56,35,3.86,4,0,14,0,1,0,9,1,1,2,81.8,0,1,1,1,6,5,37,10,27,27,7,25.9,0.63,11.11,0.98,0.42
최지민,56,46,5.09,3,3,16,0,6,3,12,4,0,4,78.9,0,3,3,0,16,12,32,15,46.9,30,10,33.3,0.82,16.34,1.37,0.41
김승현,14,18,4,1,0,3,1,8,0,0,0,0,0,,0,0,0,0,0,2,6,2,33.3,4,2,50,1.29,20.64,0.31,0.2
김사윤,21,34.2,4.93,0,0,3,0,10,1,0,0,0,0,100,0,0,0,0,0,3,13,6,46.2,6,3,50,1.65,30.14,0.43,0.2
김도현,25,31.2,5.4,1,3,4,1,11,0,3,0,0,0,100,0,0,0,0,7,12,19,11,57.9,27,9,33.3,1.27,21.56,1.14,0.18
유승철,5,5,5.4,0,0,1,0,1,0,0,0,0,0,,0,0,0,0,0,1,0,0,,2,2,100,1,20.4,0.23,0.13
황동하,4,7.2,0,1,0,1,0,3,0,0,0,0,0,,0,0,0,0,9,12,4,2,50,15,10,66.7,1.92,31.75,0.25,0.1
김기훈,17,19.2,5.03,1,0,2,0,6,0,0,0,0,0,,0,0,0,0,3,5,10,5,50,12,3,25,1.16,22.71,0.68,0.06
장재혁,1,1.1,0,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,,1.33,27,0.01,0.06
박정우,1,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,,1,13,0,0.04
박준표,8,6,6,0,0,1,0,1,0,1,0,0,0,100,0,0,0,0,0,2,5,3,60,6,1,16.7,0.75,11,0.66,-0.03
임기영,34,34.2,5.71,5,0,8,1,12,0,2,0,3,3,40,0,0,0,3,4,11,32,12,37.5,26,7,26.9,1.02,19.91,1.13,-0.04
유지성,3,2.1,7.71,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,2,2,100,0.78,17,0.09,-0.04
김민주,2,1,9,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,2,100,2,1,50,0.5,15,0.36,-0.13
김민재,4,4,15.75,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,,1,21.25,0.06,-0.15
김건국,17,27.2,7.16,0,0,2,0,10,0,0,0,0,0,,0,0,0,0,0,2,13,2,15.4,11,5,45.5,1.63,25.94,0.58,-0.2
이형범,16,15,7.8,0,1,4,0,5,0,2,0,0,0,100,0,0,0,0,0,4,6,2,33.3,12,4,33.3,0.94,18.5,0.59,-0.3
김현수,5,5,18,0,0,1,0,1,0,0,0,0,0,,0,0,0,0,0,0,4,3,75,3,3,100,1,21,0.15,-0.31
김대유,37,25,8.28,0,0,6,0,5,0,8,0,0,0,100,0,4,0,0,4,2,36,11,30.6,11,5,45.5,0.68,12.57,0.83,-0.61
윤중현,11,10.1,13.94,0,0,2,0,2,0,0,0,1,1,0,0,0,0,0,1,3,8,6,75,5,2,40,0.94,21.73,0.61,-0.82
이의리,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,2,0,0,,3,0,0,,,,
네일,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,15,7,0,0,,10,3,30,,,,
윤영철,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,8,7,0,0,,10,3,30,,,,
스타우트,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,0,0,,4,1,25,,,,
알드레드,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,0,0,,8,7,87.5,,,,
양현종,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,13,12,0,0,,12,6,50,,,,
크로우,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,0,0,,4,2,50,,,,
라우어,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,0,0,,4,2,50,,,,
