Name,FIP,G,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,BABIP,LOB,ERA,RA9,rRA9,rRA9pf,FIP,xFIP,kwERA,ERA-FIP,ERA-,rRA9-,FIP-,AVG,OBP,SLG,OPS,NP,P/G,P/IP,P/PA
박정우,-0.8,1,18,0,,0,66.7,0,66.7,0,,0,0,0,0,-0.8,-0.8,-2.6,0.8,0,0,-16.51,0,0,0,0,13,13,13,4.33
김민주,2.3,2,18,9,2,0,25,12.5,12.5,0.6,50,9,18,25.65,25.68,2.3,2.43,3.9,6.7,182.54,472.29,47.39,0.429,0.5,0.571,1.071,30,15,30,3.75
크로우,3.05,8,9.6,2.68,3.58,0.45,25,7,18,0.342,68.6,3.57,4.24,4.02,4.21,3.05,2.53,3.24,0.52,72.41,77.48,62.79,0.259,0.314,0.342,0.656,710,88.8,17.6,4.13
알드레드,3.66,9,10.72,3.5,3.06,0.82,28.3,9.2,19,0.318,64.7,4.53,4.95,4.19,4.18,3.66,2.65,3.12,0.87,91.97,76.88,75.46,0.235,0.313,0.333,0.646,748,83.1,17.1,4.07
네일,3.68,26,8.32,2.11,3.94,0.66,21.5,5.5,16,0.321,70.5,2.53,4.16,4.06,4.04,3.68,2.88,3.47,-1.15,51.34,74.39,75.83,0.259,0.31,0.364,0.674,2398,92.2,16.1,3.74
라우어,3.9,7,9.61,3.12,3.08,0.78,24.7,8,16.7,0.337,67.4,4.93,4.93,4.62,4.7,3.9,2.98,3.4,1.03,100.05,86.43,80.43,0.259,0.333,0.393,0.726,608,86.9,17.5,4.05
스타우트,4.11,4,11.25,2.81,4,1.13,27.4,6.8,20.5,0.349,68.2,5.06,5.63,5.34,5.22,4.11,2.75,2.93,0.95,102.68,95.92,84.75,0.262,0.342,0.431,0.773,327,81.8,20.4,4.48
전상현,4.18,66,7.36,2.73,2.7,0.68,19.9,7.4,12.5,0.267,65.8,4.09,4.36,4.6,4.7,4.18,3.39,3.9,-0.09,82.97,86.46,86.21,0.224,0.295,0.331,0.626,1088,16.5,16.5,4
곽도규,4.24,71,10.35,5.5,1.88,0.65,25.8,13.7,12.1,0.279,76,3.56,3.88,4.62,4.56,4.24,3.46,3.95,-0.68,72.14,83.79,87.4,0.207,0.329,0.298,0.627,1068,15,19.2,4.31
장현식,4.37,75,8.96,4.06,2.21,0.96,22.7,10.3,12.4,0.322,70,3.94,4.9,4.47,4.43,4.37,3.2,3.91,-0.43,79.96,81.48,90.14,0.26,0.339,0.399,0.738,1289,17.2,17.1,3.89
정해영,4.59,53,8.88,2.84,3.13,1.42,23.8,7.6,16.2,0.289,94.3,2.49,2.49,3,2.98,4.59,2.82,3.46,-2.1,50.44,54.88,94.61,0.244,0.305,0.404,0.709,840,15.8,16.6,4
박준표,4.6,8,6,4.5,1.33,0,13.8,10.3,3.4,0.476,71.4,6,6,7.8,7.71,4.6,4.69,4.99,1.4,121.69,141.71,94.8,0.4,0.483,0.48,0.963,88,11,14.7,3.03
양현종,4.63,29,6.78,2.15,3.15,1.1,17.7,5.6,12.1,0.29,70.3,4.1,4.52,4.37,4.37,4.63,3.28,3.95,-0.53,83.1,80.38,95.35,0.257,0.305,0.422,0.727,2620,90.3,15.3,3.6
김사윤,4.92,23,8.76,6.08,1.44,0.49,20.8,14.5,6.4,0.365,61.2,4.62,7.05,7.31,7.29,4.92,4.37,4.64,-0.3,93.74,134.05,101.48,0.288,0.407,0.403,0.81,727,31.6,19.6,4.2
