Name,War,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,Rra,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,wild pitch,ERA,RA9,rRA9,rRA9pf,FIP,WHIP
양현종,5.01,29,29,0,3,3,0,11,5,0,0,171.1,78,86,83.1,727,174,37,6,21,41,6,0,129,11,0,2,4.1,4.52,4.37,4.37,4.63,1.25
네일,4.9,26,26,0,0,0,0,12,5,0,0,149.1,42,69,67.3,642,154,27,1,11,35,9,0,138,17,1,3,2.53,4.16,4.06,4.04,3.68,1.27
정해영,2.44,53,0,53,44,0,0,2,3,31,1,50.2,14,14,16.9,210,47,5,1,8,16,1,2,50,1,0,0,2.49,2.49,3,2.98,4.59,1.24
윤영철,2.18,18,18,0,0,0,0,7,4,0,0,81.2,38,44,42.65,362,82,14,1,8,43,1,0,58,7,0,1,4.19,4.85,4.7,4.61,5.26,1.53
황동하,2.13,25,21,4,4,0,0,5,7,0,0,103.1,51,64,59.55,464,109,18,0,13,44,8,0,81,7,0,5,4.44,5.57,5.19,5.19,5.3,1.48
장현식,1.94,75,0,75,6,0,0,5,4,0,16,75.1,33,41,37.4,331,75,16,0,8,34,2,2,75,5,0,4,3.94,4.9,4.47,4.43,4.37,1.45
전상현,1.64,66,0,66,16,0,0,10,5,7,19,66,30,32,33.75,272,55,7,2,5,20,5,1,54,1,0,2,4.09,4.36,4.6,4.7,4.18,1.14
알드레드,1.37,9,9,0,1,1,1,3,2,0,0,43.2,22,24,20.35,184,38,4,0,4,17,2,0,52,4,0,1,4.53,4.95,4.19,4.18,3.66,1.26
곽도규,1.33,71,0,71,3,0,0,4,2,2,16,55.2,22,24,28.6,248,43,7,0,4,34,4,1,64,5,0,7,3.56,3.88,4.62,4.56,4.24,1.38
크로우,1.25,8,8,0,0,0,0,5,1,0,0,40.1,16,19,18,172,41,7,0,2,12,1,1,43,1,0,0,3.57,4.24,4.02,4.21,3.05,1.31
김도현,1.23,35,10,25,6,0,0,4,6,0,3,75,41,45,45.85,345,87,11,1,9,31,9,0,59,2,0,4,4.92,5.4,5.5,5.42,5.31,1.57
라우어,0.89,7,7,0,0,0,0,2,2,0,0,34.2,19,19,17.8,150,35,7,1,3,12,3,0,37,0,0,0,4.93,4.93,4.62,4.7,3.9,1.36
이준영,0.42,56,0,56,5,0,0,4,0,0,9,35,15,21,22.15,160,37,8,0,5,17,2,3,33,4,0,0,3.86,5.4,5.7,5.64,4.96,1.54
최지민,0.41,56,0,56,4,0,0,3,3,3,12,46,26,28,29.9,225,44,10,1,2,40,4,0,37,4,0,6,5.09,5.48,5.85,5.88,5.67,1.83
스타우트,0.33,4,4,0,0,0,0,1,1,0,0,16,9,10,9.5,73,17,3,1,2,5,3,0,20,1,0,1,5.06,5.63,5.34,5.22,4.11,1.38
김승현,0.2,14,0,14,4,0,0,1,0,0,0,18,8,12,11.95,85,23,5,1,3,7,0,0,11,2,0,0,4,6,5.98,5.85,5.86,1.67
유승철,0.13,5,0,5,1,0,0,0,0,0,0,5,3,3,1.8,23,3,1,0,0,7,0,0,4,0,0,2,5.4,5.4,3.24,3.54,6.54,2
이의리,0.07,4,4,0,0,0,0,1,0,0,0,13.1,8,10,10,69,17,3,0,3,14,0,0,14,1,0,0,5.4,6.75,6.75,6.9,7.51,2.33
김기훈,0.06,17,0,17,4,0,0,1,0,0,0,19.2,11,13,14.6,95,16,4,1,1,15,3,0,17,3,1,1,5.03,5.95,6.68,6.71,5.48,1.58
장재혁,0.06,1,0,1,0,0,0,0,0,0,0,1.1,0,0,0,7,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6.52,2.25
박정우,0.04,1,0,1,1,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,-0.8,0
김사윤,-0.01,23,2,21,10,0,0,0,1,1,0,37,19,29,30.05,173,40,6,2,2,25,5,0,36,1,0,4,4.62,7.05,7.31,7.29,4.92,1.76
박준표,-0.03,8,0,8,2,0,0,0,0,0,1,6,4,4,5.2,29,10,2,0,0,3,1,0,4,0,0,0,6,6,7.8,7.71,4.6,2.17
유지성,-0.04,3,0,3,2,0,0,0,0,0,0,2.1,2,4,2.8,14,5,0,0,1,0,1,0,3,1,0,0,7.71,15.43,10.8,10.82,7.41,2.14
김민주,-0.13,2,0,2,0,0,0,0,0,0,0,1,1,2,2.85,8,3,1,0,0,1,0,0,2,1,0,1,9,18,25.65,25.68,2.3,4
김민재,-0.15,4,0,4,4,0,0,0,0,0,0,4,7,7,7,22,9,0,0,3,1,1,0,3,0,0,0,15.75,15.75,15.75,14.94,12.8,2.5
임기영,-0.16,37,3,34,3,0,0,6,2,0,2,45.2,32,35,37.2,218,61,12,0,8,17,1,1,36,4,1,1,6.31,6.9,7.33,7.37,5.47,1.71
김건국,-0.23,20,3,17,3,0,0,0,1,0,0,34.1,30,33,31.1,165,48,8,0,5,14,2,0,20,3,0,3,7.86,8.65,8.15,8.14,5.92,1.81
이형범,-0.3,16,0,16,5,0,0,0,1,0,2,15,13,17,15.8,83,26,4,0,2,7,5,1,9,2,0,0,7.8,10.2,9.48,9.66,6.77,2.2
김현수,-0.31,5,0,5,4,0,0,0,0,0,0,5,10,10,10.15,28,7,4,0,0,5,1,0,4,0,0,2,18,18,18.27,18.33,5.92,2.4
김대유,-0.61,37,0,37,5,0,0,0,0,0,8,25,23,23,26.45,122,35,5,0,4,12,2,0,26,0,0,1,8.28,8.28,9.52,9.57,5.24,1.88
윤중현,-0.82,11,0,11,4,0,0,0,0,0,0,10.1,16,17,19.25,62,22,2,1,4,9,3,1,4,1,0,0,13.94,14.81,16.77,16.88,11.14,3
