name,G,GS,IP,ERA,W,L,QS,QS%,QS+,QS+%,QH,TL,CW,RS,RS9,start W,start L,W%,start BW,start BL,start BQ,start BQS,start BQS%,IP/GS,P/GS,AGS,starter waa,starter war
양현종,29,29,171.1,4.1,11,5,15,51.7,6,20.7,4,0,0,130,6.8,23,6,79.3,0,0,12,6,50,5.91,90.34,51.03,1.97,5.01
네일,26,26,149.1,2.53,12,5,13,50,3,11.5,5,0,0,107,6.4,15,10,60,0,0,10,3,30,5.74,92.23,54.12,2.24,4.9
윤영철,18,18,81.2,4.19,7,4,3,16.7,0,0,9,0,0,51,5.6,9,8,52.9,0,0,10,3,30,4.54,80.22,47.78,0.73,2.18
황동하,25,21,95.2,4.8,4,7,2,9.5,0,0,13,0,0,66,6.2,8,13,38.1,0,0,15,10,66.7,4.56,80.33,46.29,0.32,2.02
알드레드,9,9,43.2,4.53,3,2,3,33.3,0,0,3,0,0,40,8.2,6,3,66.7,0,0,8,7,87.5,4.85,83.11,51.56,0.59,1.37
크로우,8,8,40.1,3.57,5,1,1,12.5,0,0,4,0,0,37,8.3,7,1,87.5,0,0,4,2,50,5.04,88.75,51.75,0.53,1.25
김도현,35,10,43.1,4.57,3,3,1,10,1,10,6,0,0,30,6.2,6,4,60,0,0,27,9,33.3,4.33,79.1,46.5,0.28,1.05
라우어,7,7,34.2,4.93,2,2,2,28.6,0,0,2,0,0,34,8.8,4,3,57.1,0,0,4,2,50,4.95,86.86,49.57,0.28,0.89
스타우트,4,4,16,5.06,1,1,0,0,0,0,3,0,0,11,6.2,3,1,75,0,0,4,1,25,4,81.75,48.75,0.04,0.33
이의리,4,4,13.1,5.4,1,0,0,0,0,0,4,0,0,10,6.8,4,0,100,0,0,3,0,0,3.33,72,43,-0.16,0.07
김건국,20,3,6.2,10.8,0,1,0,0,0,0,2,0,0,23,31.1,1,2,33.3,0,0,11,5,45.5,2.22,51,37.67,-0.16,-0.04
임기영,37,3,11,8.18,1,2,0,0,0,0,1,0,0,29,23.7,1,2,33.3,0,0,26,7,26.9,3.67,63,35.67,-0.32,-0.13
김사윤,23,2,2.1,0,0,1,0,0,0,0,2,0,0,22,84.9,0,2,0,0,0,6,3,50,1.17,47,42.5,-0.25,-0.21
김승현,14,0,0,,0,0,0,,0,,0,0,0,14,,0,0,,0,0,4,2,50,,,,,
장재혁,1,0,0,,0,0,0,,0,,0,0,0,1,,0,0,,0,0,0,0,,,,,,
곽도규,71,0,0,,0,0,0,,0,,0,0,0,42,,0,0,,0,0,31,6,19.4,,,,,
유지성,3,0,0,,0,0,0,,0,,0,0,0,0,,0,0,,0,0,2,2,100,,,,,
장현식,75,0,0,,0,0,0,,0,,0,0,0,46,,0,0,,0,0,34,15,44.1,,,,,
박정우,1,0,0,,0,0,0,,0,,0,0,0,0,,0,0,,0,0,0,0,,,,,,
김현수,5,0,0,,0,0,0,,0,,0,0,0,0,,0,0,,0,0,3,3,100,,,,,
김민주,2,0,0,,0,0,0,,0,,0,0,0,0,,0,0,,0,0,2,1,50,,,,,
박준표,8,0,0,,0,0,0,,0,,0,0,0,12,,0,0,,0,0,6,1,16.7,,,,,
전상현,66,0,0,,0,0,0,,0,,0,0,0,44,,0,0,,0,0,18,8,44.4,,,,,
윤중현,11,0,0,,0,0,0,,0,,0,0,0,1,,0,0,,0,0,5,2,40,,,,,
정해영,53,0,0,,0,0,0,,0,,0,0,0,6,,0,0,,0,0,2,0,0,,,,,
김대유,37,0,0,,0,0,0,,0,,0,0,0,18,,0,0,,0,0,11,5,45.5,,,,,
이준영,56,0,0,,0,0,0,,0,,0,0,0,30,,0,0,,0,0,27,7,25.9,,,,,
유승철,5,0,0,,0,0,0,,0,,0,0,0,1,,0,0,,0,0,2,2,100,,,,,
김기훈,17,0,0,,0,0,0,,0,,0,0,0,10,,0,0,,0,0,12,3,25,,,,,
최지민,56,0,0,,0,0,0,,0,,0,0,0,35,,0,0,,0,0,30,10,33.3,,,,,
김민재,4,0,0,,0,0,0,,0,,0,0,0,3,,0,0,,0,0,0,0,,,,,,
이형범,16,0,0,,0,0,0,,0,,0,0,0,5,,0,0,,0,0,12,4,33.3,,,,,
