Name,BABIP,BIP,GB%,ifFB%,ofFB%,FB%,LD%,GB/FB,HR/FB%,if1B%
김인범,0.214,14,35.7,7.1,57.1,64.3,0,0.6,0,0
박승주,0.214,14,21.4,7.1,71.4,78.6,0,0.3,0,0
조상우,0.228,114,38.1,11.9,48.3,60.2,1.7,0.6,5.6,13.3
스미스,0.25,32,51.5,0,45.5,45.5,3,1.1,6.7,0
브리검,0.264,163,56.1,4.7,36.3,40.9,2.9,1.4,8.6,4.1
안우진,0.271,277,43.5,7.2,46.6,53.8,2.7,0.8,8.3,9.1
김정인,0.272,103,39.1,7.3,50.9,58.2,2.7,0.7,9.4,8.8
김준형,0.277,47,36.7,8.2,51,59.2,4.1,0.6,6.9,13.3
윤정현,0.282,39,65,2.5,30,32.5,2.5,2,0,0
김재웅,0.284,155,35.8,3.1,58,61.1,3.1,0.6,5.1,8.2
김성진,0.288,125,46.3,6,45.5,51.5,2.2,0.9,5.8,0
김선기,0.293,164,34.1,8.2,56.5,64.7,1.2,0.5,4.5,3.8
김성민,0.293,133,57.4,2.8,37.6,40.4,2.1,1.4,7,9.3
요키시,0.295,539,63.1,1.6,31.8,33.5,3.4,1.9,6.4,9.4
장재영,0.3,50,51,3.9,43.1,47.1,2,1.1,0,6.7
김동혁,0.302,278,51.6,1.4,44.6,46,2.4,1.1,3.8,5.6
한현희,0.304,270,48.7,2.9,45.5,48.4,2.9,1,3,4.7
김태훈,0.306,193,52,5.1,41.3,46.4,1.5,1.1,1.1,13.3
정찬헌,0.318,198,44.8,2.5,48.3,50.7,4.5,0.9,1,9.4
최원태,0.324,469,44.8,5.1,46.4,51.5,3.7,0.9,4.4,7.4
양현,0.331,169,43.2,2.8,50.6,53.4,3.4,0.8,3.2,3.4
문성현,0.333,9,55.6,0,44.4,44.4,0,1.3,0,33.3
임규빈,0.333,30,30.3,3,66.7,69.7,0,0.4,13,0
이승호,0.349,146,44.5,2.6,50.3,52.9,2.6,0.8,4.9,10.9
박주성,0.354,65,42.4,6.1,45.5,51.5,6.1,0.8,2.9,16.7
오주원,0.432,74,30.4,3.8,63.3,67.1,2.5,0.5,5.7,0
김동욱,0.455,11,23.1,15.4,61.5,76.9,0,0.3,20,0
이종민,0.5,6,42.9,0,57.1,57.1,0,0.8,25,0
박관진,0.625,8,25,0,62.5,62.5,12.5,0.4,0,0
조영건,1,1,0,0,100,100,0,0,0,0
