Name,War,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,Rra,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,wild pitch,ERA,RA9,rRA9,rRA9pf,FIP,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,BABIP,LOB,xFIP,kwERA,ERA-FIP,ERA-,rRA9-,FIP-,AVG,OBP,SLG,OPS,NP,P/G,P/IP,P/PA,QS,QS%,QS+,QS+%,QH,TL,CW,RS,RS9,start W,start L,W%,start BW,start BL,strat BQ,start BQS,start BQS%,IP/GS,P/GS,AGS,starter waa,starter war,2time,3time,plus 1,SV,HD_1,BLSV,BLHD,BL+,save%,TS,TH,TBS,TBH,SD,MD,IR,IRS,IRS%,BQ,BQS,BQS%,IP/GR,P/GR,gmLI,closer war,BABIP_2,BIP,GB%,ifFB%,ofFB%,FB%,LD%,GB/FB,HR/FB%,if1B%,PFR,PF1,PF2,PF3,PFH,PFslg
요키시,6.13,31,31,0,0,0,0,16,9,0,0,181.1,59,71,69.45,739,171,24,0,12,46,4,2,131,18,0,9,2.93,3.52,3.45,3.48,3.59,1.2,6.5,2.28,2.85,0.6,17.7,6.2,11.5,0.295,73.5,2.86,4.02,-0.66,67.62,73.04,82.81,0.252,0.302,0.341,0.643,2840,91.6,15.7,3.84,17,54.8,8,25.8,6,0,0,121,6,16,12,57.1,0,0,15,3,20,5.85,91.61,54.48,2.9,6.13,0,0,0,0,0,0,0,0,,0,0,0,0,18,11,0,0,,15,3,20,,,,,0.295,539,63.1,1.6,31.8,33.5,3.4,1.9,6.4,9.4,,,,,,
안우진,3.02,21,21,0,0,0,0,8,8,0,0,107.2,39,47,46.15,450,88,15,1,13,41,7,1,110,7,1,5,3.26,3.93,3.86,3.98,4,1.2,9.2,3.43,2.68,1.09,24.4,9.1,15.3,0.271,75.4,2.65,3.56,-0.74,75.28,83.36,92.43,0.22,0.304,0.36,0.664,1867,88.9,17.3,4.15,8,38.1,2,9.5,11,0,0,60,5,11,10,52.4,0,0,10,2,20,5.13,88.9,54.48,1.11,3.02,0,0,0,0,0,0,0,0,,0,0,0,0,11,8,0,0,,10,2,20,,,,,0.271,277,43.5,7.2,46.6,53.8,2.7,0.8,8.3,9.1,,,,,,
한현희,2.24,18,15,3,0,0,0,6,2,0,1,85.2,37,42,37.85,372,86,20,0,4,30,6,0,61,3,0,3,3.89,4.41,3.98,4.13,3.85,1.35,6.41,3.15,2.03,0.42,16.4,8.1,8.3,0.304,69,3.38,4.4,0.04,89.76,86.55,88.79,0.257,0.329,0.353,0.682,1400,77.8,16.3,3.76,5,33.3,1,6.7,8,0,0,50,5.6,9,6,60,0,0,13,7,53.8,5.4,86.6,50.6,0.71,2.15,0,0,2,0,1,0,0,0,100,0,0,0,0,6,7,2,0,0,13,7,53.8,1.56,33.67,0.87,0.1,0.304,270,48.7,2.9,45.5,48.4,2.9,1,3,4.7,,,,,,
브리검,1.91,10,10,0,0,0,0,7,3,0,0,61,20,25,24.65,250,49,8,0,6,26,4,0,49,2,0,3,2.95,3.69,3.64,3.69,4.45,1.23,7.23,3.84,1.88,0.89,19.6,10.4,9.2,0.264,76.1,3.35,4.3,-1.5,68.14,77.36,102.85,0.226,0.319,0.346,0.665,942,94.2,15.4,3.77,6,60,4,40,1,0,0,60,8.9,7,3,70,0,0,6,1,16.7,6.1,94.2,55.8,0.82,1.91,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,0,0,,6,1,16.7,,,,,0.264,163,56.1,4.7,36.3,40.9,2.9,1.4,8.6,4.1,,,,,,
최원태,1.68,28,28,0,0,0,0,9,11,0,0,143.1,73,89,84.75,643,163,21,3,11,53,10,2,93,10,0,3,4.58,5.59,5.32,5.55,4.38,1.51,5.84,3.33,1.75,0.69,14.5,8.2,6.2,0.324,64.9,3.56,4.65,0.21,105.85,116.46,101.08,0.287,0.355,0.393,0.748,2423,86.5,16.9,3.77,11,39.3,3,10.7,8,0,0,94,5.9,13,15,46.4,0,0,16,8,50,5.12,86.54,46.07,-0.87,1.68,0,0,0,0,0,0,0,0,,0,0,0,0,12,12,0,0,,16,8,50,,,,,0.324,469,44.8,5.1,46.4,51.5,3.7,0.9,4.4,7.4,,,,,,
김태훈,1.61,66,0,66,20,0,0,4,2,11,15,64.1,23,26,28.05,282,60,10,0,1,33,1,2,52,3,1,3,3.22,3.64,3.92,4.09,3.47,1.45,7.28,4.62,1.58,0.14,18.4,11.7,6.7,0.306,73.1,3.37,4.59,-0.26,74.3,85.82,80.2,0.249,0.336,0.303,0.639,1100,16.7,17.1,3.9,0,,0,,0,0,0,26,,0,0,,0,0,16,2,12.5,,,,,,20,2,9,11,15,5,1,6,81.3,1,2,1,0,25,11,28,6,21.4,16,2,12.5,0.97,16.67,1.5,1.61,0.306,193,52,5.1,41.3,46.4,1.5,1.1,1.1,13.3,,,,,,
정찬헌,1.45,11,11,0,1,1,1,3,3,0,0,56.1,25,26,25.65,248,64,11,0,1,15,4,0,28,5,0,1,3.99,4.15,4.1,4.2,3.78,1.4,4.47,2.4,1.87,0.16,11.3,6,5.2,0.318,69.5,3.67,4.77,0.21,92.23,88.05,87.31,0.284,0.337,0.347,0.684,936,85.1,16.6,3.77,6,54.5,0,0,2,0,0,23,3.7,6,4,60,0,0,3,1,33.3,5.12,85.09,48.18,0.45,1.45,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,0,0,,3,1,33.3,,,,,0.318,198,44.8,2.5,48.3,50.7,4.5,0.9,1,9.4,,,,,,
김재웅,1.04,51,0,51,9,0,0,0,1,1,11,53.1,21,24,25.4,243,49,2,0,5,33,1,3,47,6,0,2,3.54,4.05,4.29,4.4,4.6,1.54,7.93,5.57,1.42,0.84,19.3,13.6,5.8,0.284,77.6,3.59,4.71,-1.05,81.83,92.24,106.16,0.239,0.344,0.322,0.666,1015,19.9,19,4.18,0,,0,,0,0,0,18,,0,0,,0,0,13,6,46.2,,,,,,11,3,11,1,11,0,4,4,75,0,2,0,4,16,9,22,9,40.9,13,6,46.2,1.05,19.9,1.06,1.04,0.284,155,35.8,3.1,58,61.1,3.1,0.6,5.1,8.2,,,,,,
조상우,0.96,44,0,44,26,0,0,6,5,15,5,44,17,18,20.95,187,30,5,0,4,19,2,2,47,6,0,2,3.48,3.68,4.29,4.35,3.59,1.11,9.61,3.89,2.47,0.82,25.1,10.2,15,0.228,73.3,2.6,3.6,-0.11,80.3,91.16,82.84,0.183,0.274,0.287,0.561,756,17.2,17.2,4.04,0,,0,,0,0,0,23,,0,0,,0,0,2,0,0,,,,,,11,1,7,15,5,0,0,0,100,2,0,0,0,18,6,16,6,37.5,2,0,0,1,17.18,1.63,0.96,0.228,114,38.1,11.9,48.3,60.2,1.7,0.6,5.6,13.3,,,,,,
김성민,0.7,47,0,47,6,0,0,2,3,1,11,46.2,17,21,24.25,218,43,7,0,4,35,6,2,36,3,0,1,3.28,4.05,4.68,4.81,5.52,1.67,6.94,6.75,1.03,0.77,16.5,16.1,0.5,0.293,80.8,4.57,5.34,-2.24,75.71,100.89,127.36,0.251,0.393,0.363,0.756,886,18.9,19,4.06,0,,0,,0,0,0,15,,0,0,,0,0,11,5,45.5,,,,,,10,2,8,1,11,4,1,5,70.6,0,3,2,1,14,9,29,12,41.4,11,5,45.5,0.99,18.85,1.54,0.7,0.293,133,57.4,2.8,37.6,40.4,2.1,1.4,7,9.3,,,,,,
