Name,BABIP,BIP,GB%,ifFB%,ofFB%,FB%,LD%,GB/FB,HR/FB%,if1B%
박주성,0.184,38,37.2,4.7,53.5,58.1,4.7,0.6,16,0
김재웅,0.222,158,37.6,7.9,52.1,60,2.4,0.6,4,2.6
김준형,0.231,39,47.5,2.5,47.5,50,2.5,1,0,11.1
하영민,0.246,126,53,1.5,41.8,43.3,3.7,1.2,6.9,0
박승주,0.258,66,31.4,7.1,57.1,64.3,4.3,0.5,6.7,0
문성현,0.265,117,50.4,4.1,43,47.1,2.5,1.1,5.3,11.8
최원태,0.265,332,46.2,4.4,45.3,49.7,4.1,0.9,3,7.5
안우진,0.268,474,43.5,5.6,47.6,53.2,3.3,0.8,1.6,6.9
양현,0.273,128,55.6,0.7,39.3,40,4.4,1.4,7.4,12.8
이승호,0.289,128,45.4,3.5,48.2,51.8,2.8,0.9,9.6,6.8
김태훈,0.298,124,56.8,4.5,35.6,40.2,3,1.4,5.7,10
요키시,0.302,534,56.5,3.1,37.4,40.4,3.1,1.4,3.6,8.3
한현희,0.303,244,43.1,7.5,46.7,54.1,2.7,0.8,6.5,4.8
정찬헌,0.31,300,51,4.5,42.7,47.1,1.9,1.1,8.8,11.3
이명종,0.313,80,55.7,5.7,37.5,43.2,1.1,1.3,7.9,3.6
김선기,0.333,114,54.8,4.3,40,44.3,0.9,1.2,2,12.8
김동혁,0.333,84,45.9,0,49.4,49.4,4.7,0.9,0,0
애플러,0.339,469,50.2,2.9,43.1,45.9,3.9,1.1,5.8,9.3
윤정현,0.357,70,62.5,1.4,31.9,33.3,4.2,1.9,8.3,11.1
김성진,0.394,71,53.9,5.3,35.5,40.8,5.3,1.3,9.7,16.1
이영준,0.397,68,56.3,2.8,38,40.8,2.8,1.4,0,3.7
송정인,0.4,10,80,0,20,20,0,4,0,0
주승우,0.4,10,25,0,75,75,0,0.3,11.1,0
노운현,0.476,21,52.4,4.8,42.9,47.6,0,1.1,0,0
장재영,0.512,41,32.6,7,60.5,67.4,0,0.5,6.9,4.3
