name,GR,IP,ERA,W,L,2time,3time,plus 1,SV,HD,BLSV,BLHD,BL+,save%,TS,TH,TBS,TBH,SD,MD,IR,IRS,IRS%,BQ,BQS,BQS%,IP/GR,P/GR,gmLI,closer war
김재웅,65,62.2,2.01,3,2,19,3,1,13,27,2,0,2,95.2,0,0,1,0,36,4,14,4,28.6,1,1,100,0.96,16.05,1.55,2.88
문성현,45,41.1,3.27,0,1,12,1,1,13,9,4,0,4,84.6,0,2,0,0,18,7,9,2,22.2,5,1,20,0.92,15.38,1.45,1.08
이승호,53,50.1,3.58,3,2,10,2,3,10,10,3,1,4,83.3,0,1,0,1,23,7,22,9,40.9,10,3,30,0.95,15.47,1.42,0.9
김태훈,43,43,3.14,3,2,15,3,2,9,10,4,0,4,82.6,0,0,1,0,20,8,9,6,66.7,6,0,0,1,16.14,1.61,0.53
박승주,27,25,4.32,1,0,6,0,4,0,0,0,0,0,,0,0,0,0,2,0,10,1,10,10,4,40,0.93,19.07,0.15,0.4
김준형,12,13.1,2.03,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1,2,2,2,100,0,0,,1.11,22.25,0.74,0.4
애플러,8,11.2,3.86,0,0,2,0,4,0,0,0,0,0,,0,0,0,0,11,13,2,0,0,12,1,8.3,1.46,27,1.13,0.24
김동혁,24,26.2,4.73,2,1,7,1,4,0,3,1,1,2,60,0,0,0,1,3,3,5,2,40,1,1,100,1.11,17.5,0.61,0.23
김선기,24,30,4.8,3,0,6,2,7,1,4,1,0,1,83.3,0,1,1,0,9,9,10,3,30,10,5,50,1.25,20.5,1.3,0.1
이명종,27,27.1,5.27,4,1,7,0,5,0,4,0,1,1,80,0,1,0,0,5,2,5,1,20,7,1,14.3,1.01,17.78,0.71,0.07
한현희,7,8.2,6.23,0,0,2,0,2,0,0,0,0,0,,0,0,0,0,8,9,1,0,0,10,5,50,1.24,23.57,0.62,0.03
이영준,26,21,4.29,2,2,4,0,1,0,4,1,1,2,66.7,0,0,0,1,6,6,8,3,37.5,12,2,16.7,0.81,15.96,1.02,-0.03
윤정현,15,15.1,7.04,1,1,2,0,4,0,4,0,0,0,100,0,1,0,0,5,5,15,1,6.7,8,7,87.5,1.02,19.73,1.39,-0.07
장재영,14,14,7.71,0,0,2,0,2,0,0,0,0,0,,0,0,0,0,1,1,3,3,100,6,4,66.7,1,20.36,0.34,-0.12
최원태,6,6,7.5,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,11,7,6,0,0,15,7,46.7,1,18.33,1.74,-0.15
양현,25,36.2,5.15,3,2,2,0,10,2,5,1,1,2,77.8,0,0,0,0,8,8,5,2,40,2,0,0,1.47,24.44,1.19,-0.19
송정인,1,2,22.5,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,,2,50,0.05,-0.21
박주성,11,13,5.54,1,1,2,0,4,0,0,0,0,0,,0,0,0,0,1,3,7,5,71.4,3,0,0,1.18,19.64,0.53,-0.25
주승우,3,1.1,27,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,3,0,0,5,0,0,0.44,18.33,0.15,-0.26
노운현,5,4,11.25,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,,3,1,33.3,0.8,17.8,0.3,-0.3
하영민,41,39.1,3.43,5,3,9,0,5,0,2,0,1,1,66.7,0,0,0,1,7,7,17,10,58.8,9,4,44.4,0.96,16.27,0.94,-0.73
김성진,23,21.2,7.89,0,2,3,0,4,0,2,0,0,0,100,0,1,0,0,2,5,15,4,26.7,7,5,71.4,0.94,16.43,0.78,-0.94
정찬헌,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,5,11,0,0,,11,3,27.3,,,,
요키시,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,19,8,0,0,,7,2,28.6,,,,
안우진,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,23,5,0,0,,7,1,14.3,,,,
