Name,War,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,Rra,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,wild pitch,ERA,RA9,rRA9,rRA9pf,FIP,WHIP
안우진,8.64,30,30,0,1,1,0,15,8,0,0,196,46,51,50.65,766,131,36,4,4,55,4,1,224,6,1,7,2.11,2.34,2.33,2.36,2.09,0.95
요키시,6.47,30,30,0,0,0,0,10,8,0,0,185.1,53,61,59.8,746,169,31,3,8,33,5,0,154,13,0,2,2.57,2.96,2.9,3.06,2.86,1.09
김재웅,2.88,65,0,65,18,0,0,3,2,13,27,62.2,14,14,15.4,254,39,8,1,4,29,4,2,56,1,0,4,2.01,2.01,2.21,2.3,3.84,1.09
애플러,2.55,33,25,8,2,1,1,6,8,0,0,140.1,67,69,68.3,622,172,34,1,13,40,6,1,86,8,0,4,4.3,4.43,4.38,4.46,4.37,1.51
최원태,2.23,26,20,6,0,0,0,7,5,0,0,105.2,44,50,46.75,446,93,25,0,5,40,5,0,63,7,0,5,3.75,4.26,3.98,4.15,4.18,1.26
한현희,1.12,21,14,7,0,0,0,6,4,0,0,77.2,41,44,41.25,346,83,20,1,9,24,8,0,59,5,0,2,4.75,5.1,4.78,4.81,4.54,1.38
문성현,1.08,45,0,45,15,0,0,0,1,13,9,41.1,15,16,16.5,168,34,5,0,3,14,1,0,32,2,0,2,3.27,3.48,3.59,3.62,3.84,1.16
이승호,0.9,53,0,53,15,0,0,3,2,10,10,50.1,20,20,22.6,215,44,9,0,7,27,3,1,44,1,0,6,3.58,3.58,4.04,4.21,5.1,1.41
정찬헌,0.58,20,20,0,0,0,0,5,6,0,0,87.1,52,55,53.8,390,106,21,0,13,28,6,2,42,6,0,3,5.36,5.67,5.54,5.64,5.56,1.53
김태훈,0.53,43,0,43,12,0,0,3,2,9,10,43,15,18,21.05,188,40,7,0,3,20,2,2,34,5,0,2,3.14,3.77,4.41,4.6,4.15,1.4
박승주,0.4,27,0,27,11,0,0,1,0,0,0,25,12,12,10.6,116,20,4,1,3,21,3,0,22,0,0,2,4.32,4.32,3.82,4.12,5.99,1.64
김준형,0.4,12,0,12,2,0,0,0,1,0,0,13.1,3,3,4.05,61,9,1,0,0,13,2,0,6,0,0,3,2.03,2.03,2.73,2.88,6.15,1.65
김동혁,0.23,24,0,24,6,0,0,2,1,0,3,26.2,14,14,14.55,115,28,12,2,0,11,1,2,18,0,0,1,4.73,4.73,4.91,5.03,3.26,1.46
이명종,0.07,27,0,27,6,0,0,4,1,0,4,27.1,16,17,17,126,28,4,0,3,16,2,1,20,0,0,1,5.27,5.6,5.6,5.64,5.3,1.61
김선기,0.06,26,2,24,4,0,0,3,1,1,4,36.2,21,24,22.65,167,39,9,0,1,19,2,1,30,3,0,1,5.15,5.89,5.56,5.57,3.84,1.58
윤정현,0.06,17,2,15,2,0,0,1,1,0,4,22.2,16,17,13.75,106,27,3,0,2,12,5,1,17,0,0,0,6.35,6.75,5.46,5.42,5.15,1.72
이영준,-0.03,26,0,26,6,0,0,2,2,0,4,21,10,12,12.85,102,27,2,0,0,13,2,1,16,3,0,1,4.29,5.14,5.51,5.8,3.95,1.9
장재영,-0.12,14,0,14,3,0,0,0,0,0,0,14,12,12,11.3,70,23,4,0,2,7,1,0,19,0,0,1,7.71,7.71,7.26,7.38,3.86,2.14
주승우,-0.15,4,1,3,1,0,0,0,0,0,0,3.1,4,5,5,23,5,0,0,1,7,0,0,4,1,0,0,10.8,13.5,13.5,14.31,10.86,3.6
양현,-0.19,25,0,25,7,0,0,3,2,2,5,36.2,21,23,24.2,167,39,5,0,4,17,1,2,14,4,0,1,5.15,5.65,5.94,6.01,5.48,1.53
송정인,-0.21,1,0,1,0,0,0,0,0,0,0,2,5,5,5,13,4,2,0,0,3,0,0,0,0,0,0,22.5,22.5,22.5,23.85,8.43,3.5
박주성,-0.25,11,0,11,7,0,0,1,1,0,0,13,8,9,11.6,61,11,5,0,4,7,3,1,8,1,0,0,5.54,6.23,8.03,8.23,8.05,1.38
노운현,-0.3,5,0,5,1,0,0,0,1,0,0,4,5,7,6.65,28,10,1,0,0,3,1,0,3,2,0,1,11.25,15.75,14.96,16.22,5.01,3.25
하영민,-0.73,41,0,41,17,0,0,5,3,0,2,39.1,15,27,30.55,178,35,8,2,4,21,0,0,23,8,0,2,3.43,6.18,6.99,7.4,5.19,1.42
김성진,-0.94,23,0,23,8,0,0,0,2,0,2,21.2,19,25,24.15,105,31,3,0,3,10,3,0,16,1,0,0,7.89,10.38,10.03,10.11,5.45,1.89
