Name,War,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,Rra,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,wild pitch,ERA,RA9,rRA9,rRA9pf,FIP,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,BABIP,LOB,xFIP,kwERA,ERA-FIP,ERA-,rRA9-,FIP-,AVG,OBP,SLG,OPS,NP,P/G,P/IP,P/PA,QS,QS%,QS+,QS+%,QH,TL,CW,RS,RS9,start W,start L,W%,start BW,start BL,strat BQ,start BQS,start BQS%,IP/GS,P/GS,AGS,starter waa,starter war,2time,3time,plus 1,SV,HD,BLSV,BLHD,BL+,save%,TS,TH,TBS,TBH,SD,MD,IR,IRS,IRS%,BQ,BQS,BQS%,IP/GR,P/GR,gmLI,closer war,BABIP,BIP,GB%,ifFB%,ofFB%,FB%,LD%,GB/FB,HR/FB%,if1B%
안우진,6.61,24,24,0,0,0,0,9,7,0,0,150.2,40,44,41.25,608,121,25,1,5,38,1,1,164,5,0,8,2.39,2.63,2.46,2.5,2.33,1.06,9.8,2.27,4.32,0.3,27,6.3,20.7,0.294,75.8,1.99,2.91,0.06,58.79,54.9,57.22,0.217,0.265,0.292,0.557,2342,97.6,15.5,3.85,16,66.7,8,33.3,4,0,1,56,3.3,13,10,56.5,1,0,9,5,55.6,6.28,97.58,61.42,3.94,6.61,0,0,0,0,0,0,0,0,,0,0,0,0,15,4,0,0,,9,5,55.6,,,,,0.294,395,45.9,4.9,47.2,52.1,2,0.9,2.4,9.9
후라도,6.61,30,30,0,0,0,0,11,8,0,0,183.2,54,64,62.95,763,164,19,0,7,41,9,0,147,15,0,5,2.65,3.14,3.08,3.13,3.15,1.12,7.2,2.01,3.59,0.34,19.3,5.4,13.9,0.283,73.5,2.75,3.73,-0.5,65.11,68.83,77.41,0.234,0.282,0.291,0.573,2797,93.2,15.2,3.67,20,66.7,7,23.3,6,1,1,96,4.7,13,15,46.4,1,2,8,2,25,6.12,93.23,57.17,3.34,6.61,0,0,0,0,0,0,0,0,,0,0,0,0,20,7,0,0,,8,2,25,,,0.88,,0.283,555,52.5,4.9,39.9,44.9,2.7,1.2,2.8,9.8
최원태,3.45,17,17,0,0,0,0,6,4,0,0,102.1,37,38,38,422,90,11,0,7,29,5,0,78,4,0,5,3.25,3.34,3.34,3.31,3.79,1.16,6.86,2.55,2.69,0.62,18.5,6.9,11.6,0.28,75.4,3.04,4.01,-0.53,80.07,72.82,93.2,0.237,0.299,0.322,0.621,1578,92.8,15.4,3.74,11,64.7,3,17.6,2,0,0,52,4.6,8,9,47.1,2,0,3,0,0,6.02,92.82,55.41,1.63,3.45,0,0,0,0,0,0,0,0,,0,0,0,0,9,5,0,0,,3,0,0,,,,,0.28,296,43.5,4.8,47.1,51.9,4.5,0.8,4.3,3.3
김재웅,1.34,67,0,67,11,0,0,2,3,6,18,59.2,28,29,26.25,250,56,11,0,2,24,0,1,46,2,0,0,4.22,4.37,3.96,4.03,3.52,1.34,6.94,3.62,1.92,0.3,18.4,9.6,8.8,0.307,66.2,3.19,4.34,0.71,103.92,88.6,86.51,0.252,0.323,0.329,0.652,962,14.4,16.1,3.85,0,,0,,0,0,0,13,,0,0,,0,0,17,7,41.2,,,,,,23,6,2,6,18,3,0,3,88.9,0,1,0,0,33,10,16,1,6.3,17,7,41.2,0.89,14.36,1.38,1.34,0.307,176,43.9,8.9,43.9,52.8,3.3,0.8,2.1,7.1
임창민,1.28,51,0,51,33,0,0,2,2,26,1,46.2,13,16,19.5,209,51,6,0,3,17,2,3,40,3,0,0,2.51,3.09,3.76,3.84,3.6,1.46,7.71,3.28,2.35,0.58,19.1,8.1,11,0.331,81.8,2.92,4.08,-1.09,61.69,84.43,88.6,0.276,0.338,0.357,0.695,826,16.2,17.7,3.95,0,,0,,0,0,0,14,,0,0,,0,0,10,1,10,,,,,,12,2,4,26,1,4,0,4,87.1,1,0,0,0,28,8,17,8,47.1,10,1,10,0.92,16.2,1.84,1.28,0.331,145,37.3,4.7,55.3,60,2.7,0.6,3.3,11.8
정찬헌,0.95,14,14,0,1,1,0,2,8,0,0,72,38,40,39.5,295,71,12,3,4,13,2,1,35,3,0,0,4.75,5,4.94,5.15,3.9,1.17,4.38,1.63,2.69,0.5,11.9,4.4,7.5,0.282,57.5,3.31,4.51,0.85,116.88,113.25,95.91,0.261,0.295,0.371,0.666,1061,75.8,14.7,3.6,8,57.1,1,7.1,0,0,0,29,3.6,4,10,28.6,1,1,3,1,33.3,5.14,75.79,48.14,-0.33,0.95,0,0,0,0,0,0,0,0,,0,0,0,0,7,7,0,0,,3,1,33.3,,,,,0.282,238,46.9,4.1,45.7,49.8,3.3,0.9,3.3,7
김성진,0.87,55,0,55,16,0,0,3,3,0,7,47,19,19,21.35,208,44,7,0,5,25,1,2,38,1,0,0,3.64,3.64,4.09,4.23,4.74,1.47,7.28,4.79,1.52,0.96,18.3,12,6.3,0.287,81,3.55,4.65,-1.1,89.53,92.9,116.71,0.247,0.341,0.371,0.712,824,15,17.5,3.96,0,,0,,0,0,0,28,,0,0,,0,0,12,2,16.7,,,,,,14,2,1,0,7,3,0,3,70,0,1,0,0,13,8,14,7,50,12,2,16.7,0.85,14.98,0.88,0.87,0.287,136,43.8,7.6,45.8,53.5,2.8,0.8,6.5,4.5
요키시,0.83,12,12,0,0,0,0,5,3,0,0,65.2,32,37,37,286,82,14,1,3,14,3,1,51,6,0,1,4.39,5.07,5.07,5.22,3.25,1.46,6.99,1.92,3.64,0.41,17.8,4.9,12.9,0.369,65.3,2.77,3.85,1.13,107.92,114.78,80.07,0.309,0.347,0.404,0.751,1100,91.7,16.8,3.85,6,50,2,16.7,2,0,0,52,7.1,7,5,58.3,0,0,1,0,0,5.47,91.67,47.33,-0.34,0.83,0,0,0,0,0,0,0,0,,0,0,0,0,6,5,0,0,,1,0,0,,,,,0.369,214,54.6,4.6,36.2,40.8,4.6,1.3,3.4,11
장재영,0.57,23,17,6,0,0,0,1,5,0,0,71.2,44,46,43.25,339,63,15,0,4,66,8,0,67,6,2,8,5.53,5.78,5.43,5.63,5.38,1.8,8.41,8.29,1.02,0.5,19.8,19.5,0.3,0.307,69.5,4.77,5.36,0.15,135.96,123.84,132.31,0.243,0.407,0.347,0.754,1438,62.5,20.1,4.24,2,11.8,0,0,11,0,1,43,6,6,11,35.3,0,2,19,7,36.8,3.8,76.47,45.41,-0.68,0.47,1,0,2,0,0,0,0,0,,0,0,0,0,5,9,1,1,100,19,7,36.8,1.17,23,0.29,0.1,0.307,192,49.5,1.5,43.4,44.9,5.6,1.1,4.5,3.2
조영건,0.39,6,0,6,0,0,0,0,0,0,1,7.2,0,0,0.5,27,5,1,0,0,2,0,0,7,0,0,0,0,0,0.59,0.54,2.38,0.91,8.22,2.35,3.5,0,25.9,7.4,18.5,0.278,100,2.43,3.18,-2.38,0,11.83,58.45,0.2,0.259,0.24,0.499,101,16.8,13.2,3.74,0,,0,,0,0,0,2,,0,0,,0,0,0,0,,,,,,,0,0,2,0,1,0,0,0,100,0,0,0,0,1,0,4,1,25,0,0,,1.28,16.83,0.62,0.39,0.278,18,44.4,5.6,50,55.6,0,0.8,0,0
이명종,0.15,45,2,43,7,0,0,5,5,0,1,57,33,34,35.55,260,66,13,0,5,24,6,0,26,1,0,0,5.21,5.37,5.61,5.67,5.38,1.58,4.11,3.79,1.08,0.79,10,9.2,0.8,0.314,69.7,4.42,5.31,-0.17,128.21,124.73,132.49,0.3,0.376,0.427,0.803,1022,22.7,17.9,3.93,0,0,0,0,1,0,0,25,29.3,0,2,0,0,0,15,11,73.3,3.83,67,40,-0.04,0.1,10,2,13,0,1,4,0,4,20,0,1,2,0,10,13,27,14,51.9,15,11,73.3,1.15,20.65,1.12,0.05,0.314,194,44.6,4.9,47.5,52.5,2.9,0.9,4.7,10.6
윤정현,0.14,5,0,5,2,0,0,0,0,0,0,6,1,2,2,26,5,0,0,0,6,0,0,2,0,0,1,1.5,3,3,2.98,6.12,1.83,3,9,0.33,0,7.7,23.1,-15.4,0.278,81.8,6.15,7.25,-4.62,36.91,65.41,150.49,0.25,0.423,0.25,0.673,103,20.6,17.2,3.96,0,,0,,0,0,0,4,,0,0,,0,0,1,0,0,,,,,,0,0,2,0,0,0,0,0,,0,0,0,0,0,1,0,0,,1,0,0,1.2,20.6,0.02,0.14,0.278,18,72.2,0,27.8,27.8,0,2.6,0,0
