Name,FIP,G,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,BABIP,LOB,ERA,RA9,rRA9,rRA9pf,FIP,xFIP,kwERA,ERA-FIP,ERA-,rRA9-,FIP-,AVG,OBP,SLG,OPS,NP,P/G,P/IP,P/PA
안우진,2.33,24,9.8,2.27,4.32,0.3,27,6.3,20.7,0.294,75.8,2.39,2.63,2.46,2.5,2.33,1.99,2.91,0.06,58.79,54.9,57.22,0.217,0.265,0.292,0.557,2342,97.6,15.5,3.85
조영건,2.38,6,8.22,2.35,3.5,0,25.9,7.4,18.5,0.278,100,0,0,0.59,0.54,2.38,2.43,3.18,-2.38,0,11.83,58.45,0.2,0.259,0.24,0.499,101,16.8,13.2,3.74
후라도,3.15,30,7.2,2.01,3.59,0.34,19.3,5.4,13.9,0.283,73.5,2.65,3.14,3.08,3.13,3.15,2.75,3.73,-0.5,65.11,68.83,77.41,0.234,0.282,0.291,0.573,2797,93.2,15.2,3.67
요키시,3.25,12,6.99,1.92,3.64,0.41,17.8,4.9,12.9,0.369,65.3,4.39,5.07,5.07,5.22,3.25,2.77,3.85,1.13,107.92,114.78,80.07,0.309,0.347,0.404,0.751,1100,91.7,16.8,3.85
김재웅,3.52,67,6.94,3.62,1.92,0.3,18.4,9.6,8.8,0.307,66.2,4.22,4.37,3.96,4.03,3.52,3.19,4.34,0.71,103.92,88.6,86.51,0.252,0.323,0.329,0.652,962,14.4,16.1,3.85
임창민,3.6,51,7.71,3.28,2.35,0.58,19.1,8.1,11,0.331,81.8,2.51,3.09,3.76,3.84,3.6,2.92,4.08,-1.09,61.69,84.43,88.6,0.276,0.338,0.357,0.695,826,16.2,17.7,3.95
이종민,3.61,11,6.59,3.95,1.67,0,13.9,8.3,5.6,0.4,55.2,7.24,8.56,9.02,9.63,3.61,3.72,4.73,3.64,178.25,211.58,88.78,0.349,0.403,0.46,0.863,306,27.8,22.4,4.25
최원태,3.79,17,6.86,2.55,2.69,0.62,18.5,6.9,11.6,0.28,75.4,3.25,3.34,3.34,3.31,3.79,3.04,4.01,-0.53,80.07,72.82,93.2,0.237,0.299,0.322,0.621,1578,92.8,15.4,3.74
하영민,3.86,57,8.77,4.3,2.04,0.69,20.6,10.1,10.5,0.387,65.5,4.64,6.19,6.6,6.81,3.86,3.03,4.14,0.78,114.26,149.75,95.05,0.309,0.381,0.438,0.819,933,16.4,17.8,3.78
김선기,3.87,17,5.98,3.09,1.93,0.41,14.5,7.5,7,0.358,50.7,5.98,7.63,7.8,7.94,3.87,3.41,4.56,2.11,147.07,174.52,95.22,0.309,0.364,0.453,0.817,753,44.3,17.2,3.77
정찬헌,3.9,14,4.38,1.63,2.69,0.5,11.9,4.4,7.5,0.282,57.5,4.75,5,4.94,5.15,3.9,3.31,4.51,0.85,116.88,113.25,95.91,0.261,0.295,0.371,0.666,1061,75.8,14.7,3.6
원종현,4.32,20,8.2,2.41,3.4,1.45,19.5,5.7,13.8,0.35,53.8,5.79,7.71,6.63,6.71,4.32,2.5,3.74,1.47,142.37,147.46,106.19,0.304,0.349,0.544,0.893,322,16.1,17.3,3.7
김동혁,4.52,35,5.49,4.12,1.33,0.23,12.5,9.4,3.1,0.36,55.4,7.32,7.78,7.39,7.64,4.52,4.27,5.03,2.8,180.17,167.89,111.17,0.313,0.399,0.423,0.822,718,20.5,18.3,3.74
김성진,4.74,55,7.28,4.79,1.52,0.96,18.3,12,6.3,0.287,81,3.64,3.64,4.09,4.23,4.74,3.55,4.65,-1.1,89.53,92.9,116.71,0.247,0.341,0.371,0.712,824,15,17.5,3.96
