Name	BABIP	BIP	GB%	ifFB%	ofFB%	FB%	LD%	GB/FB	HR/FB%	if1B%
후라도	0.306	543	53.3	3	40.8	43.8	3	1.2	7.6	11.4
하영민	0.322	497	41.8	5.1	48.3	53.5	4.7	0.8	3	7.1
헤이수스	0.321	468	45.3	4.9	47.2	52	2.6	0.9	8.6	11.1
김윤하	0.322	270	39.1	6	51.2	57.3	3.6	0.7	3.7	3.2
김선기	0.298	262	41.4	4.7	51.4	56.1	2.5	0.7	8.3	6.6
김인범	0.3	220	39	6.9	48.9	55.8	5.2	0.7	7	12
이종민	0.305	154	37.2	7.3	50.6	57.9	4.9	0.6	9.5	7.1
주승우	0.305	151	47.8	3.1	46.5	49.7	2.5	1	5.1	12
조영건	0.336	134	36.2	6.4	53.9	60.3	3.5	0.6	8.2	3.9
김성민	0.31	129	51.5	2.2	39.7	41.9	6.6	1.2	8.8	13.3
문성현	0.402	127	39.7	3.1	51.9	55	5.3	0.7	4.2	5.6
김동욱	0.254	114	41.7	3.3	51.7	55	3.3	0.8	6.1	6.1
조상우	0.342	111	40.9	3.5	54.8	58.3	0.9	0.7	3	5
김연주	0.282	103	38	2.8	55.6	58.3	3.7	0.7	7.9	5.9
전준표	0.32	97	50.5	5	40.6	45.5	4	1.1	8.7	5.7
윤석원	0.378	74	31.6	5.1	55.7	60.8	7.6	0.5	6.3	3.2
김동혁	0.274	73	35.8	6.2	53.1	59.3	4.9	0.6	14.6	7.4
김재웅	0.306	72	52	1.3	42.7	44	4	1.2	6.1	0
정찬헌	0.371	62	43.1	1.5	52.3	53.8	3.1	0.8	8.6	7.7
오석주	0.459	61	43.5	4.8	51.6	56.5	0	0.8	0	10.7
양지율	0.25	60	45.9	6.6	45.9	52.5	1.6	0.9	3.1	12.5
박윤성	0.173	52	25.9	5.2	60.3	65.5	8.6	0.4	13.2	7.1
박승주	0.298	47	31.4	3.9	64.7	68.6	0	0.5	5.7	6.3
손현기	0.319	47	40.8	6.1	46.9	53.1	6.1	0.8	7.7	0
이명종	0.364	44	38.8	2	59.2	61.2	0	0.6	13.3	0
박범준	0.429	14	26.7	0	73.3	73.3	0	0.4	9.1	0
윤정현	0.333	12	33.3	0	58.3	58.3	8.3	0.6	0	0
원종현	0.364	11	54.5	0	27.3	27.3	18.2	2	0	0
김동규	0.5	2	50	0	50	50	0	1	0	0
