name	GR	IP	ERA	W	L	2time	3time	plus 1	SV	HD	BLSV	BLHD	BL+	save%	TS	TH	TBS	TBH	SD	MD	IR	IRS	IRS%	BQ	BQS	BQS%	IP/GR	P/GR	gmLI	closer war
ÁÖ½Â¿ì	55	51.2	4.35	4	6	16	1	5	14	5	4	0	4	82.6	1	0	1	0	16	11	13	5	38.5	9	3	33.3	0.94	14.2	1.36	0.98
Á¶»ó¿ì	44	39.2	3.18	0	1	13	3	3	6	9	2	0	2	88.2	0	1	1	0	17	8	18	7	38.9	7	3	42.9	0.9	14.82	1.26	0.87
±è¼º¹Î	46	45.2	4.34	3	4	11	1	6	0	14	4	1	5	73.7	0	2	1	0	12	7	18	6	33.3	11	4	36.4	0.99	15.7	1.36	0.65
±èÀç¿õ	26	23.2	3.42	0	2	10	2	2	0	7	1	0	1	87.5	0	0	0	0	9	5	16	5	31.3	6	1	16.7	0.91	15.62	1.38	0.54
±èÀÎ¹ü	5	5.1	0	0	0	1	0	1	0	0	0	0	0		0	0	0	0	4	8	1	0	0	9	1	11.1	1.07	16.6	0.28	0.26
±èµ¿¿í	37	36	5	2	1	12	0	4	0	3	1	0	1	75	0	0	0	0	5	7	13	8	61.5	4	1	25	0.97	15.38	0.75	0.22
¾çÁöÀ²	21	18.2	6.27	0	2	4	1	3	0	3	1	0	1	75	0	0	0	0	5	4	7	1	14.3	8	4	50	0.89	16.43	0.84	0.16
¹Ú½ÂÁÖ	15	17.1	6.75	0	1	2	0	2	0	0	0	0	0		0	0	0	0	1	1	2	1	50	3	3	100	1.16	20.53	0.25	0.1
¿øÁ¾Çö	4	3.2	4.91	0	0	0	0	0	0	0	0	0	0		0	0	0	0	1	0	1	0	0	0	0		0.92	14.5	1.66	0.1
¹ÚÀ±¼º	17	18.2	5.79	0	0	0	0	4	0	1	0	0	0	100	0	0	0	0	0	1	6	3	50	3	1	33.3	1.1	17.71	0.37	0.09
ÀÌÁ¾¹Î	3	8	5.63	1	0	0	0	3	0	0	0	0	0		0	0	0	0	2	7	1	1	100	11	7	63.6	2.67	51.67	1.06	0.03
±è¼±±â	36	50.1	5.54	4	2	6	0	14	0	0	0	2	2	0	0	0	0	1	8	13	23	12	52.2	12	6	50	1.4	24.97	0.96	-0.01
À±Á¤Çö	2	3	9	0	0	0	0	1	0	0	0	0	0		0	0	0	0	0	0	0	0		0	0		1.5	31	0.02	-0.02
±èµ¿±Ô	2	0.1	54	0	0	1	0	0	0	0	0	0	0		0	0	0	0	0	1	2	1	50	2	2	100	0.17	7.5	0.61	-0.07
¹®¼ºÇö	42	38.1	6.57	1	2	11	1	5	3	2	0	1	1	83.3	0	0	0	0	7	4	17	8	47.1	19	6	31.6	0.91	17.88	0.66	-0.09
±è¿¬ÁÖ	34	31.1	6.61	1	1	9	1	1	0	1	2	1	3	25	0	0	1	0	4	5	12	4	33.3	6	3	50	0.92	16.94	0.63	-0.11
¼ÕÇö±â	4	6.1	8.53	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	1	2	0	0		1	1	100	1.58	31	0.41	-0.17
¹Ú¹üÁØ	5	5.1	13.5	0	1	0	0	1	0	0	0	0	0		0	0	0	0	0	1	0	0		1	1	100	1.07	23.8	0.48	-0.19
Á¶¿µ°Ç	22	26.2	7.43	2	0	4	0	7	0	1	1	0	1	50	0	0	0	0	4	6	15	4	26.7	11	9	81.8	1.21	23.82	0.84	-0.19
±èÀ±ÇÏ	7	10.2	10.13	0	0	0	0	4	0	2	0	0	0	100	0	0	0	0	5	9	1	1	100	13	5	38.5	1.52	33.14	0.44	-0.23
ÀüÁØÇ¥	13	11.1	5.56	2	1	1	0	2	0	0	0	0	0		0	0	0	0	1	7	6	4	66.7	14	6	42.9	0.87	17.77	0.72	-0.24
ÀÌ¸íÁ¾	10	11	8.18	0	1	1	0	3	0	0	0	0	0		0	0	0	0	0	1	7	6	85.7	0	0		1.1	21.9	0.31	-0.3
¿À¼®ÁÖ	17	17	11.12	1	1	2	0	2	0	0	0	0	0		0	0	0	0	1	3	3	2	66.7	7	4	57.1	1	20.18	0.45	-0.5
±èµ¿Çõ	17	22.1	6.85	0	2	1	0	7	0	0	0	0	0		0	0	0	0	1	7	11	5	45.5	0	0		1.31	24.59	1.01	-0.72
À±¼®¿ø	10	15	12.6	0	0	2	0	3	0	0	0	0	0		0	0	0	0	1	3	4	4	100	5	4	80	1.5	27.2	0.37	-0.78
ÈÄ¶óµµ	0	0		0	0	0	0	0	0	0	0	0	0		0	0	0	0	16	8	0	0		3	2	66.7				
Á¤ÂùÇå	0	0		0	0	0	0	0	0	0	0	0	0		0	0	0	0	1	2	0	0		1	1	100				
ÇÏ¿µ¹Î	0	0		0	0	0	0	0	0	0	0	0	0		0	0	0	0	10	14	0	0		18	6	33.3				
ÇìÀÌ¼ö½º	0	0		0	0	0	0	0	0	0	0	0	0		0	0	0	0	16	11	0	0		12	4	33.3				
