Name	FIP	G	K/9	BB/9	K/BB	HR/9	K%	BB%	K-BB%	BABIP	LOB	ERA	RA9	rRA9	rRA9pf	FIP	xFIP	kwERA	ERA-FIP	ERA-	rRA9-	FIP-	AVG	OBP	SLG	OPS	NP	P/G	P/IP	P/PA
ÈÄ¶óµµ	3.84	30	7.99	1.51	5.28	0.9	21.7	4.1	17.6	0.306	74.4	3.36	3.69	3.64	3.78	3.84	2.73	3.29	-0.48	71.44	72.92	82.93	0.254	0.293	0.381	0.674	2894	96.5	15.2	3.72
¿øÁ¾Çö	4.01	4	9.82	7.36	1.33	0	22.2	16.7	5.6	0.364	71.4	4.91	4.91	4.91	4.45	4.01	4.06	4.73	0.9	104.46	85.88	86.68	0.267	0.389	0.333	0.722	58	14.5	15.8	3.22
Á¶»ó¿ì	4.02	44	8.17	4.54	1.8	0.45	21.1	11.7	9.4	0.342	75.4	3.18	3.86	4.28	4.66	4.02	3.53	4.28	-0.84	67.59	89.96	86.83	0.272	0.355	0.354	0.709	652	14.8	16.4	3.81
ÇìÀÌ¼ö½º	4.11	30	9.35	2.31	4.05	1.16	24.5	6	18.4	0.318	76.3	3.68	4.1	3.98	4.24	4.11	2.75	3.19	-0.43	78.24	81.84	88.88	0.258	0.316	0.41	0.726	2832	94.4	16.5	3.89
ÁÖ½Â¿ì	4.18	55	7.49	3.14	2.39	0.7	19.1	8	11.1	0.305	71.6	4.35	4.35	4.62	4.94	4.18	3.36	4.07	0.17	92.67	95.28	90.39	0.255	0.33	0.398	0.728	781	14.2	15.1	3.47
¿À¼®ÁÖ	4.4	17	8.47	5.82	1.45	0	17.4	12	5.4	0.459	50	11.12	11.12	10.67	11.22	4.4	4.53	4.75	6.72	236.57	216.42	95.13	0.368	0.462	0.447	0.909	343	20.2	20.2	3.73
ÇÏ¿µ¹Î	4.45	28	6.05	3.47	1.74	0.48	15.1	8.6	6.4	0.322	67.7	4.37	4.91	4.74	5.02	4.45	3.94	4.63	-0.08	92.99	96.78	96.27	0.28	0.345	0.396	0.741	2539	90.7	16.9	3.78
±è¼º¹Î	4.86	46	6.7	3.35	2	0.99	18.1	9	9	0.31	69.6	4.34	4.73	4.96	5.33	4.86	3.64	4.31	-0.53	92.26	102.75	105.15	0.273	0.339	0.388	0.727	722	15.7	15.8	3.84
±èÀç¿õ	4.9	26	7.23	4.56	1.58	0.76	17.8	11.2	6.5	0.306	82.4	3.42	3.42	4.28	4.63	4.9	3.99	4.61	-1.48	72.83	89.32	105.97	0.261	0.349	0.38	0.729	406	15.6	17.2	3.79
±èµ¿¿í	4.96	37	4.5	1.5	3	1	12.3	4.1	8.2	0.254	60	5	5	5.86	6.22	4.96	3.76	4.41	0.04	106.39	120.07	107.27	0.246	0.285	0.418	0.703	569	15.4	15.8	3.9
