Name	War	G	GS	GR	GF	CG	SHO	W	L	S	HD	IP	ER	R	Rra	TBF	H	2B	3B	HR	BB	HP	IB	SO	ROE	BK	wild pitch	ERA	RA9	rRA9	rRA9pf	FIP	WHIP
ÈÄ¶óµµ	6.61	30	30	0	0	0	0	10	8	0	0	190.1	71	78	76.95	779	185	27	4	19	32	9	0	169	12	1	3	3.36	3.69	3.64	3.78	3.84	1.14
ÇìÀÌ¼ö½º	5.09	30	30	0	0	0	0	13	11	0	0	171.1	70	78	75.75	728	171	31	2	22	44	14	1	178	8	1	6	3.68	4.1	3.98	4.24	4.11	1.25
ÇÏ¿µ¹Î	3.25	28	28	0	0	0	0	9	8	0	0	150.1	73	82	79.25	671	168	33	6	8	58	5	0	101	9	0	7	4.37	4.91	4.74	5.02	4.45	1.5
ÁÖ½Â¿ì	0.98	55	0	55	35	0	0	4	6	14	5	51.2	25	25	26.55	225	50	14	1	4	18	5	5	43	2	0	1	4.35	4.35	4.62	4.94	4.18	1.32
Á¶»ó¿ì	0.87	44	0	44	7	0	0	0	1	6	9	39.2	14	17	18.85	171	40	6	0	2	20	0	1	36	0	0	1	3.18	3.86	4.28	4.66	4.02	1.51
±èÀÎ¹ü	0.79	19	14	5	4	0	0	2	7	0	0	63.1	38	40	39.3	297	75	8	1	9	31	8	0	27	2	1	3	5.4	5.68	5.58	5.77	6.73	1.67
±è¼º¹Î	0.65	46	0	46	4	0	0	3	4	0	14	45.2	22	24	25.15	188	45	4	0	5	17	1	0	34	0	1	3	4.34	4.73	4.96	5.33	4.86	1.36
±èÀ±ÇÏ	0.54	19	12	7	0	0	0	1	6	0	2	79	53	57	54.95	363	93	22	2	6	35	4	0	43	4	1	3	6.04	6.49	6.26	6.67	5.27	1.62
±èÀç¿õ	0.54	26	0	26	1	0	0	0	2	0	7	23.2	9	9	11.25	107	24	3	1	2	12	1	1	19	3	0	1	3.42	3.42	4.28	4.63	4.9	1.52
±è¼±±â	0.31	42	6	36	4	0	0	6	4	0	0	76.1	47	51	53.6	357	91	18	0	13	30	6	1	43	6	0	6	5.54	6.01	6.32	6.5	6.28	1.59
±èµ¿¿í	0.22	37	0	37	11	0	0	2	1	0	3	36	20	20	23.45	146	33	9	1	4	6	2	1	18	1	0	1	5	5	5.86	6.22	4.96	1.08
¾çÁöÀ²	0.16	21	0	21	2	0	0	0	2	0	3	18.2	13	13	11.3	83	16	4	0	1	13	2	0	7	0	0	0	6.27	6.27	5.45	5.92	6.39	1.55
¹Ú½ÂÁÖ	0.1	15	0	15	6	0	0	0	1	0	0	17.1	13	13	11.95	74	16	2	0	2	9	1	0	13	0	0	3	6.75	6.75	6.2	6.56	5.49	1.44
¿øÁ¾Çö	0.1	4	0	4	0	0	0	0	0	0	0	3.2	2	2	2	18	4	1	0	0	3	0	0	4	0	0	2	4.91	4.91	4.91	4.45	4.01	1.91
¹ÚÀ±¼º	0.09	17	0	17	7	0	0	0	0	0	1	18.2	12	12	13.4	81	14	5	0	5	9	0	0	14	2	0	2	5.79	5.79	6.46	6.62	7.01	1.23
Á¤ÂùÇå	0.03	4	4	0	0	0	0	0	2	0	0	16	14	14	13.3	74	26	5	0	3	3	1	0	5	0	0	0	7.88	7.88	7.48	7.26	6.42	1.81
À±Á¤Çö	-0.02	2	0	2	2	0	0	0	0	0	0	3	3	3	3	15	4	0	0	0	2	0	0	1	0	0	0	9	9	9	9.41	5.43	2
±èµ¿±Ô	-0.07	2	0	2	1	0	0	0	0	0	0	0.1	2	2	1.3	4	1	1	0	0	2	0	0	0	0	0	0	54	54	35.1	32.69	22.8	9
¹®¼ºÇö	-0.09	42	0	42	12	0	0	1	2	3	2	38.1	28	28	29.55	189	54	6	2	3	25	2	0	31	1	0	2	6.57	6.57	6.94	7.26	5.29	2.06
±è¿¬ÁÖ	-0.11	34	0	34	11	0	0	1	1	0	1	31.1	23	24	24.5	148	34	10	0	5	17	5	1	18	0	0	2	6.61	6.89	7.04	7.43	6.74	1.63
¼ÕÇö±â	-0.11	6	2	4	2	0	0	0	1	0	0	14.1	12	14	13.3	69	17	3	1	2	8	3	0	9	0	0	3	7.53	8.79	8.35	8.66	6.67	1.74
ÀÌÁ¾¹Î	-0.12	12	9	3	0	0	0	1	8	0	0	43.2	37	39	36.1	212	56	10	2	9	22	5	2	21	2	1	0	7.63	8.04	7.44	7.72	7.22	1.79
¹Ú¹üÁØ	-0.19	5	0	5	3	0	0	0	1	0	0	5.1	8	8	7.3	28	7	2	0	1	4	1	0	8	0	0	2	13.5	13.5	12.32	11.88	5.59	2.06
ÀÌ¸íÁ¾	-0.3	10	0	10	7	0	0	0	1	0	0	11	10	10	13.3	58	20	2	0	4	5	0	1	4	1	0	1	8.18	8.18	10.88	11.51	8.74	2.27
