name	G	GS	IP	ERA	W	L	QS	QS%	QS+	QS+%	QH	TL	CW	RS	RS9	start W	start L	W%	start BW	start BL	start BQ	start BQS	start BQS%	IP/GS	P/GS	AGS	starter waa	starter war
ÈÄ¶óµµ	30	30	190.1	3.36	10	8	23	76.7	13	43.3	0	0	0	92	4.4	17	13	56.7	0	0	3	2	66.7	6.34	96.47	55.93	3.23	6.61
ÇìÀÌ¼ö½º	30	30	171.1	3.68	13	11	20	66.7	3	10	2	0	0	117	6.1	15	15	50	0	0	12	4	33.3	5.71	94.4	53.6	2.04	5.09
ÇÏ¿µ¹Î	28	28	150.1	4.37	9	8	9	32.1	2	7.1	7	0	0	103	6.2	13	15	46.4	0	0	18	6	33.3	5.37	90.68	47.21	0.58	3.25
±èÀ±ÇÏ	19	12	68.1	5.4	1	6	4	33.3	3	25	1	0	0	25	3.3	3	9	25	0	0	13	5	38.5	5.69	89.92	44.25	-0.44	0.77
±èÀÎ¹ü	19	14	58	5.9	2	7	0	0	0	0	8	0	0	24	3.7	4	10	28.6	0	0	9	1	11.1	4.14	74.71	41.93	-0.5	0.53
±è¼±±â	42	6	26	5.54	2	2	1	16.7	0	0	2	0	0	47	16.3	3	3	50	0	0	12	6	50	4.33	69.83	43.17	-0.14	0.32
À±¼®¿ø	11	1	2.1	3.86	0	1	0	0	0	0	1	0	0	4	15.4	0	1	0	0	0	5	4	80	2.33	49	48	0.07	0.12
¼ÕÇö±â	6	2	8	6.75	0	0	0	0	0	0	1	0	0	13	14.6	1	1	50	0	0	1	1	100	4	72.5	42	-0.08	0.06
Á¤ÂùÇå	4	4	16	7.88	0	2	0	0	0	0	2	0	0	12	6.8	0	4	0	0	0	1	1	100	4	60	36	-0.25	0.03
ÀüÁØÇ¥	18	5	16.1	7.71	0	3	0	0	0	0	3	0	0	13	7.2	0	5	0	0	0	14	6	42.9	3.27	67.8	39.2	-0.4	-0.11
ÀÌÁ¾¹Î	12	9	35.2	8.07	0	8	0	0	0	0	4	0	0	7	1.8	1	8	11.1	0	0	11	7	63.6	3.96	66.56	37.89	-0.79	-0.15
Á¶¿µ°Ç	25	3	12.2	9.24	0	1	0	0	0	0	0	0	0	23	16.3	1	2	33.3	0	0	11	9	81.8	4.22	70	32.33	-0.58	-0.36
¿À¼®ÁÖ	17	0	0		0	0	0		0		0	0	0	9		0	0		0	0	7	4	57.1					
ÁÖ½Â¿ì	55	0	0		0	0	0		0		0	0	0	12		0	0		0	0	9	3	33.3					
¹Ú¹üÁØ	5	0	0		0	0	0		0		0	0	0	10		0	0		0	0	1	1	100					
¹®¼ºÇö	42	0	0		0	0	0		0		0	0	0	18		0	0		0	0	19	6	31.6					
¾çÁöÀ²	21	0	0		0	0	0		0		0	0	0	17		0	0		0	0	8	4	50					
±èµ¿Çõ	17	0	0		0	0	0		0		0	0	0	10		0	0		0	0	0	0						
¹ÚÀ±¼º	17	0	0		0	0	0		0		0	0	0	13		0	0		0	0	3	1	33.3					
¿øÁ¾Çö	4	0	0		0	0	0		0		0	0	0	1		0	0		0	0	0	0						
±è¼º¹Î	46	0	0		0	0	0		0		0	0	0	33		0	0		0	0	11	4	36.4					
±èÀç¿õ	26	0	0		0	0	0		0		0	0	0	8		0	0		0	0	6	1	16.7					
À±Á¤Çö	2	0	0		0	0	0		0		0	0	0	3		0	0		0	0	0	0						
±èµ¿¿í	37	0	0		0	0	0		0		0	0	0	17		0	0		0	0	4	1	25					
±èµ¿±Ô	2	0	0		0	0	0		0		0	0	0	0		0	0		0	0	2	2	100					
±è¿¬ÁÖ	34	0	0		0	0	0		0		0	0	0	13		0	0		0	0	6	3	50					
¹Ú½ÂÁÖ	15	0	0		0	0	0		0		0	0	0	6		0	0		0	0	3	3	100					
ÀÌ¸íÁ¾	10	0	0		0	0	0		0		0	0	0	3		0	0		0	0	0	0						
Á¶»ó¿ì	44	0	0		0	0	0		0		0	0	0	19		0	0		0	0	7	3	42.9					
