Name,War,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,Rra,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,wild pitch,ERA,RA9,rRA9,rRA9pf,FIP,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,BABIP,LOB,xFIP,kwERA,ERA-FIP,ERA-,rRA9-,FIP-,AVG,OBP,SLG,OPS,NP,P/G,P/IP,P/PA,QS,QS%,QS+,QS+%,QH,TL,CW,RS,RS9,start W,start L,W%,start BW,start BL,strat BQ,start BQS,start BQS%,IP/GS,P/GS,AGS,starter waa,starter war,2time,3time,plus 1,SV,HD,BLSV,BLHD,BL+,save%,TS,TH,TBS,TBH,SD,MD,IR,IRS,IRS%,BQ,BQS,BQS%,IP/GR,P/GR,gmLI,closer war,BABIP,BIP,GB%,ifFB%,ofFB%,FB%,LD%,GB/FB,HR/FB%,if1B%,PFR,PF1,PF2,PF3,PFH,PFslg
후라도,6.61,30,30,0,0,0,0,10,8,0,0,190.1,71,78,76.95,779,185,27,4,19,32,9,0,169,12,1,3,3.36,3.69,3.64,3.78,3.84,1.14,7.99,1.51,5.28,0.9,21.7,4.1,17.6,0.306,74.4,2.73,3.29,-0.48,71.44,72.92,82.93,0.254,0.293,0.381,0.674,2894,96.5,15.2,3.72,23,76.7,13,43.3,0,0,0,92,4.4,17,13,56.7,0,0,3,2,66.7,6.34,96.47,55.93,3.23,6.61,0,0,0,0,0,0,0,0,,0,0,0,0,16,8,0,0,,3,2,66.7,,,,,0.306,543,53.3,3,40.8,43.8,3,1.2,7.6,11.4,889,957,1013,1098,822,1028
헤이수스,5.09,30,30,0,0,0,0,13,11,0,0,171.1,70,78,75.75,728,171,31,2,22,44,14,1,178,8,1,6,3.68,4.1,3.98,4.24,4.11,1.25,9.35,2.31,4.05,1.16,24.5,6,18.4,0.318,76.3,2.75,3.19,-0.43,78.24,81.84,88.88,0.258,0.316,0.41,0.726,2832,94.4,16.5,3.89,20,66.7,3,10,2,0,0,117,6.1,15,15,50,0,0,12,4,33.3,5.71,94.4,53.6,2.04,5.09,0,0,0,0,0,0,0,0,,0,0,0,0,16,11,0,0,,12,4,33.3,,,,,0.321,468,45.3,4.9,47.2,52,2.6,0.9,8.6,11.1,889,957,1013,1098,822,1028
하영민,3.25,28,28,0,0,0,0,9,8,0,0,150.1,73,82,79.25,671,168,33,6,8,58,5,0,101,9,0,7,4.37,4.91,4.74,5.02,4.45,1.5,6.05,3.47,1.74,0.48,15.1,8.6,6.4,0.322,67.7,3.94,4.63,-0.08,92.99,96.78,96.27,0.28,0.345,0.396,0.741,2539,90.7,16.9,3.78,9,32.1,2,7.1,7,0,0,103,6.2,13,15,46.4,0,0,18,6,33.3,5.37,90.68,47.21,0.58,3.25,0,0,0,0,0,0,0,0,,0,0,0,0,10,14,0,0,,18,6,33.3,,,,,0.322,497,41.8,5.1,48.3,53.5,4.7,0.8,3,7.1,889,957,1013,1098,822,1028
주승우,0.98,55,0,55,35,0,0,4,6,14,5,51.2,25,25,26.55,225,50,14,1,4,18,5,5,43,2,0,1,4.35,4.35,4.62,4.94,4.18,1.32,7.49,3.14,2.39,0.7,19.1,8,11.1,0.305,71.6,3.36,4.07,0.17,92.67,95.28,90.39,0.255,0.33,0.398,0.728,781,14.2,15.1,3.47,0,,0,,0,0,0,12,,0,0,,0,0,9,3,33.3,,,,,,16,1,5,14,5,4,0,4,82.6,1,0,1,0,16,11,13,5,38.5,9,3,33.3,0.94,14.2,1.36,0.98,0.305,151,47.8,3.1,46.5,49.7,2.5,1,5.1,12,889,957,1013,1098,822,1028
조상우,0.87,44,0,44,7,0,0,0,1,6,9,39.2,14,17,18.85,171,40,6,0,2,20,0,1,36,0,0,1,3.18,3.86,4.28,4.66,4.02,1.51,8.17,4.54,1.8,0.45,21.1,11.7,9.4,0.342,75.4,3.53,4.28,-0.84,67.59,89.96,86.83,0.272,0.355,0.354,0.709,652,14.8,16.4,3.81,0,,0,,0,0,0,19,,0,0,,0,0,7,3,42.9,,,,,,13,3,3,6,9,2,0,2,88.2,0,1,1,0,17,8,18,7,38.9,7,3,42.9,0.9,14.82,1.26,0.87,0.342,111,40.9,3.5,54.8,58.3,0.9,0.7,3,5,889,957,1013,1098,822,1028
김인범,0.79,19,14,5,4,0,0,2,7,0,0,63.1,38,40,39.3,297,75,8,1,9,31,8,0,27,2,1,3,5.4,5.68,5.58,5.77,6.73,1.67,3.84,4.41,0.87,1.28,9.1,10.4,-1.3,0.3,73.3,5.18,5.56,-1.33,114.91,111.26,145.61,0.294,0.386,0.439,0.825,1129,59.4,17.8,3.8,0,0,0,0,8,0,0,24,3.7,4,10,28.6,0,0,9,1,11.1,4.14,74.71,41.93,-0.5,0.53,1,0,1,0,0,0,0,0,,0,0,0,0,4,8,1,0,0,9,1,11.1,1.07,16.6,0.28,0.26,0.3,220,39,6.9,48.9,55.8,5.2,0.7,7,12,889,957,1013,1098,822,1028
김성민,0.65,46,0,46,4,0,0,3,4,0,14,45.2,22,24,25.15,188,45,4,0,5,17,1,0,34,0,1,3,4.34,4.73,4.96,5.33,4.86,1.36,6.7,3.35,2,0.99,18.1,9,9,0.31,69.6,3.64,4.31,-0.53,92.26,102.75,105.15,0.273,0.339,0.388,0.727,722,15.7,15.8,3.84,0,,0,,0,0,0,33,,0,0,,0,0,11,4,36.4,,,,,,11,1,6,0,14,4,1,5,73.7,0,2,1,0,12,7,18,6,33.3,11,4,36.4,0.99,15.7,1.36,0.65,0.31,129,51.5,2.2,39.7,41.9,6.6,1.2,8.8,13.3,889,957,1013,1098,822,1028
김윤하,0.54,19,12,7,0,0,0,1,6,0,2,79,53,57,54.95,363,93,22,2,6,35,4,0,43,4,1,3,6.04,6.49,6.26,6.67,5.27,1.62,4.9,3.99,1.23,0.68,11.8,9.6,2.2,0.322,60.5,4.5,5.14,0.77,128.48,128.69,114.02,0.296,0.369,0.436,0.805,1311,69,16.6,3.61,4,33.3,3,25,1,0,0,25,3.3,3,9,25,0,0,13,5,38.5,5.69,89.92,44.25,-0.44,0.77,0,0,4,0,2,0,0,0,100,0,0,0,0,5,9,1,1,100,13,5,38.5,1.52,33.14,0.44,-0.23,0.322,270,39.1,6,51.2,57.3,3.6,0.7,3.7,3.2,889,957,1013,1098,822,1028
김재웅,0.54,26,0,26,1,0,0,0,2,0,7,23.2,9,9,11.25,107,24,3,1,2,12,1,1,19,3,0,1,3.42,3.42,4.28,4.63,4.9,1.52,7.23,4.56,1.58,0.76,17.8,11.2,6.5,0.306,82.4,3.99,4.61,-1.48,72.83,89.32,105.97,0.261,0.349,0.38,0.729,406,15.6,17.2,3.79,0,,0,,0,0,0,8,,0,0,,0,0,6,1,16.7,,,,,,10,2,2,0,7,1,0,1,87.5,0,0,0,0,9,5,16,5,31.3,6,1,16.7,0.91,15.62,1.38,0.54,0.306,72,52,1.3,42.7,44,4,1.2,6.1,0,889,957,1013,1098,822,1028
김선기,0.31,42,6,36,4,0,0,6,4,0,0,76.1,47,51,53.6,357,91,18,0,13,30,6,1,43,6,0,6,5.54,6.01,6.32,6.5,6.28,1.59,5.07,3.54,1.43,1.53,12,8.4,3.6,0.298,69.7,4.39,4.96,-0.74,117.92,125.35,135.79,0.292,0.359,0.474,0.833,1318,31.4,17.3,3.69,1,16.7,0,0,2,0,0,47,16.3,3,3,50,0,0,12,6,50,4.33,69.83,43.17,-0.14,0.32,6,0,14,0,0,0,2,2,0,0,0,0,1,8,13,23,12,52.2,12,6,50,1.4,24.97,0.96,-0.01,0.298,262,41.4,4.7,51.4,56.1,2.5,0.7,8.3,6.6,889,957,1013,1098,822,1028
