name,GR,IP,ERA,W,L,2time,3time,plus 1,SV,HD,BLSV,BLHD,BL+,save%,TS,TH,TBS,TBH,SD,MD,IR,IRS,IRS%,BQ,BQS,BQS%,IP/GR,P/GR,gmLI,closer war
주권,77,70,2.7,6,2,22,5,14,0,31,6,0,6,83.8,0,7,4,0,27,14,43,13,30.2,26,7,26.9,0.91,14.86,1.5,2.41
김재윤,56,60.2,3.26,5,3,14,1,18,21,1,7,0,7,75.9,3,0,3,0,18,13,18,7,38.9,5,1,20,1.08,18.18,1.64,2.11
조현우,54,46.2,3.09,5,1,11,2,7,1,9,1,3,4,71.4,0,2,0,1,15,8,32,1,3.1,25,5,20,0.86,13.11,1.23,2.08
이보근,49,46.2,2.51,3,1,14,2,8,6,9,2,0,2,88.2,0,0,0,0,8,7,27,9,33.3,15,5,33.3,0.95,14.67,1.18,1.52
유원상,62,64,3.8,2,1,15,5,13,2,9,1,2,3,78.6,0,1,0,2,11,11,33,12,36.4,20,7,35,1.03,15.4,0.93,1.31
전유수,47,45.2,5.12,5,4,7,0,10,2,3,1,0,1,83.3,1,0,0,0,9,5,22,7,31.8,21,10,47.6,0.97,16.4,0.95,0.96
하준호,41,40,5.85,0,3,11,1,6,0,5,1,0,1,83.3,0,0,0,0,4,10,15,3,20,24,14,58.3,0.98,17.88,0.9,0.54
김민,18,18.1,2.45,1,0,1,0,5,0,1,0,0,0,100,0,0,0,0,2,6,10,6,60,12,5,41.7,1.02,15.89,0.42,0.42
이상화,18,15,5.4,1,1,2,0,3,0,1,0,0,0,100,0,0,0,0,3,2,4,0,0,6,2,33.3,0.83,12.89,0.51,0.29
손동현,23,20.1,5.31,0,0,3,1,3,0,1,0,1,1,50,0,0,0,1,2,2,8,3,37.5,9,3,33.3,0.88,14.87,0.65,0.16
김성훈,3,3,3,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,,1,18.33,0.07,0.08
이창재,10,8,5.63,0,0,2,0,0,0,1,0,0,0,100,0,0,0,0,1,0,2,0,0,5,2,40,0.8,16.1,0.18,0.07
소형준,2,2.1,3.86,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,12,7,3,0,0,10,3,30,1.17,22,0.83,0.05
한승지,1,0,99.99,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,2,0,0,0,27,0,-0.02
이상동,5,6,9,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,3,2,66.7,0,0,,1.2,22.6,0.16,-0.09
안현준,1,0.1,99.99,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,2,2,100,0.33,31,0,-0.11
이강준,4,5.2,6.35,0,0,0,0,2,0,0,0,0,0,,0,0,0,0,0,0,5,5,100,5,0,0,1.42,27.25,0.2,-0.12
이선우,2,2,13.5,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,1,2,2,100,1,0,0,1,25,0.09,-0.12
조병욱,5,10.2,9.28,0,0,0,0,3,0,0,0,0,0,,0,0,0,0,0,3,5,1,20,2,1,50,2.13,39.4,0.11,-0.13
이대은,16,19.1,6.52,0,4,3,0,7,1,0,2,0,2,33.3,0,0,0,0,2,8,8,3,37.5,9,5,55.6,1.21,18.94,1.03,-0.15
금민철,3,2.1,15.43,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,1,1,100,2,0,0,0.78,18.33,0.34,-0.17
박세진,1,0.1,99.99,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,2,100,2,2,100,0.33,13,0.02,-0.17
류희운,7,8.1,10.8,0,1,1,0,2,0,0,0,0,0,,0,0,0,0,0,1,5,3,60,3,3,100,1.19,20.14,0.45,-0.24
데스파이네,1,0.2,27,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,17,13,2,2,100,13,2,15.4,0.67,15,1.72,-0.32
김민수,15,14,10.29,0,2,1,0,2,0,0,2,0,2,0,0,0,0,0,5,16,15,11,73.3,16,6,37.5,0.93,17.4,0.76,-1.06
배제성,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,12,10,0,0,,14,3,21.4,,,,
쿠에바스,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,12,12,0,0,,14,5,35.7,,,,
