Name,FIP,G,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,BABIP,LOB,ERA,RA9,rRA9,rRA9pf,FIP,xFIP,kwERA,ERA-FIP,ERA-,rRA9-,FIP-,AVG,OBP,SLG,OPS,NP,P/G,P/IP,P/PA
이창재,3.36,10,7.88,4.5,1.75,0,18.4,10.5,7.9,0.37,57.1,5.63,6.75,5.63,6,3.36,3.49,4.45,2.27,116.23,113.22,69.38,0.294,0.368,0.382,0.75,161,16.1,20.1,4.24
김재윤,3.64,56,8.6,2.23,3.87,1.04,22.7,5.9,16.8,0.325,80.6,3.26,3.41,3.79,3.78,3.64,2.39,3.38,-0.38,67.44,71.21,75.26,0.265,0.309,0.389,0.698,1018,18.2,16.8,3.98
이보근,3.99,49,5.21,2.31,2.25,0.39,14.1,6.3,7.8,0.272,73.6,2.51,3.28,3.55,3.67,3.99,3.58,4.46,-1.48,51.8,69.16,82.42,0.241,0.295,0.305,0.6,719,14.7,15.4,3.74
소형준,3.99,26,6.23,3.05,2.04,0.41,16.1,7.9,8.2,0.321,70.1,3.86,4.26,4.17,4.12,3.99,3.54,4.41,-0.13,79.7,77.7,82.47,0.274,0.337,0.353,0.69,2172,83.5,16.3,3.8
조현우,4.01,54,6.36,4.24,1.5,0.19,16.8,11.2,5.6,0.274,75,3.09,3.09,2.73,2.66,4.01,3.85,4.73,-0.92,63.76,50.18,82.86,0.226,0.318,0.304,0.622,708,13.1,15.2,3.61
이상동,4.3,5,4.5,4.5,1,0,10,10,0,0.458,57.1,9,9,10.8,9.99,4.3,4.45,5.4,4.7,185.97,188.4,88.75,0.423,0.467,0.615,1.082,113,22.6,18.8,3.77
데스파이네,4.33,35,6.59,2.95,2.24,0.78,16.8,7.5,9.3,0.329,71.8,4.33,4.55,4.53,4.4,4.33,3.39,4.29,0,89.55,82.94,89.5,0.286,0.343,0.398,0.741,3525,100.7,17,3.89
쿠에바스,4.54,27,6.27,2.62,2.39,0.91,16.5,6.9,9.6,0.282,68.6,4.1,4.56,4.41,4.38,4.54,3.44,4.25,-0.44,84.74,82.5,93.78,0.253,0.312,0.38,0.692,2518,93.3,15.9,3.77
전유수,4.72,47,5.32,4.14,1.29,0.59,13.5,10.5,3,0.303,66.7,5.12,5.12,4.76,4.6,4.72,4.06,5.04,0.4,105.88,86.74,97.62,0.272,0.357,0.379,0.736,771,16.4,16.9,3.86
류희운,4.81,7,7.56,4.32,1.75,1.08,17.1,9.8,7.3,0.448,47.1,10.8,10.8,10.8,10.86,4.81,3.49,4.52,5.99,223.16,204.87,99.41,0.389,0.439,0.583,1.022,141,20.1,16.9,3.44
하준호,4.88,42,5.62,5.83,0.96,0.22,13.8,14.3,-0.5,0.28,56.1,6.05,6.48,5.34,5.3,4.88,4.7,5.46,1.17,124.97,99.93,100.8,0.239,0.356,0.296,0.652,764,18.2,18.3,4.04
김민수,5.1,33,5.49,2.61,2.1,1.22,13.1,6.2,6.8,0.369,63.6,6.1,6.97,7.26,7.36,5.1,3.62,4.58,0.99,125.98,138.83,105.45,0.34,0.384,0.489,0.873,1726,52.3,16.7,3.58
주권,5.11,77,4.76,4.11,1.16,0.77,12.6,10.9,1.7,0.225,78.5,2.7,3.21,3.81,3.72,5.11,4.2,5.2,-2.41,55.79,70.21,105.61,0.213,0.301,0.328,0.629,1144,14.9,16.3,3.89
배제성,5.29,26,5.29,4.84,1.09,0.76,13.4,12.3,1.1,0.268,74.1,3.95,4.27,4.17,4.14,5.29,4.38,5.26,-1.34,81.58,78.11,109.35,0.244,0.341,0.371,0.712,2364,90.9,16.7,3.82
유원상,5.39,62,5.2,3.94,1.32,1.13,13.7,10.3,3.3,0.223,70,3.8,4.5,4.7,4.64,5.39,4.03,5,-1.6,78.45,87.49,111.45,0.218,0.299,0.368,0.667,955,15.4,14.9,3.52
김성훈,5.63,3,9,12,0.75,0,23.1,30.8,-7.7,0.167,80,3,3,3,2.92,5.63,5.71,6.32,-2.63,61.99,55.1,116.3,0.125,0.385,0.125,0.51,55,18.3,18.3,4.23
금민철,5.84,3,7.71,3.86,2,0,13.3,6.7,6.7,0.6,55.6,15.43,15.43,18.13,17.66,5.84,5.95,4.6,9.59,318.8,332.99,120.63,0.545,0.6,0.636,1.236,55,18.3,23.6,3.67
이대은,5.92,20,4.6,3.99,1.15,1.23,10.6,9.2,1.4,0.308,64.6,5.83,7.06,6.69,6.5,5.92,4.42,5.23,-0.1,120.46,122.64,122.42,0.298,0.383,0.446,0.829,514,25.7,17.5,3.62
이상화,6.07,18,4.2,6,0.7,1.2,10.8,15.4,-4.6,0.2,66.7,5.4,5.4,4.68,4.55,6.07,4.62,5.95,-0.67,111.58,85.81,125.39,0.204,0.328,0.352,0.68,232,12.9,15.5,3.57
조병욱,6.24,9,3.49,4.13,0.85,1.27,8.4,9.9,-1.5,0.343,61.7,7.62,7.62,7.58,7.63,6.24,4.7,5.58,1.39,157.52,143.96,128.86,0.333,0.405,0.47,0.875,497,55.2,17.5,3.79
김민,6.26,24,6.75,6.12,1.1,1.27,15.5,14,1.4,0.296,62.5,6.54,7.38,7.53,7.65,6.26,4.68,5.23,0.28,135.12,144.31,129.43,0.271,0.386,0.4,0.786,772,32.2,18.1,3.73
손동현,6.97,23,5.31,4.43,1.2,2.21,13.2,11,2.2,0.258,70.8,5.31,6.2,6.11,5.98,6.97,4.19,5.14,-1.66,109.75,112.69,144.03,0.266,0.348,0.519,0.867,342,14.9,16.8,3.76
이강준,9.15,4,4.77,7.94,0.6,1.59,9.1,15.2,-6.1,0.4,81.3,6.35,6.35,10.72,10.77,9.15,7.21,6.13,-2.8,131.27,203.13,189.03,0.391,0.531,0.652,1.183,109,27.3,19.2,3.3
이선우,10.25,2,4.5,4.5,1,4.5,7.7,7.7,0,0.5,66.7,13.5,13.5,18.9,18.41,10.25,4.45,5.4,3.25,278.95,347.16,211.69,0.5,0.538,0.833,1.371,50,25,25,3.85
안현준,22.6,1,0,54,0,0,0,40,-40,0.667,0,108,99.99,75.6,73.64,22.6,22.79,10.2,85.4,2231.59,1388.64,466.88,0.667,0.8,0.667,1.467,31,31,93,6.2
박세진,22.6,1,0,27,0,0,0,20,-20,0.667,0,108,99.99,108,105.2,22.6,22.79,7.8,85.4,2231.59,1983.78,466.88,0.667,0.8,0.667,1.467,13,13,39,2.6
한승지,6204,1,,,0,,0,16.7,-16.7,1,33.3,99.99,99.99,113.23,130.6,6204,6331.4,7.4,-6104.01,2066.08,2462.6,128192,1,1,1.25,2.25,27,27,,4.5
