name,G,GS,IP,ERA,W,L,QS,QS%,QS+,QS+%,QH,TL,CW,RS,RS9,start W,start L,W%,start BW,start BL,start BQ,start BQS,start BQS%,IP/GS,P/GS,AGS,starter waa,starter war
데스파이네,35,34,207,4.26,15,8,18,52.9,8,23.5,3,0,0,137,6,21,13,61.8,0,0,13,2,15.4,6.09,103.24,49.29,2.24,5.92
쿠에바스,27,27,158,4.1,10,8,14,51.9,7,25.9,4,0,0,108,6.2,13,14,48.1,0,0,14,5,35.7,5.85,93.26,51.19,1.57,4.38
배제성,26,26,141.1,3.95,10,7,10,38.5,4,15.4,9,0,0,83,5.3,15,11,57.7,0,0,14,3,21.4,5.44,90.92,49.5,1.76,4.27
소형준,26,24,130.2,3.86,13,6,10,41.7,1,4.2,10,0,0,106,7.3,15,8,65.2,0,0,10,3,30,5.44,88.67,49.79,1.67,3.99
김민수,33,18,89.1,5.44,3,6,3,16.7,0,0,8,0,0,62,6.2,8,10,44.4,0,0,16,6,37.5,4.96,81.39,42.39,-0.6,0.99
이대은,20,4,10,4.5,0,0,0,0,0,0,4,0,0,11,9.9,4,0,100,0,0,9,5,55.6,2.5,52.75,47,0.04,0.22
조병욱,9,4,17.2,6.62,0,1,0,0,0,0,3,0,0,11,5.6,2,2,50,0,0,2,1,50,4.42,75,40.25,-0.14,0.17
하준호,42,1,1.2,10.8,0,0,0,0,0,0,1,0,0,19,100,1,0,100,0,0,24,14,58.3,1.67,31,47,0.01,0.04
김민,24,6,24.1,9.62,2,3,1,16.7,0,0,2,0,0,42,15.5,2,4,33.3,0,0,12,5,41.7,4.06,81,34.83,-1.01,-0.57
이보근,49,0,0,,0,0,0,,0,,0,0,0,24,,0,0,,0,0,15,5,33.3,,,,,
조현우,54,0,0,,0,0,0,,0,,0,0,0,31,,0,0,,0,0,25,5,20,,,,,
김재윤,56,0,0,,0,0,0,,0,,0,0,0,24,,0,0,,0,0,5,1,20,,,,,
이선우,2,0,0,,0,0,0,,0,,0,0,0,0,,0,0,,0,0,1,0,0,,,,,
전유수,47,0,0,,0,0,0,,0,,0,0,0,24,,0,0,,0,0,21,10,47.6,,,,,
주권,77,0,0,,0,0,0,,0,,0,0,0,45,,0,0,,0,0,26,7,26.9,,,,,
한승지,1,0,0,,0,0,0,,0,,0,0,0,0,,0,0,,0,0,2,0,0,,,,,
손동현,23,0,0,,0,0,0,,0,,0,0,0,10,,0,0,,0,0,9,3,33.3,,,,,
이강준,4,0,0,,0,0,0,,0,,0,0,0,4,,0,0,,0,0,5,0,0,,,,,
유원상,62,0,0,,0,0,0,,0,,0,0,0,46,,0,0,,0,0,20,7,35,,,,,
김성훈,3,0,0,,0,0,0,,0,,0,0,0,1,,0,0,,0,0,0,0,,,,,,
금민철,3,0,0,,0,0,0,,0,,0,0,0,0,,0,0,,0,0,2,0,0,,,,,
안현준,1,0,0,,0,0,0,,0,,0,0,0,0,,0,0,,0,0,2,2,100,,,,,
류희운,7,0,0,,0,0,0,,0,,0,0,0,3,,0,0,,0,0,3,3,100,,,,,
이상동,5,0,0,,0,0,0,,0,,0,0,0,1,,0,0,,0,0,0,0,,,,,,
이상화,18,0,0,,0,0,0,,0,,0,0,0,18,,0,0,,0,0,6,2,33.3,,,,,
이창재,10,0,0,,0,0,0,,0,,0,0,0,3,,0,0,,0,0,5,2,40,,,,,
박세진,1,0,0,,0,0,0,,0,,0,0,0,0,,0,0,,0,0,2,2,100,,,,,
