Name,War,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,Rra,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,wild pitch,ERA,RA9,rRA9,rRA9pf,FIP,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,BABIP,LOB,xFIP,kwERA,ERA-FIP,ERA-,rRA9-,FIP-,AVG,OBP,SLG,OPS,NP,P/G,P/IP,P/PA,QS,QS%,QS+,QS+%,QH,TL,CW,RS,RS9,start W,start L,W%,start BW,start BL,strat BQ,start BQS,start BQS%,IP/GS,P/GS,AGS,starter waa,starter war,2time,3time,plus 1,SV,HD_1,BLSV,BLHD,BL+,save%,TS,TH,TBS,TBH,SD,MD,IR,IRS,IRS%,BQ,BQS,BQS%,IP/GR,P/GR,gmLI,closer war,BABIP_2,BIP,GB%,ifFB%,ofFB%,FB%,LD%,GB/FB,HR/FB%,if1B%,PFR,PF1,PF2,PF3,PFH,PFslg
고영표,6.26,26,25,1,1,1,1,11,6,0,1,166.2,54,59,58.65,664,147,20,2,9,27,14,1,130,5,0,1,2.92,3.19,3.17,3.15,3.22,1.04,7.02,1.46,4.81,0.49,19.6,4.1,15.5,0.286,73.7,2.64,3.54,-0.31,63.77,62.5,70.46,0.238,0.284,0.321,0.605,2411,92.7,14.5,3.63,21,84,10,40,0,0,0,106,5.8,14,9,60.9,0,0,6,1,16.7,6.55,94.76,58.32,3.27,6.18,0,0,1,0,1,0,0,0,100,0,0,0,0,13,6,0,0,,6,1,16.7,3,42,0.18,0.08,0.286,482,58,2.6,35.3,37.9,4.1,1.5,4.8,9.5,,,,,,
데스파이네,5.95,33,33,0,0,0,0,13,10,0,0,188.2,71,81,79.8,819,175,30,3,10,78,7,0,165,11,0,15,3.39,3.86,3.81,3.68,3.61,1.34,7.87,3.72,2.12,0.48,20.1,9.5,10.6,0.301,72.8,3.05,4.13,-0.22,74.07,72.97,78.9,0.243,0.322,0.335,0.657,3405,103.2,18,4.16,21,63.6,7,21.2,4,0,0,113,5.4,18,13,58.1,0,0,19,3,15.8,5.72,103.18,53.42,2.6,5.95,0,0,0,0,0,0,0,0,,0,0,0,0,16,11,0,0,,19,3,15.8,,,,,0.301,548,52.9,3.2,39.5,42.7,4.4,1.2,4.1,4.6,,,,,,
배제성,3.91,26,26,0,0,0,0,9,10,0,0,141.2,58,67,64.1,621,126,27,1,6,82,1,1,136,12,0,9,3.68,4.26,4.07,4.02,3.69,1.47,8.64,5.21,1.66,0.38,21.9,13.2,8.7,0.306,70.6,3.27,4.36,0,80.58,79.88,80.63,0.239,0.339,0.328,0.667,2436,93.7,17.2,3.92,12,46.2,3,11.5,10,0,0,80,5.1,12,12,50,0,0,13,6,46.2,5.45,93.69,51.96,1.39,3.91,0,0,0,0,0,0,0,0,,0,0,0,0,11,11,0,0,,13,6,46.2,,,,,0.306,392,46.3,5.5,47,52.5,1.2,0.9,2.8,7.1,,,,,,
쿠에바스,2.91,23,23,0,1,1,1,9,5,0,0,133.1,61,68,67.5,580,131,21,3,11,51,3,0,137,10,0,6,4.12,4.59,4.56,4.55,3.44,1.37,9.25,3.44,2.69,0.74,23.6,8.8,14.8,0.323,68.8,2.55,3.62,0.68,90.05,90.39,75.13,0.254,0.322,0.37,0.692,2191,95.3,16.4,3.78,11,47.8,5,21.7,4,0,0,76,5.1,12,10,54.5,0,0,13,1,7.7,5.8,95.26,51.91,0.54,2.91,0,0,0,0,0,0,0,0,,0,0,0,0,11,9,0,0,,13,1,7.7,,,,,0.323,372,40.9,6.9,49.9,56.8,2.3,0.7,5,7.6,,,,,,
김재윤,2.69,65,0,65,60,0,0,4,3,32,0,67,18,19,23.95,275,57,8,0,5,24,0,4,64,1,0,2,2.42,2.55,3.22,3.08,3.24,1.21,8.6,3.22,2.67,0.67,23.3,8.7,14.5,0.287,83.8,2.45,3.65,-0.82,52.88,61.23,70.82,0.232,0.296,0.325,0.621,1071,16.5,16,3.89,0,,0,,0,0,0,16,,0,0,,0,0,2,0,0,,,,,,16,1,13,32,0,5,0,5,86.5,3,0,2,0,25,9,29,10,34.5,2,0,0,1.03,16.48,1.63,2.69,0.287,181,35.3,5.9,57.2,63.1,1.6,0.6,4.2,1.8,,,,,,
소형준,2.43,24,24,0,0,0,0,7,7,0,0,119,55,67,63.15,521,123,17,0,6,51,4,1,85,11,0,5,4.16,5.07,4.78,4.69,4.01,1.46,6.43,3.86,1.67,0.45,16.3,9.8,6.5,0.314,65.3,3.48,4.62,0.15,90.97,93.03,87.78,0.268,0.343,0.344,0.687,2097,87.4,17.6,4.03,8,33.3,4,16.7,9,0,0,77,5.8,14,10,58.3,0,0,14,6,42.9,4.96,87.38,48.38,0.32,2.43,0,0,0,0,0,0,0,0,,0,0,0,0,10,10,0,0,,14,6,42.9,,,,,0.314,373,59.8,2.6,34.9,37.5,2.6,1.6,4.2,9.8,,,,,,
주권,1.59,62,0,62,2,0,0,3,4,0,27,49,18,19,20.35,208,48,7,1,3,19,1,2,19,0,0,1,3.31,3.49,3.74,3.61,4.66,1.37,3.49,3.49,1,0.55,9.1,9.1,0,0.28,76.6,4.04,5.4,-1.36,72.3,71.65,102.02,0.264,0.335,0.363,0.698,733,11.8,15,3.52,0,,0,,0,0,0,39,,0,0,,0,0,24,7,29.2,,,,,,16,3,4,0,27,4,0,4,87.1,0,4,1,0,21,11,29,10,34.5,24,7,29.2,0.79,11.82,1.59,1.59,0.28,161,46.7,4.1,46.7,50.9,2.4,0.9,3.5,8.3,,,,,,
엄상백,1.56,10,9,1,0,0,0,4,1,0,0,52.2,24,24,23.15,228,41,10,0,7,28,3,0,45,4,0,0,4.1,4.1,3.96,3.8,5.04,1.31,7.69,4.79,1.61,1.2,19.7,12.3,7.5,0.236,77.4,3.56,4.51,-0.94,89.69,75.53,110.16,0.21,0.317,0.369,0.686,911,91.1,17.3,4,3,33.3,0,0,4,0,0,36,7,5,2,71.4,0,0,4,3,75,5.11,91.11,49.89,0.39,1.21,0,0,1,0,0,0,0,0,,0,0,0,0,4,3,2,2,100,4,3,75,6.67,91,1,0.35,0.236,144,34.9,5.3,57.9,63.2,2,0.6,7.3,0,,,,,,
심재민,1.4,28,2,26,9,0,0,0,1,0,1,46.2,15,15,16.4,189,41,4,0,4,11,0,1,35,2,0,0,2.89,2.89,3.16,3.08,3.58,1.11,6.75,2.12,3.18,0.77,18.5,5.8,12.7,0.268,80.4,2.64,3.88,-0.68,63.27,61.19,78.21,0.234,0.277,0.326,0.603,744,26.6,15.9,3.94,0,0,0,0,2,0,0,12,12.5,1,1,50,0,0,7,3,42.9,4.33,75,51,0.19,0.35,4,1,7,0,1,0,0,0,100,0,0,0,0,1,4,9,5,55.6,7,3,42.9,1.46,22.85,0.42,1.05,0.268,138,45.5,2.1,48.3,50.3,4.2,0.9,5.6,9.8,,,,,,
박시영,1.37,48,0,48,8,0,0,3,3,0,12,45,12,16,17.1,180,30,2,0,4,15,1,2,51,4,0,5,2.4,3.2,3.42,3.37,3.02,1,10.2,3,3.4,0.8,28.3,8.3,20,0.241,75,2.02,3,-0.62,52.49,66.82,66.15,0.189,0.257,0.277,0.534,683,14.2,15.2,3.79,0,,0,,0,0,0,24,,0,0,,0,0,17,5,29.4,,,,,,11,1,9,0,12,2,1,3,80,0,1,0,1,13,7,19,6,31.6,17,5,29.4,0.94,14.23,0.97,1.37,0.241,108,54.9,2.7,34.5,37.2,8,1.5,9.5,20,,,,,,
