Name,BABIP,BIP,GB%,ifFB%,ofFB%,FB%,LD%,GB/FB,HR/FB%,if1B%
고영표,0.314,555,54.4,3.7,38.1,41.8,3.7,1.3,3,11
벤자민,0.301,459,48,5,43.8,48.9,3.1,1,5.1,11.4
배제성,0.326,423,47,3.9,46.6,50.5,2.5,0.9,2.7,5.6
쿠에바스,0.28,325,40.7,4.2,51.5,55.7,3.6,0.7,2.2,5.3
엄상백,0.29,324,43.7,7.5,44.6,52.1,4.2,0.8,3.4,6
손동현,0.28,225,41.4,8.4,48.5,56.9,1.7,0.7,3.7,4.4
박영현,0.309,194,38.7,10.8,48.5,59.3,2,0.7,2.5,7.9
김재윤,0.292,178,39.4,7.4,46.3,53.7,6.9,0.7,2,5.6
슐서,0.375,160,40.1,6.4,51.2,57.6,2.3,0.7,6.1,1.5
주권,0.285,158,48.5,3,46.1,49.1,2.4,1,4.9,2
조이현,0.411,141,37.9,4.1,55.9,60,2.1,0.6,3.4,4.9
이선우,0.331,127,51.5,1.5,43.2,44.7,3.8,1.2,8.5,4.3
이상동,0.36,114,38.8,8.3,52.1,60.3,0.8,0.6,5.5,4.4
김민,0.374,99,51.5,3.9,42.7,46.6,1.9,1.1,6.3,2.5
김영현,0.296,88,50,4.3,43.6,47.9,2.1,1,8.9,3.3
이채호,0.241,83,41.1,3.3,53.3,56.7,2.2,0.7,11.8,11.5
소형준,0.447,47,53.1,6.1,40.8,46.9,0,1.1,4.3,4.5
김민수,0.356,45,34.7,10.2,53.1,63.3,2,0.5,3.2,11.8
박세진,0.342,41,57.1,2.4,35.7,38.1,4.8,1.5,6.3,20
하준호,0.35,40,54.5,2.3,38.6,40.9,4.5,1.3,0,21.4
김태오,0.357,28,53.6,3.6,39.3,42.9,3.6,1.3,0,0
전용주,0.222,27,59.3,7.4,33.3,40.7,0,1.5,0,0
김정운,0.25,24,45.8,0,54.2,54.2,0,0.8,0,0
강건,0.25,16,52.9,0,47.1,47.1,0,1.1,0,0
조현우,0.429,14,42.9,7.1,42.9,50,7.1,0.9,0,16.7
심재민,0.615,13,69.2,0,30.8,30.8,0,2.3,0,37.5
