Name,War,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,Rra,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,wild pitch,ERA,RA9,rRA9,rRA9pf,FIP,WHIP
고영표,6.77,28,27,1,1,0,0,12,7,0,0,174.2,54,57,57.35,706,181,27,5,7,19,9,1,114,6,0,6,2.78,2.94,2.96,2.91,3.19,1.15
쿠에바스,5.19,18,18,0,0,0,0,12,0,0,0,114.1,33,33,31.65,460,95,10,2,4,24,2,1,100,2,0,5,2.6,2.6,2.49,2.39,2.78,1.04
벤자민,3.66,29,29,0,0,0,0,15,6,0,0,160,63,79,76.95,684,149,23,1,12,45,3,1,157,13,0,11,3.54,4.44,4.33,4.23,3.14,1.21
엄상백,3.48,20,19,1,0,0,0,7,6,0,0,111.2,45,46,45.15,454,100,16,4,6,29,2,0,89,2,0,1,3.63,3.71,3.64,3.5,3.36,1.16
김재윤,2.8,59,0,59,47,0,0,5,5,32,0,65.2,19,21,21.85,262,54,5,2,2,13,1,5,60,4,0,3,2.6,2.88,2.99,2.77,2.4,1.02
박영현,2.69,68,0,68,11,0,0,3,3,4,32,75.1,23,25,27.7,308,63,11,2,3,23,2,4,79,2,2,1,2.75,2.99,3.31,3.15,2.65,1.14
배제성,2.66,26,24,2,0,0,0,8,10,0,0,130.1,65,72,67.55,596,144,20,1,6,77,2,0,79,6,1,9,4.49,4.97,4.66,4.46,4.76,1.7
손동현,2.07,64,0,64,11,0,0,8,5,1,15,73.2,28,31,30.4,301,68,11,0,5,20,2,1,40,3,0,2,3.42,3.79,3.71,3.6,4.23,1.19
이상동,0.83,36,0,36,9,0,0,4,1,0,1,40.2,18,19,18.65,179,45,10,0,4,15,0,2,43,1,0,1,3.98,4.2,4.13,3.94,3.44,1.48
슐서,0.47,9,9,0,0,0,0,1,7,0,0,49.2,31,32,31,221,66,9,1,6,14,0,1,35,1,0,2,5.62,5.8,5.62,5.55,4.34,1.61
주권,0.41,42,3,39,8,0,0,1,2,0,5,47,23,23,28.05,205,49,7,1,4,19,2,2,17,2,0,0,4.4,4.4,5.37,5.19,5.28,1.45
이선우,0.35,22,4,18,8,0,0,0,2,0,0,37.1,18,20,21.75,169,47,6,0,5,9,4,0,24,2,0,0,4.34,4.82,5.24,5,4.92,1.5
전용주,0.34,15,0,15,4,0,0,0,1,0,1,10.1,5,5,3.15,43,6,4,0,0,6,1,0,9,0,0,4,4.35,4.35,2.74,2.74,3.77,1.16
김영현,0.3,31,0,31,7,0,0,0,0,1,1,33,20,22,20.3,150,30,7,0,4,20,1,1,35,1,0,2,5.45,6,5.54,5.18,4.61,1.52
강건,0.22,4,0,4,3,0,0,0,0,1,0,6.2,1,1,1.7,28,4,2,0,0,3,0,0,8,1,0,1,1.35,1.35,2.3,2.1,2.24,1.05
박세진,0.06,16,0,16,3,0,0,0,1,0,1,11.2,5,8,7.65,66,15,2,0,1,14,0,0,10,3,0,2,3.86,6.17,5.9,5.52,6.45,2.49
하준호,0.04,12,0,12,5,0,0,0,1,0,0,13,6,9,9,65,14,1,0,0,10,5,2,6,1,0,4,4.15,6.23,6.23,6.01,6.27,1.85
김정운,0.03,5,0,5,4,0,0,0,0,0,0,7,3,4,5.2,35,6,2,0,0,6,2,0,3,1,0,0,3.86,5.14,6.69,6.13,6.32,1.71
조현우,0.02,5,0,5,1,0,0,0,0,0,0,3,2,2,2,17,6,1,0,0,2,0,0,1,0,0,1,6,6,6,5.69,5.08,2.67
이채호,-0.05,25,0,25,5,0,0,0,1,0,1,24.2,19,19,18.5,110,26,6,0,6,9,3,0,8,1,0,1,6.93,6.93,6.75,6.47,7.44,1.42
김민수,-0.11,14,0,14,5,0,0,0,1,0,3,13,10,10,9.8,58,17,5,2,1,5,0,0,4,0,0,0,6.92,6.92,6.78,6.59,5.19,1.69
심재민,-0.14,4,0,4,1,0,0,0,0,0,0,2,5,5,3.4,16,8,1,0,0,2,0,0,1,0,0,0,22.5,22.5,15.3,14.03,5.7,5
김민,-0.17,16,4,12,5,0,0,1,2,0,0,29,22,26,24.3,145,40,6,0,3,16,4,0,22,3,0,4,6.83,8.07,7.54,7.27,5.32,1.93
김태오,-0.22,5,0,5,2,0,0,0,0,0,0,7.1,6,6,8.05,35,10,3,0,0,4,0,1,3,1,0,0,7.36,7.36,9.88,10.19,4.09,1.91
소형준,-0.23,3,3,0,0,0,0,0,0,0,0,11,14,14,12.95,59,22,4,0,1,3,3,0,4,2,0,2,11.45,11.45,10.6,9.75,5.71,2.27
조이현,-0.43,18,4,14,4,0,0,2,1,0,1,35,26,27,31.95,170,61,14,1,3,6,2,0,17,1,1,1,6.69,6.94,8.22,7.95,4.36,1.91
