Name,War,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,Rra,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,wild pitch,ERA,RA9,rRA9,rRA9pf,FIP,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,BABIP,LOB,xFIP,kwERA,ERA-FIP,ERA-,rRA9-,FIP-,AVG,OBP,SLG,OPS,NP,P/G,P/IP,P/PA,QS,QS%,QS+,QS+%,QH,TL,CW,RS,RS9,start W,start L,W%,start BW,start BL,strat BQ,start BQS,start BQS%,IP/GS,P/GS,AGS,starter waa,starter war,2time,3time,plus 1,SV,HD,BLSV,BLHD,BL+,save%,TS,TH,TBS,TBH,SD,MD,IR,IRS,IRS%,BQ,BQS,BQS%,IP/GR,P/GR,gmLI,closer war,BABIP,BIP,GB%,ifFB%,ofFB%,FB%,LD%,GB/FB,HR/FB%,if1B%,PFR,PF1,PF2,PF3,PFH,PFslg
고영표,6.77,28,27,1,1,0,0,12,7,0,0,174.2,54,57,57.35,706,181,27,5,7,19,9,1,114,6,0,6,2.78,2.94,2.96,2.91,3.19,1.15,5.87,0.98,6,0.36,16.1,2.7,13.5,0.314,76.4,2.77,3.79,-0.41,64.04,59.77,73.46,0.269,0.297,0.355,0.652,2453,87.6,14,3.47,21,77.8,17,63,2,0,0,80,4.1,16,10,61.5,2,0,4,0,0,6.44,90.56,56.15,3.66,6.76,0,0,0,0,0,0,0,0,,0,0,0,0,19,7,2,1,50,4,0,0,0.67,8,4.04,0.02,0.314,555,54.4,3.7,38.1,41.8,3.7,1.3,3,11,1091,1047,1033,813,1003,1021
쿠에바스,5.19,18,18,0,0,0,0,12,0,0,0,114.1,33,33,31.65,460,95,10,2,4,24,2,1,100,2,0,5,2.6,2.6,2.49,2.39,2.78,1.04,7.87,1.89,4.17,0.32,21.7,5.2,16.5,0.28,76.5,2.44,3.42,-0.19,59.79,49.15,64.08,0.224,0.266,0.285,0.551,1666,92.6,14.6,3.62,14,77.8,10,55.6,1,0,0,74,5.8,14,4,77.8,1,1,7,3,42.9,6.35,92.56,60.06,3.16,5.19,0,0,0,0,0,0,0,0,,0,0,0,0,11,3,0,0,,7,3,42.9,,,,,0.28,325,40.7,4.2,51.5,55.7,3.6,0.7,2.2,5.3,1091,1047,1033,813,1003,1021
벤자민,3.66,29,29,0,0,0,0,15,6,0,0,160,63,79,76.95,684,149,23,1,12,45,3,1,157,13,0,11,3.54,4.44,4.33,4.23,3.14,1.21,8.83,2.53,3.49,0.68,23,6.6,16.4,0.298,65.6,2.39,3.44,0.4,81.57,87.05,72.37,0.24,0.292,0.338,0.63,2636,90.9,16.5,3.85,11,37.9,5,17.2,10,0,2,122,6.9,20,8,71.4,0,2,11,4,36.4,5.52,90.9,53.38,0.81,3.66,0,0,0,0,0,0,0,0,,0,0,0,0,15,11,0,0,,11,4,36.4,,,,,0.301,459,48,5,43.8,48.9,3.1,1,5.1,11.4,1091,1047,1033,813,1003,1021
엄상백,3.48,20,19,1,0,0,0,7,6,0,0,111.2,45,46,45.15,454,100,16,4,6,29,2,0,89,2,0,1,3.63,3.71,3.64,3.5,3.36,1.16,7.17,2.34,3.07,0.48,19.6,6.4,13.2,0.29,69.1,2.79,3.81,0.27,83.48,72.04,77.26,0.241,0.291,0.342,0.633,1790,89.5,16,3.94,9,47.4,4,21.1,4,1,1,56,4.6,9,10,47.4,1,0,6,2,33.3,5.81,93.42,54,1.44,3.4,0,0,1,0,0,0,0,0,,0,0,0,0,11,8,0,0,,6,2,33.3,1.33,15,0.6,0.07,0.29,324,43.7,7.5,44.6,52.1,4.2,0.8,3.4,6,1091,1047,1033,813,1003,1021
김재윤,2.8,59,0,59,47,0,0,5,5,32,0,65.2,19,21,21.85,262,54,5,2,2,13,1,5,60,4,0,3,2.6,2.88,2.99,2.77,2.4,1.02,8.22,1.78,4.62,0.27,22.9,5,17.9,0.292,72.3,2.11,3.25,0.2,59.94,57.04,55.23,0.227,0.268,0.29,0.558,1005,17,15.3,3.84,0,,0,,0,0,0,11,,0,0,,0,0,7,4,57.1,,,,,,18,3,14,32,0,4,0,4,88.9,2,0,1,0,28,8,15,6,40,7,4,57.1,1.11,17.03,1.69,2.8,0.292,178,39.4,7.4,46.3,53.7,6.9,0.7,2,5.6,1091,1047,1033,813,1003,1021
박영현,2.69,68,0,68,11,0,0,3,3,4,32,75.1,23,25,27.7,308,63,11,2,3,23,2,4,79,2,2,1,2.75,2.99,3.31,3.15,2.65,1.14,9.44,2.75,3.43,0.36,25.6,7.5,18.2,0.309,75,2.25,3.22,0.1,63.25,64.68,60.95,0.23,0.292,0.318,0.61,1220,17.9,16.2,3.96,0,,0,,0,0,0,31,,0,0,,0,0,15,4,26.7,,,,,,25,7,21,4,32,6,0,6,85.7,1,4,1,0,31,12,36,9,25,15,4,26.7,1.11,17.94,1.54,2.69,0.309,194,38.7,10.8,48.5,59.3,2,0.7,2.5,7.9,1091,1047,1033,813,1003,1021
배제성,2.66,26,24,2,0,0,0,8,10,0,0,130.1,65,72,67.55,596,144,20,1,6,77,2,0,79,6,1,9,4.49,4.97,4.66,4.46,4.76,1.7,5.46,5.32,1.03,0.41,13.3,12.9,0.3,0.326,70.2,4.29,5.36,-0.27,103.31,91.74,109.58,0.289,0.38,0.369,0.749,2331,89.7,17.9,3.91,6,25,1,4.2,8,0,1,77,5.6,13,11,54.2,1,2,18,8,44.4,5.18,92.83,46.08,0.49,2.7,0,0,2,0,0,0,0,0,,0,0,0,0,9,12,2,0,0,18,8,44.4,3,51.5,0.5,-0.03,0.326,423,47,3.9,46.6,50.5,2.5,0.9,2.7,5.6,1091,1047,1033,813,1003,1021
손동현,2.07,64,0,64,11,0,0,8,5,1,15,73.2,28,31,30.4,301,68,11,0,5,20,2,1,40,3,0,2,3.42,3.79,3.71,3.6,4.23,1.19,4.89,2.44,2,0.61,13.3,6.6,6.6,0.28,71.1,3.5,4.6,-0.8,78.74,73.95,97.26,0.256,0.308,0.353,0.661,1100,17.2,14.9,3.65,0,,0,,0,0,0,32,,0,0,,0,0,25,12,48,,,,,,15,3,21,1,15,4,0,4,80,0,0,1,0,20,14,33,12,36.4,25,12,48,1.15,17.19,1.34,2.07,0.28,225,41.4,8.4,48.5,56.9,1.7,0.7,3.7,4.4,1091,1047,1033,813,1003,1021
이상동,0.83,36,0,36,9,0,0,4,1,0,1,40.2,18,19,18.65,179,45,10,0,4,15,0,2,43,1,0,1,3.98,4.2,4.13,3.94,3.44,1.48,9.52,3.32,2.87,0.89,24,8.4,15.6,0.36,75.9,2.35,3.52,0.54,91.69,81.01,79.26,0.28,0.341,0.416,0.757,672,18.7,16.5,3.75,0,,0,,0,0,0,32,,0,0,,0,0,11,3,27.3,,,,,,9,1,12,0,1,0,1,1,50,0,0,0,1,4,3,21,2,9.5,11,3,27.3,1.13,18.67,0.67,0.83,0.36,114,38.8,8.3,52.1,60.3,0.8,0.6,5.5,4.4,1091,1047,1033,813,1003,1021
슐서,0.47,9,9,0,0,0,0,1,7,0,0,49.2,31,32,31,221,66,9,1,6,14,0,1,35,1,0,2,5.62,5.8,5.62,5.55,4.34,1.61,6.34,2.54,2.5,1.09,15.8,6.3,9.5,0.375,66.7,2.99,4.26,1.28,129.3,114.01,99.82,0.333,0.372,0.48,0.852,815,90.6,16.4,3.69,3,33.3,1,11.1,1,0,0,15,2.7,1,8,11.1,0,0,2,2,100,5.52,90.56,43.33,-0.42,0.47,0,0,0,0,0,0,0,0,,0,0,0,0,3,6,0,0,,2,2,100,,,,,0.375,160,40.1,6.4,51.2,57.6,2.3,0.7,6.1,1.5,1091,1047,1033,813,1003,1021
