Name,War,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,Rra,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,wild pitch,ERA,RA9,rRA9,rRA9pf,FIP,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,BABIP,LOB,xFIP,kwERA,ERA-FIP,ERA-,rRA9-,FIP-,AVG,OBP,SLG,OPS,NP,P/G,P/IP,P/PA,QS,QS%,QS+,QS+%,QH,TL,CW,RS,RS9,start W,start L,W%,start BW,start BL,strat BQ,start BQS,start BQS%,IP/GS,P/GS,AGS,starter waa,starter war,2time,3time,plus 1,SV,HD,BLSV,BLHD,BL+,save%,TS,TH,TBS,TBH,SD,MD,IR,IRS,IRS%,BQ,BQS,BQS%,IP/GR,P/GR,gmLI,closer war,BABIP,BIP,GB%,ifFB%,ofFB%,FB%,LD%,GB/FB,HR/FB%,if1B%
쿠에바스,5.06,31,31,0,0,0,0,7,12,0,0,173.1,79,86,86,737,158,36,3,17,59,7,4,154,11,1,11,4.1,4.47,4.47,4.34,4.25,1.25,8,3.06,2.61,0.88,20.9,8,12.9,0.285,69,3.2,3.85,-0.15,81.28,78.01,85.66,0.24,0.306,0.381,0.687,2856,92.1,16.5,3.88,19,61.3,7,22.6,2,0,0,103,5.3,14,16,46.7,0,0,5,0,0,5.59,92.13,52.55,5.06,1.98,0,0,0,0,0,0,0,0,,0,0,0,0,14,15,0,0,,5,0,0,,,,,0.285,495,41.2,7.9,48,55.9,2.9,0.7,5.9,4.4
엄상백,3.93,29,29,0,0,0,0,13,10,0,0,156.2,85,88,85.4,675,164,26,3,26,42,7,0,159,3,0,2,4.88,5.06,4.91,4.74,4.61,1.31,9.13,2.41,3.79,1.49,23.6,6.2,17.3,0.317,70.6,2.75,3.32,0.28,96.75,85.15,92.76,0.266,0.318,0.445,0.763,2716,93.7,17.3,4.02,9,31,2,6.9,10,0,0,96,5.5,18,11,62.1,0,0,9,4,44.4,5.4,93.66,49.69,3.93,1.14,0,0,0,0,0,0,0,0,,0,0,0,0,11,12,0,0,,9,4,44.4,,,,,0.317,436,36.6,7.5,52.7,60.2,3.2,0.6,9.3,5.5
벤자민,3.19,28,28,0,0,0,0,11,8,0,0,149.2,77,90,86.65,639,141,25,4,28,48,4,2,156,12,0,4,4.63,5.41,5.21,5.11,4.88,1.26,9.38,2.89,3.25,1.68,24.4,7.5,16.9,0.285,66.9,2.75,3.37,-0.25,91.74,91.72,98.18,0.244,0.305,0.447,0.752,2507,89.5,16.8,3.92,10,35.7,5,17.9,7,0,0,105,6.3,16,12,57.1,0,0,17,6,35.3,5.35,89.54,50.82,3.19,0.53,0,0,0,0,0,0,0,0,,0,0,0,0,12,13,0,0,,17,6,35.3,,,,,0.285,397,45.5,3.9,47.1,51,3.5,0.9,12.7,7.8
박영현,2.72,66,0,66,52,0,0,10,2,25,0,76.2,30,31,32.85,310,63,7,1,12,22,0,2,87,3,0,1,3.52,3.64,3.86,3.82,4.07,1.11,10.21,2.58,3.95,1.41,28.1,7.1,21,0.271,79.4,2.32,2.88,-0.55,69.78,68.67,82.03,0.22,0.275,0.378,0.653,1222,18.5,15.9,3.94,0,,0,,0,0,0,36,,0,0,,0,0,9,6,66.7,,,,,,18,1,25,25,0,5,0,5,83.3,3,0,2,0,28,9,38,11,28.9,9,6,66.7,1.16,18.52,1.65,2.72,0.271,188,34.8,7.5,53.7,61.2,4,0.6,9.8,6.3
김민,2.1,71,1,70,5,0,0,8,4,0,21,77.1,37,38,36.45,336,84,13,0,5,27,2,3,77,3,0,5,4.31,4.42,4.24,4.2,3.6,1.44,8.96,3.14,2.85,0.58,22.9,8,14.9,0.358,70.8,2.89,3.61,0.7,85.32,75.5,72.53,0.277,0.34,0.37,0.71,1205,17,15.6,3.59,0,0,0,0,0,0,0,54,100,0,1,0,0,0,33,12,36.4,1,57,17,-0.37,-0.38,18,2,22,0,21,4,0,4,84,0,4,0,0,23,13,31,8,25.8,33,12,36.4,1.09,16.4,1.11,2.47,0.358,221,66.5,3,27,30,3.5,2.2,7.2,13.1
고영표,1.86,18,17,1,0,0,0,6,8,0,0,100,55,61,59.8,456,141,27,4,6,14,11,0,79,4,1,2,4.95,5.49,5.38,5.31,3.71,1.55,7.11,1.26,5.64,0.54,17.3,3.1,14.3,0.394,66.5,3.11,3.69,1.24,98.08,95.42,74.77,0.333,0.366,0.459,0.825,1591,88.4,15.9,3.49,9,52.9,2,11.8,1,0,0,62,5.9,8,8,50,0,0,10,3,30,5.59,90.76,43.41,1.62,-0.07,0,0,1,0,0,0,0,0,,0,0,0,0,7,8,2,0,0,10,3,30,5,48,0.44,0.24,0.394,343,48.3,1.7,46.3,48,3.7,1,3.6,7.1
우규민,1.48,45,0,45,15,0,0,4,1,1,4,43.1,12,14,15.9,181,47,7,2,1,2,2,0,39,4,0,0,2.49,2.91,3.3,3.15,2.51,1.13,8.1,0.42,19.5,0.21,21.5,1.1,20.4,0.338,74,2.35,2.95,-0.02,49.38,56.56,50.54,0.272,0.283,0.353,0.636,695,15.4,16,3.84,0,,0,,0,0,0,30,,0,0,,0,0,13,5,38.5,,,,,,7,1,8,1,4,1,0,1,83.3,0,0,0,0,8,3,16,8,50,13,5,38.5,0.96,15.44,0.76,1.48,0.338,136,40.6,7.2,49.3,56.5,2.9,0.7,1.3,8.5
김민수,0.7,75,0,75,6,0,0,5,3,0,12,81.1,47,56,54.45,358,84,13,5,8,33,1,2,75,8,0,3,5.2,6.2,6.03,5.92,4.28,1.44,8.3,3.65,2.27,0.89,20.9,9.2,11.7,0.319,57.9,3.21,3.99,0.92,103.05,106.3,86.26,0.264,0.332,0.412,0.744,1350,18,16.6,3.77,0,,0,,0,0,0,47,,0,0,,0,0,26,14,53.8,,,,,,15,1,21,0,12,2,3,5,70.6,0,1,1,2,16,17,39,11,28.2,26,14,53.8,1.08,18,1.1,0.7,0.319,238,52.6,4.4,41.4,45.8,1.6,1.1,7,13.1
육청명,0.61,13,10,3,1,0,0,1,5,0,0,44.2,27,31,28.95,208,52,13,1,6,20,6,2,20,6,0,3,5.44,6.25,5.83,5.85,6.41,1.61,4.03,4.03,1,1.21,9.6,9.6,0,0.299,67.1,4.95,5.4,-0.97,107.79,105.17,129.14,0.297,0.379,0.486,0.865,766,58.9,17.1,3.68,0,0,0,0,6,0,0,26,5.5,4,6,40,0,0,6,4,66.7,4.23,72.5,42.9,0.57,-0.18,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,0,0,,6,4,66.7,0.78,13.67,0.07,0.04,0.299,154,40.7,5.6,50,55.6,3.7,0.7,6.7,1.9
조이현,0.55,16,9,7,2,0,0,1,2,0,0,40,28,29,27.4,184,53,11,1,9,10,1,1,19,1,0,1,6.3,6.53,6.17,5.93,6.46,1.58,4.28,2.25,1.9,2.03,10.3,5.4,4.9,0.308,68.6,3.94,4.81,-0.16,124.83,106.51,130.16,0.314,0.352,0.55,0.902,636,39.8,15.9,3.46,0,0,0,0,8,0,0,22,6.1,6,3,66.7,0,0,9,5,55.6,3.63,55.11,46.44,0.88,0.3,2,1,2,0,0,0,0,0,,0,0,0,0,4,5,4,2,50,9,5,55.6,1.05,20,0.71,-0.33,0.308,143,34.4,5.8,55.8,61.7,3.9,0.6,9.5,7.5
박시영,0.36,26,0,26,5,0,0,0,1,1,4,25.1,13,13,15.4,110,27,8,1,4,7,1,1,23,0,0,3,4.62,4.62,5.47,5.36,4.67,1.34,8.17,2.49,3.29,1.42,20.9,6.4,14.5,0.315,75.9,2.9,3.65,-0.05,91.51,96.27,93.93,0.27,0.324,0.49,0.814,417,16,16.5,3.79,0,,0,,0,0,0,10,,0,0,,0,0,5,1,20,,,,,,3,0,6,1,4,0,1,1,83.3,0,0,0,0,6,4,12,6,50,5,1,20,0.97,16.04,0.8,0.36,0.315,73,38,3.8,50.6,54.4,7.6,0.7,9.3,0
소형준,0.33,6,0,6,1,0,0,2,0,0,0,8.1,3,3,2.5,30,7,2,0,1,1,1,0,3,0,0,0,3.24,3.24,2.7,2.59,5.47,0.96,3.24,1.08,3,1.08,10,3.3,6.7,0.25,75,4.12,4.6,-2.23,64.2,46.51,110.17,0.25,0.3,0.429,0.729,120,20,14.4,4,0,,0,,0,0,0,10,,0,0,,0,0,1,1,100,,,,,,0,0,3,0,0,0,0,0,,0,0,0,0,2,1,0,0,,1,1,100,1.39,20,0.79,0.33,0.25,24,56,8,32,40,4,1.4,10,0
손동현,0.28,42,0,42,10,0,0,1,2,1,4,47.1,28,31,33.05,214,50,6,1,5,20,1,2,27,3,0,3,5.32,5.89,6.28,6.24,5.34,1.48,5.13,3.8,1.35,0.95,12.6,9.3,3.3,0.285,62.5,4.23,5.01,-0.02,105.49,112.09,107.53,0.267,0.336,0.39,0.726,767,18.3,16.2,3.58,0,,0,,0,0,0,24,,0,0,,0,0,15,4,26.7,,,,,,6,2,11,1,4,4,1,5,50,0,0,0,1,11,9,18,7,38.9,15,4,26.7,1.13,18.26,0.91,0.28,0.285,158,33.7,10.2,54.8,65.1,1.2,0.5,4.6,2
이선우,0.14,6,1,5,3,0,0,0,0,0,0,10,6,6,5.35,45,10,0,0,0,4,2,0,4,0,0,0,5.4,5.4,4.82,5.05,5.06,1.4,3.6,3.6,1,0,8.9,8.9,0,0.286,62.5,5.17,5.4,0.34,107,90.72,101.87,0.263,0.356,0.263,0.619,183,30.5,18.3,4.07,0,0,0,0,1,0,0,10,33.8,0,1,0,0,0,4,3,75,2.67,60,38,-0.09,-0.14,1,0,2,0,0,0,0,0,,0,0,0,0,1,1,4,3,75,4,3,75,1.47,24.6,0.5,0.23,0.286,35,51.4,2.9,45.7,48.6,0,1.1,0,10
원상현,0.04,22,10,12,3,0,0,2,5,0,1,65.1,51,54,52.8,324,105,18,2,6,31,2,0,59,3,1,7,7.03,7.44,7.27,7.3,4.6,2.08,8.13,4.27,1.9,0.83,18.2,9.6,8.6,0.44,64.6,3.6,4.36,2.43,139.2,131.15,92.63,0.37,0.427,0.511,0.938,1248,56.7,19.1,3.85,1,10,0,0,3,0,0,39,8.4,4,6,40,0,0,16,6,37.5,4.17,79.2,35,-0.25,-0.99,0,0,7,0,1,0,0,0,100,0,0,0,0,2,10,6,4,66.7,16,6,37.5,1.97,38,0.34,0.28,0.44,225,56.9,1.3,37.1,38.4,4.7,1.5,6.7,11.4
김영현,0.02,8,0,8,4,0,0,0,0,0,0,7.1,4,6,6.35,39,9,2,0,1,7,1,0,8,1,0,1,4.91,7.36,7.79,7.47,6.48,2.18,9.82,8.59,1.14,1.23,20.5,17.9,2.6,0.364,68.8,4.96,5.09,-1.57,97.27,134.26,130.41,0.29,0.436,0.452,0.888,140,17.5,19.1,3.59,0,,0,,0,0,0,5,,0,0,,0,0,3,2,66.7,,,,,,0,0,2,0,0,0,0,0,,0,0,0,0,0,0,8,3,37.5,3,2,66.7,0.92,17.5,0.09,0.02,0.364,22,47.8,13,39.1,52.2,0,0.9,8.3,22.2
이상동,0.01,29,0,29,8,0,0,0,1,0,3,32,19,20,24.45,152,42,9,0,3,14,3,1,30,0,1,4,5.34,5.63,6.88,6.95,4.62,1.75,8.44,3.94,2.14,0.84,19.7,9.2,10.5,0.386,70.9,3.64,4.14,0.73,105.88,124.89,92.99,0.328,0.391,0.469,0.86,568,19.6,17.8,3.74,0,,0,,0,0,0,12,,0,0,,0,0,7,3,42.9,,,,,,5,0,9,0,3,0,1,1,75,0,1,0,0,2,6,15,11,73.3,7,3,42.9,1.1,19.59,0.72,0.01,0.386,101,32.4,3.8,60,63.8,3.8,0.5,4.5,7.1
하준호,0,2,0,2,1,0,0,0,0,0,0,2,2,2,2,11,5,0,0,0,1,0,0,0,0,0,0,9,9,9,8.38,5.75,3,0,4.5,0,0,0,9.1,-9.1,0.5,66.7,5.88,6.49,3.25,178.33,150.58,115.77,0.5,0.545,0.5,1.045,40,20,20,3.64,0,,0,,0,0,0,1,,0,0,,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,,1,20,0.03,0,0.5,10,60,10,30,40,0,1.5,0,20
박세진,-0.09,6,0,6,3,0,0,0,0,0,0,5.1,2,4,6.2,25,7,1,0,0,4,0,0,2,1,0,0,3.38,6.75,10.46,10.37,5.59,2.06,3.38,6.75,0.5,0,8,16,-8,0.368,63.6,5.7,6.36,-2.21,66.87,186.38,112.49,0.333,0.44,0.381,0.821,107,17.8,20.1,4.28,0,,0,,0,0,0,13,,0,0,,0,0,0,0,,,,,,,1,0,1,0,0,0,0,0,,0,0,0,0,0,1,5,3,60,0,0,,0.89,17.83,0.23,-0.09,0.368,19,36.8,0,47.4,47.4,15.8,0.8,0,0
성재헌,-0.09,30,1,29,3,0,0,0,0,0,1,32,26,29,27.9,159,46,13,2,1,16,5,2,20,3,1,2,7.31,8.16,7.85,7.73,4.85,1.94,5.63,4.5,1.25,0.28,12.6,10.1,2.5,0.395,57.6,4.58,5.1,2.46,144.89,138.8,97.64,0.351,0.429,0.504,0.933,564,18.8,17.6,3.55,0,0,0,0,1,0,0,12,40.5,1,0,100,0,0,26,10,38.5,2.67,60,37,-0.05,-0.09,6,0,7,0,1,0,0,0,100,0,0,0,0,3,2,17,6,35.3,26,10,38.5,1.01,17.38,0.42,-0.05,0.395,114,50,2.5,41.5,44.1,5.9,1.1,1.9,13
이채호,-0.13,9,0,9,1,0,0,0,0,0,0,6.2,7,7,7,37,13,0,1,2,3,1,0,5,0,0,1,9.45,9.45,9.45,9.51,7.75,2.4,6.75,4.05,1.67,2.7,13.5,8.1,5.4,0.423,71.4,4.34,4.75,1.7,187.24,170.78,156.14,0.406,0.459,0.656,1.115,151,16.8,22.7,4.08,0,,0,,0,0,0,2,,0,0,,0,0,7,2,28.6,,,,,,1,0,1,0,0,0,0,0,,0,0,0,0,0,3,3,2,66.7,7,2,28.6,0.74,16.78,0.64,-0.13,0.423,26,42.9,7.1,50,57.1,0,0.8,12.5,15.4
주권,-0.18,48,1,47,13,0,0,1,1,0,0,58,43,48,49.9,254,78,14,2,7,11,3,0,31,2,0,0,6.67,7.45,7.74,7.6,5.05,1.53,4.81,1.71,2.82,1.09,12.2,4.3,7.9,0.362,53.7,3.72,4.46,1.62,132.21,136.61,101.64,0.342,0.371,0.513,0.884,919,19.1,15.8,3.62,0,0,0,0,0,0,0,25,84.4,0,1,0,0,0,11,6,54.5,2.67,57,21,-0.16,-0.2,10,1,11,0,0,2,0,2,0,0,0,1,0,2,8,21,11,52.4,11,6,54.5,1.18,18.34,0.52,-0.03,0.362,196,51.7,1,43.5,44.5,3.8,1.2,7.5,10.3
강건,-0.18,4,1,3,2,0,0,0,1,0,0,4,5,5,5.85,24,8,0,1,1,4,1,0,3,0,0,0,11.25,11.25,13.16,13.69,9.17,3,6.75,9,0.75,2.25,12.5,16.7,-4.2,0.467,66.7,6.33,5.9,2.08,222.91,246.02,184.73,0.421,0.542,0.684,1.226,99,24.8,24.8,4.13,0,0,0,0,0,0,0,8,54,0,1,0,0,0,2,0,0,1.33,44,30,-0.21,-0.23,1,0,0,0,0,0,0,0,,0,0,0,0,0,1,3,2,66.7,2,0,0,0.89,18.33,0.42,0.03,0.467,15,50,6.3,43.8,50,0,1,12.5,0
