Name,BABIP,BIP,GB%,ifFB%,ofFB%,FB%,LD%,GB/FB,HR/FB%,if1B%
소형준,0.25,24,56,8,32,40,4,1.4,10,0
박영현,0.271,188,34.8,7.5,53.7,61.2,4,0.6,9.8,6.3
벤자민,0.285,397,45.5,3.9,47.1,51,3.5,0.9,12.7,7.8
쿠에바스,0.285,495,41.2,7.9,48,55.9,2.9,0.7,5.9,4.4
손동현,0.285,158,33.7,10.2,54.8,65.1,1.2,0.5,4.6,2
이선우,0.286,35,51.4,2.9,45.7,48.6,0,1.1,0,10
육청명,0.299,154,40.7,5.6,50,55.6,3.7,0.7,6.7,1.9
조이현,0.308,143,34.4,5.8,55.8,61.7,3.9,0.6,9.5,7.5
박시영,0.315,73,38,3.8,50.6,54.4,7.6,0.7,9.3,0
엄상백,0.317,436,36.6,7.5,52.7,60.2,3.2,0.6,9.3,5.5
김민수,0.319,238,52.6,4.4,41.4,45.8,1.6,1.1,7,13.1
우규민,0.338,136,40.6,7.2,49.3,56.5,2.9,0.7,1.3,8.5
김민,0.358,221,66.5,3,27,30,3.5,2.2,7.2,13.1
주권,0.362,196,51.7,1,43.5,44.5,3.8,1.2,7.5,10.3
김영현,0.364,22,47.8,13,39.1,52.2,0,0.9,8.3,22.2
박세진,0.368,19,36.8,0,47.4,47.4,15.8,0.8,0,0
문용익,0.382,55,51.7,8.6,39.7,48.3,0,1.1,7.1,8.7
이상동,0.386,101,32.4,3.8,60,63.8,3.8,0.5,4.5,7.1
한차현,0.391,64,41.2,4.4,50,54.4,4.4,0.8,10.8,0
고영표,0.394,343,48.3,1.7,46.3,48,3.7,1,3.6,7.1
성재헌,0.395,114,50,2.5,41.5,44.1,5.9,1.1,1.9,13
이채호,0.423,26,42.9,7.1,50,57.1,0,0.8,12.5,15.4
원상현,0.44,225,56.9,1.3,37.1,38.4,4.7,1.5,6.7,11.4
강건,0.467,15,50,6.3,43.8,50,0,1,12.5,0
하준호,0.5,10,60,10,30,40,0,1.5,0,20
전용주,0.667,3,66.7,0,33.3,33.3,0,2,0,0
