name,GR,IP,ERA,W,L,2time,3time,plus 1,SV,HD,BLSV,BLHD,BL+,save%,TS,TH,TBS,TBH,SD,MD,IR,IRS,IRS%,BQ,BQS,BQS%,IP/GR,P/GR,gmLI,closer war
박영현,66,76.2,3.52,10,2,18,1,25,25,0,5,0,5,83.3,3,0,2,0,28,9,38,11,28.9,9,6,66.7,1.16,18.52,1.65,2.72
김민,70,76.1,3.66,8,3,18,2,22,0,21,4,0,4,84,0,4,0,0,23,13,31,8,25.8,33,12,36.4,1.09,16.4,1.11,2.47
우규민,45,43.1,2.49,4,1,7,1,8,1,4,1,0,1,83.3,0,0,0,0,8,3,16,8,50,13,5,38.5,0.96,15.44,0.76,1.48
김민수,75,81.1,5.2,5,3,15,1,21,0,12,2,3,5,70.6,0,1,1,2,16,17,39,11,28.2,26,14,53.8,1.08,18,1.1,0.7
박시영,26,25.1,4.62,0,1,3,0,6,1,4,0,1,1,83.3,0,0,0,0,6,4,12,6,50,5,1,20,0.97,16.04,0.8,0.36
소형준,6,8.1,3.24,2,0,0,0,3,0,0,0,0,0,,0,0,0,0,2,1,0,0,,1,1,100,1.39,20,0.79,0.33
원상현,12,23.2,4.56,0,0,0,0,7,0,1,0,0,0,100,0,0,0,0,2,10,6,4,66.7,16,6,37.5,1.97,38,0.34,0.28
손동현,42,47.1,5.32,1,2,6,2,11,1,4,4,1,5,50,0,0,0,1,11,9,18,7,38.9,15,4,26.7,1.13,18.26,0.91,0.28
고영표,1,5,1.8,1,0,0,0,1,0,0,0,0,0,,0,0,0,0,7,8,2,0,0,10,3,30,5,48,0.44,0.24
이선우,5,7.1,3.68,0,0,1,0,2,0,0,0,0,0,,0,0,0,0,1,1,4,3,75,4,3,75,1.47,24.6,0.5,0.23
한차현,5,5,5.4,0,0,1,0,2,0,0,0,0,0,,0,0,0,0,0,5,1,1,100,9,5,55.6,1,21.8,0.17,0.1
육청명,3,2.1,3.86,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,0,0,,6,4,66.7,0.78,13.67,0.07,0.04
강건,3,2.2,3.38,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,1,3,2,66.7,2,0,0,0.89,18.33,0.42,0.03
김영현,8,7.1,4.91,0,0,0,0,2,0,0,0,0,0,,0,0,0,0,0,0,8,3,37.5,3,2,66.7,0.92,17.5,0.09,0.02
이상동,29,32,5.34,0,1,5,0,9,0,3,0,1,1,75,0,1,0,0,2,6,15,11,73.3,7,3,42.9,1.1,19.59,0.72,0.01
하준호,2,2,9,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,,1,20,0.03,0
주권,47,55.1,6.18,1,0,10,1,11,0,0,2,0,2,0,0,0,1,0,2,8,21,11,52.4,11,6,54.5,1.18,18.34,0.52,-0.03
성재헌,29,29.1,7.06,0,0,6,0,7,0,1,0,0,0,100,0,0,0,0,3,2,17,6,35.3,26,10,38.5,1.01,17.38,0.42,-0.05
박세진,6,5.1,3.38,0,0,1,0,1,0,0,0,0,0,,0,0,0,0,0,1,5,3,60,0,0,,0.89,17.83,0.23,-0.09
이채호,9,6.2,9.45,0,0,1,0,1,0,0,0,0,0,,0,0,0,0,0,3,3,2,66.7,7,2,28.6,0.74,16.78,0.64,-0.13
전용주,4,1.2,10.8,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,2,4,3,75,4,3,75,0.42,12.5,1.48,-0.22
조이현,7,7.1,13.5,0,0,2,1,2,0,0,0,0,0,,0,0,0,0,4,5,4,2,50,9,5,55.6,1.05,20,0.71,-0.33
문용익,12,17,12.18,0,0,0,0,5,0,0,0,0,0,,0,0,0,0,0,2,11,7,63.6,4,4,100,1.42,31.42,0.22,-0.79
엄상백,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,11,12,0,0,,9,4,44.4,,,,
벤자민,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,12,13,0,0,,17,6,35.3,,,,
쿠에바스,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,14,15,0,0,,5,0,0,,,,
