Name,FIP,G,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,BABIP,LOB,ERA,RA9,rRA9,rRA9pf,FIP,xFIP,kwERA,ERA-FIP,ERA-,rRA9-,FIP-,AVG,OBP,SLG,OPS,NP,P/G,P/IP,P/PA
우규민,2.51,45,8.1,0.42,19.5,0.21,21.5,1.1,20.4,0.338,74,2.49,2.91,3.3,3.15,2.51,2.35,2.95,-0.02,49.38,56.56,50.54,0.272,0.283,0.353,0.636,695,15.4,16,3.84
김민,3.6,71,8.96,3.14,2.85,0.58,22.9,8,14.9,0.358,70.8,4.31,4.42,4.24,4.2,3.6,2.89,3.61,0.7,85.32,75.5,72.53,0.277,0.34,0.37,0.71,1205,17,15.6,3.59
고영표,3.71,18,7.11,1.26,5.64,0.54,17.3,3.1,14.3,0.394,66.5,4.95,5.49,5.38,5.31,3.71,3.11,3.69,1.24,98.08,95.42,74.77,0.333,0.366,0.459,0.825,1591,88.4,15.9,3.49
박영현,4.07,66,10.21,2.58,3.95,1.41,28.1,7.1,21,0.271,79.4,3.52,3.64,3.86,3.82,4.07,2.32,2.88,-0.55,69.78,68.67,82.03,0.22,0.275,0.378,0.653,1222,18.5,15.9,3.94
쿠에바스,4.25,31,8,3.06,2.61,0.88,20.9,8,12.9,0.285,69,4.1,4.47,4.47,4.34,4.25,3.2,3.85,-0.15,81.28,78.01,85.66,0.24,0.306,0.381,0.687,2856,92.1,16.5,3.88
김민수,4.28,75,8.3,3.65,2.27,0.89,20.9,9.2,11.7,0.319,57.9,5.2,6.2,6.03,5.92,4.28,3.21,3.99,0.92,103.05,106.3,86.26,0.264,0.332,0.412,0.744,1350,18,16.6,3.77
원상현,4.6,22,8.13,4.27,1.9,0.83,18.2,9.6,8.6,0.44,64.6,7.03,7.44,7.27,7.3,4.6,3.6,4.36,2.43,139.2,131.15,92.63,0.37,0.427,0.511,0.938,1248,56.7,19.1,3.85
엄상백,4.61,29,9.13,2.41,3.79,1.49,23.6,6.2,17.3,0.317,70.6,4.88,5.06,4.91,4.74,4.61,2.75,3.32,0.28,96.75,85.15,92.76,0.266,0.318,0.445,0.763,2716,93.7,17.3,4.02
이상동,4.62,29,8.44,3.94,2.14,0.84,19.7,9.2,10.5,0.386,70.9,5.34,5.63,6.88,6.95,4.62,3.64,4.14,0.73,105.88,124.89,92.99,0.328,0.391,0.469,0.86,568,19.6,17.8,3.74
박시영,4.67,26,8.17,2.49,3.29,1.42,20.9,6.4,14.5,0.315,75.9,4.62,4.62,5.47,5.36,4.67,2.9,3.65,-0.05,91.51,96.27,93.93,0.27,0.324,0.49,0.814,417,16,16.5,3.79
성재헌,4.85,30,5.63,4.5,1.25,0.28,12.6,10.1,2.5,0.395,57.6,7.31,8.16,7.85,7.73,4.85,4.58,5.1,2.46,144.89,138.8,97.64,0.351,0.429,0.504,0.933,564,18.8,17.6,3.55
벤자민,4.88,28,9.38,2.89,3.25,1.68,24.4,7.5,16.9,0.285,66.9,4.63,5.41,5.21,5.11,4.88,2.75,3.37,-0.25,91.74,91.72,98.18,0.244,0.305,0.447,0.752,2507,89.5,16.8,3.92
주권,5.05,48,4.81,1.71,2.82,1.09,12.2,4.3,7.9,0.362,53.7,6.67,7.45,7.74,7.6,5.05,3.72,4.46,1.62,132.21,136.61,101.64,0.342,0.371,0.513,0.884,919,19.1,15.8,3.62
이선우,5.06,6,3.6,3.6,1,0,8.9,8.9,0,0.286,62.5,5.4,5.4,4.82,5.05,5.06,5.17,5.4,0.34,107,90.72,101.87,0.263,0.356,0.263,0.619,183,30.5,18.3,4.07
손동현,5.34,42,5.13,3.8,1.35,0.95,12.6,9.3,3.3,0.285,62.5,5.32,5.89,6.28,6.24,5.34,4.23,5.01,-0.02,105.49,112.09,107.53,0.267,0.336,0.39,0.726,767,18.3,16.2,3.58
소형준,5.47,6,3.24,1.08,3,1.08,10,3.3,6.7,0.25,75,3.24,3.24,2.7,2.59,5.47,4.12,4.6,-2.23,64.2,46.51,110.17,0.25,0.3,0.429,0.729,120,20,14.4,4
박세진,5.59,6,3.38,6.75,0.5,0,8,16,-8,0.368,63.6,3.38,6.75,10.46,10.37,5.59,5.7,6.36,-2.21,66.87,186.38,112.49,0.333,0.44,0.381,0.821,107,17.8,20.1,4.28
전용주,5.64,4,21.6,16.2,1.33,0,36.4,27.3,9.1,0.667,50,10.8,16.2,17.01,17.02,5.64,5.68,4.31,5.16,213.99,305.8,113.55,0.286,0.545,0.286,0.831,50,12.5,30,4.55
하준호,5.75,2,0,4.5,0,0,0,9.1,-9.1,0.5,66.7,9,9,9,8.38,5.75,5.88,6.49,3.25,178.33,150.58,115.77,0.5,0.545,0.5,1.045,40,20,20,3.64
육청명,6.41,13,4.03,4.03,1,1.21,9.6,9.6,0,0.299,67.1,5.44,6.25,5.83,5.85,6.41,4.95,5.4,-0.97,107.79,105.17,129.14,0.297,0.379,0.486,0.865,766,58.9,17.1,3.68
조이현,6.46,16,4.28,2.25,1.9,2.03,10.3,5.4,4.9,0.308,68.6,6.3,6.53,6.17,5.93,6.46,3.94,4.81,-0.16,124.83,106.51,130.16,0.314,0.352,0.55,0.902,636,39.8,15.9,3.46
김영현,6.48,8,9.82,8.59,1.14,1.23,20.5,17.9,2.6,0.364,68.8,4.91,7.36,7.79,7.47,6.48,4.96,5.09,-1.57,97.27,134.26,130.41,0.29,0.436,0.452,0.888,140,17.5,19.1,3.59
한차현,7.4,10,8.05,8.53,0.94,1.9,16.5,17.5,-1,0.391,61,9.95,10.42,9.33,9.4,7.4,5.03,5.52,2.54,197.1,168.81,149.1,0.345,0.456,0.56,1.016,429,42.9,22.6,4.17
문용익,7.48,12,9,11.65,0.77,1.06,17.2,22.2,-5.1,0.382,45.5,12.18,14.29,15.11,15.15,7.48,6.18,6.01,4.7,241.27,272.25,150.53,0.315,0.48,0.452,0.932,377,31.4,22.2,3.81
이채호,7.75,9,6.75,4.05,1.67,2.7,13.5,8.1,5.4,0.423,71.4,9.45,9.45,9.45,9.51,7.75,4.34,4.75,1.7,187.24,170.78,156.14,0.406,0.459,0.656,1.115,151,16.8,22.7,4.08
강건,9.17,4,6.75,9,0.75,2.25,12.5,16.7,-4.2,0.467,66.7,11.25,11.25,13.16,13.69,9.17,6.33,5.9,2.08,222.91,246.02,184.73,0.421,0.542,0.684,1.226,99,24.8,24.8,4.13
