Name,BABIP,BIP,GB%,ifFB%,ofFB%,FB%,LD%,GB/FB,HR/FB%,if1B%
김태형,0,1,100,0,0,0,0,,,
류원석,0.1,10,40,10,50,60,0,0.7,0,0
차우찬,0.203,69,36.6,5.6,56.3,62,1.4,0.6,4.5,12.5
김지용,0.222,9,33.3,22.2,44.4,66.7,0,0.5,0,0
정우영,0.231,186,76.6,1.6,19.7,21.3,2.1,3.6,0,7
김대유,0.24,125,45,8.5,41.9,50.4,4.7,0.9,3.1,15.6
이민호,0.259,294,42.5,7.5,45.9,53.5,4.1,0.8,7.6,2.2
임찬규,0.262,263,44.9,8.7,44.2,52.9,2.2,0.8,4.8,3.9
백승현,0.265,49,46,0,52,52,2,0.9,0,7.7
송은범,0.275,120,57.9,2.5,38.8,41.3,0.8,1.4,2,5.9
이상영,0.275,149,49.4,2.5,46.2,48.7,1.9,1,9.1,6.3
이정용,0.283,180,43,2.7,51.6,54.3,2.7,0.8,4,3.6
김진수,0.286,7,0,28.6,71.4,100,0,0,0,0
켈리,0.287,515,49.9,6,40.1,46.1,4,1.1,4.9,9.4
수아레즈,0.294,296,44.7,4.6,49.7,54.3,1,0.8,2.4,9.9
함덕주,0.295,61,46.9,1.6,46.9,48.4,4.7,1,6.5,0
최동환,0.3,20,35,15,45,60,5,0.6,0,33.3
채지선,0.306,49,44.9,2,51,53.1,2,0.8,0,26.7
최성훈,0.309,123,61.1,4.8,30.2,34.9,4,1.8,4.5,20
진해수,0.31,126,53.9,3.9,40.6,44.5,1.6,1.2,3.5,9.8
이우찬,0.314,105,49.1,3.7,47.2,50.9,0,1,5.5,11.1
고우석,0.317,139,53.4,2.7,41.8,44.5,2.1,1.2,4.6,2.1
김윤식,0.318,195,53.7,4.9,39.9,44.8,1.5,1.2,3.3,6.2
정찬헌,0.323,198,50,6.4,41.7,48,2,1,5.1,7.2
손주영,0.333,81,40,4.7,55.3,60,0,0.7,7.8,6.5
이상규,0.333,21,63.6,0,31.8,31.8,4.5,2,14.3,25
고효준,0.333,9,33.3,11.1,55.6,66.7,0,0.5,0,33.3
오석주,0.36,25,32,16,52,68,0,0.5,0,0
임준형,0.364,66,51.5,6.1,40.9,47,1.5,1.1,0,12.5
배재준,0.369,111,48.2,2.7,47.3,50,1.8,1,1.8,7.1
김대현,0.385,13,26.7,6.7,66.7,73.3,0,0.4,18.2,0
이찬혁,0.5,2,0,0,100,100,0,0,0,0
