name,GR,IP,ERA,W,L,2time,3time,plus 1,SV,HD,BLSV,BLHD,BL+,save%,TS,TH,TBS,TBH,SD,MD,IR,IRS,IRS%,BQ,BQS,BQS%,IP/GR,P/GR,gmLI,closer war
정우영,70,65,2.22,7,3,21,3,13,2,27,3,2,5,85.3,0,6,3,1,30,10,45,13,28.9,21,6,28.6,0.93,14.34,1.65,2.72
고우석,63,58,2.17,1,5,16,1,1,30,0,7,0,7,81.1,0,0,0,0,30,12,11,3,27.3,3,0,0,0.92,14.63,1.83,2.63
김대유,64,50.2,2.13,4,1,13,0,10,0,24,2,0,2,92.3,0,6,2,0,22,7,39,10,25.6,25,4,16,0.79,13.13,1.44,2.01
이정용,66,69.2,2.97,3,3,13,2,16,0,15,0,2,2,88.2,0,4,0,1,20,10,39,8,20.5,19,2,10.5,1.06,17.15,1.07,1.72
김윤식,32,59.1,3.34,7,2,3,0,21,0,1,1,2,3,25,0,0,1,1,9,7,24,6,25,15,5,33.3,1.85,30.41,1.04,1.28
진해수,50,44.1,2.44,1,0,14,4,10,0,5,1,1,2,71.4,0,2,1,1,3,7,22,3,13.6,16,3,18.8,0.89,14.88,0.56,0.98
송은범,35,37.1,4.1,2,2,5,0,11,0,4,0,2,2,66.7,0,0,0,1,9,8,12,6,50,19,10,52.6,1.07,16.86,0.98,0.81
백승현,16,16.2,2.16,0,0,3,0,6,0,1,0,0,0,100,0,1,0,0,4,1,12,2,16.7,6,2,33.3,1.04,16.38,1.02,0.68
최성훈,46,40.2,2.43,1,1,8,0,8,0,3,0,2,2,60,0,0,0,2,4,6,37,16,43.2,19,5,26.3,0.88,14.48,0.64,0.57
함덕주,13,12.2,2.84,1,2,1,0,3,0,1,0,0,0,100,0,0,0,0,0,5,3,1,33.3,12,4,33.3,0.97,16.23,0.8,0.3
채지선,14,17.1,3.12,0,0,1,0,4,0,0,0,0,0,,0,0,0,0,0,1,4,3,75,4,1,25,1.24,24.29,0.15,0.2
김지용,3,4,0,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,,1.33,22.33,0.09,0.17
이상영,12,17,3.18,1,0,1,0,6,0,0,0,0,0,,0,0,0,0,3,7,7,4,57.1,11,5,45.5,1.42,24.33,0.19,0.16
수아레즈,1,2,0,1,0,0,0,1,0,0,0,0,0,,0,0,0,0,16,5,0,0,,2,0,0,2,28,0.9,0.13
류원석,6,6,6,0,0,2,0,2,0,0,0,0,0,,0,0,0,0,0,0,2,0,0,4,3,75,1,21.33,0.22,0.12
임준형,2,6.1,4.26,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,2,1,0,0,,5,2,40,3.17,47.5,0.1,0.08
김진수,3,2.1,3.86,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,1,0,0,0.78,11.33,0.13,0.04
이민호,3,2.1,7.71,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,10,10,0,0,,15,6,40,0.78,19,0.67,0.02
이우찬,10,20.2,5.66,0,0,1,0,7,0,0,0,0,0,,0,0,0,0,1,6,5,1,20,9,3,33.3,2.07,36.9,0.56,0.02
고효준,3,2.1,3.86,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,1,1,1,100,0,0,,0.78,15,0.61,-0.01
최동환,8,5.2,9.53,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,1,1,1,0,0,7,4,57.1,0.71,14.38,0.55,-0.03
김태형,2,1,27,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,0,3,3,100,0.5,13.5,0.2,-0.04
오석주,9,8.1,6.48,0,0,2,0,1,0,0,0,0,0,,0,0,0,0,0,1,4,3,75,7,2,28.6,0.93,17,0.2,-0.04
손주영,1,2,9,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,1,4,0,0,,2,1,50,2,46,0.13,-0.04
이상규,7,6,9,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,2,1,50,0.86,15.71,0.06,-0.06
이찬혁,1,1,18,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,,1,31,0,-0.07
배재준,9,14,5.79,1,0,1,0,4,0,0,0,0,0,,0,0,0,0,1,4,7,4,57.1,13,0,0,1.56,32.67,0.63,-0.15
김대현,4,3.2,12.27,0,0,1,0,1,0,0,0,0,0,,0,0,0,0,0,0,4,1,25,3,2,66.7,0.92,20,0.44,-0.33
정찬헌,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,0,0,,2,0,0,,,,
켈리,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,14,10,0,0,,4,2,50,,,,
차우찬,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,0,0,,3,3,100,,,,
임찬규,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,8,6,0,0,,17,6,35.3,,,,
